date_obj,Dragon%20sq%20shield%20ornament%20kit price
2015-03-05,489931
2015-03-06,467161
2015-03-07,445868
2015-03-08,425733
2015-03-09,425733
2015-03-10,405504
2015-03-11,405504
2015-03-12,387375
2015-03-13,368979
2015-03-14,351371
2015-03-15,335412
2015-03-16,320197
2015-03-17,305871
2015-03-18,305871
2015-03-19,292753
2015-03-20,292753
2015-03-21,292753
2015-03-22,278115
2015-03-23,278115
2015-03-24,278115
2015-03-25,265978
2015-03-26,265978
2015-03-27,253477
2015-03-28,253477
2015-03-29,241353
2015-03-30,241353
2015-03-31,229285
2015-04-01,229285
2015-04-02,218452
2015-04-03,218452
2015-04-04,207529
2015-04-05,207529
2015-04-06,197986
2015-04-07,197986
2015-04-08,188537
2015-04-09,188537
2015-04-10,179110
2015-04-11,179110
2015-04-12,170154
2015-04-13,170154
2015-04-14,162276
2015-04-15,162276
2015-04-16,154768
2015-04-17,154768
2015-04-18,148203
2015-04-19,148203
2015-04-20,141136
2015-04-21,141136
2015-04-22,141136
2015-04-23,134079
2015-04-24,134079
2015-04-25,134079
2015-04-26,127375
2015-04-27,127375
2015-04-28,121006
2015-04-29,121006
2015-04-30,121006
2015-05-01,116217
2015-05-02,116217
2015-05-03,111561
2015-05-04,111561
2015-05-05,106677
2015-05-06,106677
2015-05-07,101343
2015-05-08,101343
2015-05-09,96275
2015-05-10,96275
2015-05-11,91461
2015-05-12,87114
2015-05-13,87114
2015-05-14,82793
2015-05-15,82793
2015-05-16,78653
2015-05-17,75457
2015-05-18,75457
2015-05-19,71914
2015-05-20,71914
2015-05-21,71914
2015-05-22,68954
2015-05-23,68954
2015-05-24,65506
2015-05-25,62337
2015-05-26,62337
2015-05-27,59628
2015-05-28,59628
2015-05-29,56646
2015-05-30,54415
2015-05-31,54415
2015-06-01,52153
2015-06-02,52153
2015-06-03,52153
2015-06-04,49834
2015-06-05,49834
2015-06-06,48233
2015-06-07,48233
2015-06-08,48233
2015-06-09,47138
2015-06-10,47138
2015-06-11,47138
2015-06-12,45588
2015-06-13,45588
2015-06-14,43618
2015-06-15,43618
2015-06-16,43618
2015-06-17,41848
2015-06-18,41848
2015-06-19,40332
2015-06-20,40332
2015-06-21,40332
2015-06-22,39723
2015-06-23,39723
2015-06-24,39723
2015-06-25,38848
2015-06-26,38848
2015-06-27,40410
2015-06-28,40410
2015-06-29,40410
2015-06-30,42224
2015-07-01,42224
2015-07-02,42224
2015-07-03,44336
2015-07-04,44336
2015-07-05,44336
2015-07-06,46022
2015-07-07,46022
2015-07-08,46022
2015-07-09,47900
2015-07-10,47900
2015-07-11,47900
2015-07-12,50232
2015-07-13,50232
2015-07-14,50232
2015-07-15,52530
2015-07-16,52530
2015-07-17,55047
2015-07-18,55047
2015-07-19,55047
2015-07-20,56959
2015-07-21,56959
2015-07-22,58569
2015-07-23,58569
2015-07-24,58569
2015-07-25,61498
2015-07-26,61498
2015-07-27,61998
2015-07-28,61998
2015-07-29,61979
2015-07-30,61979
2015-07-31,61979
2015-08-01,60885
2015-08-02,60885
2015-08-03,58227
2015-08-04,58227
2015-08-05,55359
2015-08-06,55359
2015-08-07,55359
2015-08-08,52834
2015-08-09,52834
2015-08-10,50480
2015-08-11,50480
2015-08-12,48037
2015-08-13,48037
2015-08-14,45833
2015-08-15,45833
2015-08-16,44723
2015-08-17,44723
2015-08-18,43335
2015-08-19,43335
2015-08-20,41755
2015-08-21,41755
2015-08-22,41669
2015-08-23,41669
2015-08-24,43052
2015-08-25,43052
2015-08-26,43052
2015-08-27,42709
2015-08-28,42709
2015-08-29,42029
2015-08-30,42029
2015-08-31,42029
2015-09-01,41283
2015-09-02,41283
2015-09-07,41075
2015-09-08,41075
2015-09-10,41396
2015-09-14,40781
2015-09-16,40363
2015-09-22,36448
2015-09-23,36448
2015-09-24,35561
2015-09-25,35561
2015-09-27,34463
2015-09-28,34463
2015-09-29,34463
2015-09-30,33423
2015-10-05,32702
2015-10-06,31401
2015-10-07,31401
2015-10-08,31401
2015-10-09,30975
2015-10-10,30975
2015-10-11,30975
2015-10-12,30769
2015-10-13,30769
2015-10-14,30769
2015-10-15,31975
2015-10-16,31975
2015-10-17,31975
2015-10-18,32225
2015-10-19,32225
2015-10-20,33221
2015-10-22,33221
2015-10-23,33674
2015-10-24,33674
2015-10-25,33674
2015-10-26,35087
2015-10-27,35087
2015-10-29,36689
2015-10-30,36689
2015-10-31,36689
2015-11-01,36689
2015-11-02,38015
2015-11-03,38015
2015-11-04,38015
2015-11-05,38622
2015-11-06,38622
2015-11-07,38622
2015-11-08,38254
2015-11-09,38254
