date_obj,Pot%20of%20cornflour price
2015-03-26,5
2015-03-27,5
2015-03-28,5
2015-03-29,6
2015-03-30,6
2015-03-31,6
2015-04-01,6
2015-04-02,6
2015-04-03,6
2015-04-04,6
2015-04-05,6
2015-04-06,6
2015-04-07,6
2015-04-08,6
2015-04-09,6
2015-04-10,6
2015-04-11,6
2015-04-12,6
2015-04-13,6
2015-04-14,6
2015-04-15,6
2015-04-16,6
2015-04-17,6
2015-04-18,6
2015-04-19,6
2015-04-20,6
2015-04-21,6
2015-04-22,6
2015-04-23,7
2015-04-24,7
2015-04-25,7
2015-04-26,7
2015-04-27,7
2015-04-28,7
2015-04-29,7
2015-04-30,7
2015-05-01,7
2015-05-02,7
2015-05-03,7
2015-05-04,7
2015-05-05,7
2015-05-06,7
2015-05-07,7
2015-05-08,7
2015-05-09,7
2015-05-10,7
2015-05-11,7
2015-05-12,7
2015-05-13,7
2015-05-14,7
2015-05-15,7
2015-05-16,7
2015-05-17,7
2015-05-18,7
2015-05-19,7
2015-05-20,7
2015-05-21,7
2015-05-22,7
2015-05-23,8
2015-05-24,8
2015-05-25,8
2015-05-26,8
2015-05-27,8
2015-05-28,8
2015-05-29,8
2015-05-30,8
2015-05-31,8
2015-06-01,8
2015-06-02,8
2015-06-03,8
2015-06-04,8
2015-06-05,8
2015-06-06,8
2015-06-07,8
2015-06-08,8
2015-06-09,8
2015-06-10,8
2015-06-11,8
2015-06-12,8
2015-06-13,9
2015-06-14,9
2015-06-15,9
2015-06-16,9
2015-06-17,9
2015-06-18,9
2015-06-19,9
2015-06-20,9
2015-06-21,9
2015-06-22,9
2015-06-23,9
2015-06-24,9
2015-06-25,9
2015-06-26,9
2015-06-27,9
2015-06-28,9
2015-06-29,10
2015-06-30,10
2015-07-01,10
2015-07-02,10
2015-07-03,10
2015-07-04,10
2015-07-05,10
2015-07-06,10
2015-07-07,10
2015-07-08,10
2015-07-09,10
2015-07-10,10
2015-07-11,10
2015-07-12,10
2015-07-13,10
2015-07-14,10
2015-07-15,10
2015-07-16,10
2015-07-17,10
2015-07-18,10
2015-07-19,10
2015-07-20,11
2015-07-21,11
2015-07-22,11
2015-07-23,11
2015-07-24,11
2015-07-25,11
2015-07-26,11
2015-07-27,11
2015-07-28,11
2015-07-29,11
2015-07-30,11
2015-07-31,11
2015-08-01,11
2015-08-02,11
2015-08-03,11
2015-08-04,11
2015-08-05,11
2015-08-06,11
2015-08-07,11
2015-08-08,11
2015-08-09,11
2015-08-10,11
2015-08-11,11
2015-08-12,11
2015-08-13,11
2015-08-14,11
2015-08-15,11
2015-08-16,11
2015-08-17,11
2015-08-18,11
2015-08-19,11
2015-08-20,11
2015-08-21,11
2015-08-22,11
2015-08-23,11
2015-08-24,11
2015-08-25,11
2015-08-26,11
2015-08-27,11
2015-08-28,11
2015-08-29,11
2015-08-30,11
2015-08-31,12
2015-09-01,12
2015-09-02,12
2015-09-03,12
2015-09-04,12
2015-09-05,12
2015-09-06,12
2015-09-07,12
2015-09-08,12
2015-09-09,12
2015-09-10,12
2015-09-11,12
2015-09-12,12
2015-09-13,12
2015-09-14,12
2015-09-15,12
2015-09-16,12
2015-09-17,12
2015-09-18,12
2015-09-19,12
2015-09-20,12
2015-09-21,12
2015-09-22,12
2015-09-23,12
2015-09-24,12
2015-09-25,13
2015-09-27,13
2015-09-28,13
2015-09-29,13
2015-09-30,13
2015-10-05,13
2015-10-06,13
2015-10-07,13
2015-10-08,13
2015-10-09,13
2015-10-10,13
2015-10-11,13
2015-10-12,13
2015-10-13,13
2015-10-14,13
2015-10-15,13
2015-10-16,13
2015-10-17,13
2015-10-18,13
2015-10-19,13
2015-10-20,14
2015-10-22,14
2015-10-23,14
2015-10-24,14
2015-10-25,14
2015-10-26,14
2015-10-27,14
2015-10-29,14
2015-10-30,14
2015-10-31,14
2015-11-01,14
2015-11-02,14
2015-11-03,14
2015-11-04,14
2015-11-05,14
2015-11-06,14
2015-11-07,14
2015-11-08,14
2015-11-09,14
2015-11-10,14
2015-11-11,14
2015-11-12,14
2015-11-13,14
2015-11-14,14
2015-11-15,14
2015-11-16,14
2015-11-17,14
2015-11-18,14
2015-11-19,15
2015-11-20,15
2015-11-21,15
2015-11-22,15
2015-11-23,15
2015-11-24,15
2015-11-25,15
2015-11-26,15
