date_obj,Dwarven%20stout(m) price
2015-03-05,74690
2015-03-06,74690
2015-03-07,74690
2015-03-08,71203
2015-03-09,71203
2015-03-10,71203
2015-03-11,71203
2015-03-12,71203
2015-03-13,67847
2015-03-14,67847
2015-03-15,67847
2015-03-16,67847
2015-03-17,64606
2015-03-18,64606
2015-03-19,64606
2015-03-20,64606
2015-03-21,61575
2015-03-22,61575
2015-03-23,61575
2015-03-24,58659
2015-03-25,58659
2015-03-26,58659
2015-03-27,58659
2015-03-28,55800
2015-03-29,55800
2015-03-30,55800
2015-03-31,53267
2015-04-01,53267
2015-04-02,53267
2015-04-03,53267
2015-04-04,50744
2015-04-05,50744
2015-04-06,50744
2015-04-07,48407
2015-04-08,48407
2015-04-09,48407
2015-04-10,48407
2015-04-11,45986
2015-04-12,45986
2015-04-13,45986
2015-04-14,45986
2015-04-15,43686
2015-04-16,43686
2015-04-17,43686
2015-04-18,41594
2015-04-19,41594
2015-04-20,41594
2015-04-21,41594
2015-04-22,41594
2015-04-23,39514
2015-04-24,39514
2015-04-25,39514
2015-04-26,39514
2015-04-27,37538
2015-04-28,37538
2015-04-29,37538
2015-04-30,37538
2015-05-01,35661
2015-05-02,35661
2015-05-03,35661
2015-05-04,35147
2015-05-05,35147
2015-05-06,35147
2015-05-07,34655
2015-05-08,34655
2015-05-09,34655
2015-05-10,35444
2015-05-11,35444
2015-05-12,35444
2015-05-13,35494
2015-05-14,35494
2015-05-15,35494
2015-05-16,34368
2015-05-17,34368
2015-05-18,33696
2015-05-19,33696
2015-05-20,33696
2015-05-21,33696
2015-05-22,34676
2015-05-23,34676
2015-05-24,34676
2015-05-25,35655
2015-05-26,35655
2015-05-27,35655
2015-05-28,36299
2015-05-29,36299
2015-05-30,38114
2015-05-31,38114
2015-06-01,38114
2015-06-02,39650
2015-06-03,39650
2015-06-04,39650
2015-06-05,39977
2015-06-06,39977
2015-06-07,38088
2015-06-08,38088
2015-06-09,38088
2015-06-10,36183
2015-06-11,36183
2015-06-12,36183
2015-06-13,34373
2015-06-14,34373
2015-06-15,34373
2015-06-16,32654
2015-06-17,32654
2015-06-18,31116
2015-06-19,31116
2015-06-20,29757
2015-06-21,29757
2015-06-22,29757
2015-06-23,28269
2015-06-24,28269
2015-06-25,28269
2015-06-26,26855
2015-06-27,26855
2015-06-28,26855
2015-06-29,25559
2015-06-30,25559
2015-07-01,24362
2015-07-02,24362
2015-07-03,23232
2015-07-04,23232
2015-07-05,23232
2015-07-06,22141
2015-07-07,22141
2015-07-08,21122
2015-07-09,21122
2015-07-10,21122
2015-07-11,20065
2015-07-12,20065
2015-07-13,20065
2015-07-14,19190
2015-07-15,19190
2015-07-16,18388
2015-07-17,18388
2015-07-18,18388
2015-07-19,17478
2015-07-20,17478
2015-07-21,17478
2015-07-22,16831
2015-07-23,16831
2015-07-24,16831
2015-07-25,16389
2015-07-26,16389
2015-07-27,16389
2015-07-28,15796
2015-07-29,15796
2015-07-30,15325
2015-07-31,15325
2015-08-01,15325
2015-08-02,14654
2015-08-03,14654
2015-08-04,14654
2015-08-05,14214
2015-08-06,14214
2015-08-07,14214
2015-08-08,13962
2015-08-09,13962
2015-08-10,13962
2015-08-11,13330
2015-08-12,13330
2015-08-13,13330
2015-08-14,12865
2015-08-15,12865
2015-08-16,12865
2015-08-17,12915
2015-08-18,12915
2015-08-19,12915
2015-08-20,13505
2015-08-21,13505
2015-08-22,14175
2015-08-23,14175
2015-08-24,14175
2015-08-25,14175
2015-08-26,14884
2015-08-27,14884
2015-08-28,14885
2015-08-29,14885
2015-08-30,14885
2015-08-31,14885
2015-09-02,14283
2015-09-07,13080
2015-09-08,13080
2015-09-10,12426
2015-09-14,11804
2015-09-16,11656
2015-09-22,11478
2015-09-23,11478
2015-09-24,11355
2015-09-25,11355
2015-09-27,11355
2015-09-28,11362
2015-09-29,11362
2015-09-30,11362
2015-10-05,12277
2015-10-06,12277
2015-10-07,12277
2015-10-08,12691
2015-10-09,12691
2015-10-10,12691
2015-10-11,12862
2015-10-12,12862
2015-10-13,12862
2015-10-14,12862
2015-10-15,12807
2015-10-16,12807
2015-10-17,12807
2015-10-18,12807
2015-10-19,12824
2015-10-20,12824
2015-10-22,12824
2015-10-23,12931
2015-10-24,12931
2015-10-25,12931
2015-10-26,12898
2015-10-27,12898
2015-10-29,12898
2015-10-30,12826
2015-10-31,12826
2015-11-01,12826
2015-11-02,12662
2015-11-03,12662
2015-11-04,12662
2015-11-05,12662
2015-11-06,12819
2015-11-07,12819
2015-11-08,12819
2015-11-09,12819
2015-11-10,12265
2015-11-11,12265
2015-11-12,12265
2015-11-13,12265
2015-11-14,11886
2015-11-15,11886
2015-11-16,11886
2015-11-17,11702
2015-11-18,11702
2015-11-19,11702
2015-11-20,11173
2015-11-21,11173
2015-11-22,11173
2015-11-23,11173
2015-11-24,11126
2015-11-25,11126
2015-11-26,11126
2015-11-27,11019
2015-11-28,11019
2015-11-29,11019
2015-11-30,11030
2015-12-01,11030
2015-12-02,11030
2015-12-03,11582
2015-12-04,11582
2015-12-05,11582
2015-12-06,11938
2015-12-07,11938
2015-12-08,11938
2015-12-09,12397
2015-12-10,12397
2015-12-11,12397
2015-12-12,12946
2015-12-13,12946
2015-12-14,12946
2015-12-15,13594
2015-12-16,13594
2015-12-17,13594
2015-12-18,14274
2015-12-19,14274
2015-12-20,14274
2015-12-21,14988
2015-12-22,14988
2015-12-23,14988
2015-12-24,15738
2015-12-25,15738
2015-12-26,15738
2015-12-27,16280
2015-12-28,16280
2015-12-29,16274
2015-12-30,16274
2015-12-31,16940
2016-01-01,16940
2016-01-02,16940
2016-01-03,17787
2016-01-04,17787
2016-01-05,17983
2016-01-06,17983
2016-01-07,17983
2016-01-08,17939
2016-01-09,17939
2016-01-10,17939
2016-01-11,18042
2016-01-12,18042
2016-01-13,17416
2016-01-14,17416
2016-01-15,16597
2016-01-16,16597
2016-01-17,16597
2016-01-18,16662
2016-01-19,16662
2016-01-20,16662
2016-01-21,16229
2016-01-22,16229
2016-01-23,15818
2016-01-24,15818
2016-01-25,15712
2016-01-26,15712
2016-01-27,15735
2016-01-28,15735
2016-01-29,15735
2016-01-30,15881
2016-01-31,15881
2016-02-01,16622
2016-02-02,16622
2016-02-03,16622
2016-02-04,17380
2016-02-05,17380
2016-02-06,17272
2016-02-07,17272
2016-02-08,17272
2016-02-09,17196
2016-02-10,17196
2016-02-11,17092
2016-02-12,17092
2016-02-13,16889
2016-02-14,16889
2016-02-15,16889
2016-02-16,16773
2016-02-17,16773
2016-02-18,16773
2016-02-19,16848
2016-02-20,16848
2016-02-21,17326
2016-02-22,17326
2016-02-23,17326
2016-02-24,17369
2016-02-25,17369
2016-02-26,17369
2016-02-27,17368
2016-02-28,17368
2016-02-29,17368
2016-03-01,16914
2016-03-02,16914
2016-03-03,16914
2016-03-04,17277
2016-03-05,17277
2016-03-06,17502
2016-03-07,17502
2016-03-08,17502
2016-03-09,17094
2016-03-10,17094
2016-03-11,16351
2016-03-12,16351
2016-03-13,15759
2016-03-14,15759
2016-03-15,15086
2016-03-16,15086
2016-03-17,14513
2016-03-18,14513
2016-03-19,14024
2016-03-20,14024
2016-03-21,13753
2016-03-22,13753
2016-03-23,13156
2016-03-24,13156
2016-03-25,12614
2016-03-26,12614
2016-03-27,12276
2016-03-28,12276
2016-03-29,12329
2016-03-30,12329
2016-03-31,12329
2016-04-01,12088
2016-04-02,12088
2016-04-03,11957
2016-04-04,11957
2016-04-05,11957
2016-04-06,11771
2016-04-07,11771
2016-04-08,11665
2016-04-09,11665
2016-04-10,11463
2016-04-11,11463
2016-04-12,11463
2016-04-13,11524
2016-04-14,11524
2016-04-15,11267
2016-04-16,11267
2016-04-17,10986
2016-04-18,10986
2016-04-19,10531
2016-04-20,10531
2016-04-21,10018
2016-04-22,10018
2016-04-23,10018
2016-04-24,9517
2016-04-25,9517
2016-04-26,9148
2016-04-27,9148
2016-04-28,8949
2016-04-29,8949
2016-04-30,8709
2016-05-01,8709
2016-05-02,8448
2016-05-03,8448
2016-05-04,8343
2016-05-05,8343
2016-05-06,8311
2016-05-07,8311
2016-05-08,8632
2016-05-09,8632
2016-05-10,8834
2016-05-11,8834
2016-05-12,8560
2016-05-13,8560
2016-05-14,8747
2016-05-15,8747
2016-05-16,8867
2016-05-17,8867
2016-05-18,9311
2016-05-19,9311
2016-05-22,10191
2016-05-23,10191
2016-05-24,10658
2016-05-25,10658
2016-05-26,10813
2016-05-27,10813
2016-05-28,11068
2016-05-29,11134
2016-05-30,11134
2016-05-31,11134
2016-06-01,11398
2016-06-02,11398
2016-06-03,11398
2016-06-04,11968
2016-06-05,11968
2016-06-06,12444
2016-06-07,12444
2016-06-08,12918
2016-06-09,12918
2016-06-10,12933
2016-06-11,12933
2016-06-12,12652
2016-06-13,12652
2016-06-14,12445
2016-06-15,12445
2016-06-16,12196
2016-06-17,12045
2016-06-18,12045
2016-06-19,11616
2016-06-20,11616
2016-06-21,11309
2016-06-22,11309
2016-06-23,11334
2016-06-24,11334
2016-06-25,11709
2016-06-26,11709
2016-06-27,11709
2016-06-28,11401
2016-06-29,11401
2016-06-30,11151
2016-07-01,11151
2016-07-02,11204
2016-07-03,11204
2016-07-04,11263
2016-07-05,11263
2016-07-06,11648
2016-07-07,11648
2016-07-08,11287
2016-07-09,11287
2016-07-10,10756
2016-07-11,10756
2016-07-12,10262
2016-07-13,10262
2016-07-14,10124
2016-07-15,10124
2016-07-16,9892
2016-07-17,9892
2016-07-18,9723
2016-07-23,9603
2016-07-24,9538
2016-07-25,9538
2016-07-26,9547
2016-07-27,9547
2016-07-28,9659
2016-07-29,9659
2016-07-30,9654
2016-07-31,9654
2016-08-01,9654
2016-08-02,9765
2016-08-03,9765
2016-08-04,10038
2016-08-05,10038
2016-08-06,10263
2016-08-07,10263
2016-08-08,10736
2016-08-09,10736
2016-08-10,11250
2016-08-11,11250
2016-08-12,11250
2016-08-13,11535
2016-08-14,11535
2016-08-15,11723
2016-08-16,11723
2016-08-17,11833
2016-08-18,11833
2016-08-19,12410
2016-08-20,12410
2016-08-21,12797
2016-08-22,12797
2016-08-23,12947
2016-08-24,12947
2016-08-25,12962
2016-08-26,12962
2016-08-28,12739
2016-08-31,12687
2016-09-01,12677
2016-09-02,12677
2016-09-03,12677
2016-09-04,12707
2016-09-05,12707
