date_obj,Rune%20platebody%20(h1) price
2019-04-11,48000
2019-04-11,50168
2019-04-12,52503
2019-04-13,54938
2019-04-14,57506
2019-04-15,200000
2019-04-16,200000
2019-04-17,203723
2019-04-18,207075
2019-04-19,207075
2019-04-20,211745
2019-04-21,211745
2019-04-22,209925
2019-04-23,209925
2019-04-24,204592
2019-04-25,204592
2019-04-26,199073
2019-04-27,199073
2019-04-28,194528
2019-04-29,194528
2019-04-30,187933
2019-05-01,187933
2019-05-02,185278
2019-05-03,185278
2019-05-04,181196
2019-05-05,181196
2019-05-06,176776
2019-05-07,176776
2019-05-08,172744
2019-05-09,172744
2019-05-10,167875
2019-05-11,167875
2019-05-12,164028
2019-05-13,164028
2019-05-14,157673
2019-05-15,157673
2019-05-16,151374
2019-05-17,151374
2019-05-18,144801
2019-05-19,144801
2019-05-20,138591
2019-05-21,138591
2019-05-22,132292
2019-05-23,132292
2019-05-24,126440
2019-05-25,126440
2019-05-26,121985
2019-05-27,117917
2019-05-28,117917
2019-05-29,114124
2019-05-30,114124
2019-05-31,108679
2019-06-01,108679
2019-06-02,103824
2019-06-03,103824
2019-06-04,98783
2019-06-05,98783
2019-06-06,94477
2019-06-07,94477
2019-06-08,91517
2019-06-09,88256
2019-06-10,88256
2019-06-11,88256
2019-06-12,87984
2019-06-13,87984
2019-06-14,85336
2019-06-15,85336
2019-06-16,82336
2019-06-17,82336
2019-06-18,78639
2019-06-19,78639
2019-06-20,75949
2019-06-21,75949
2019-06-22,75362
2019-06-23,75362
2019-06-24,72846
2019-06-25,72846
2019-06-26,70153
2019-06-27,68837
2019-06-28,68837
2019-06-29,68837
2019-06-30,67578
2019-07-01,67578
2019-07-02,67224
2019-07-03,67224
2019-07-04,67671
2019-07-05,67671
2019-07-06,66344
2019-07-07,66344
2019-07-08,64536
2019-07-09,64536
2019-07-10,63528
2019-07-11,63528
2019-07-12,61648
2019-07-13,61648
2019-07-14,59806
2019-07-15,59806
2019-07-16,58492
2019-07-17,58492
2019-07-18,57372
2019-07-19,57372
2019-07-20,57197
2019-07-21,57038
2019-07-22,57038
2019-07-23,55604
2019-07-24,55604
2019-07-25,55604
2019-07-26,54520
2019-07-27,54520
2019-07-28,53766
2019-07-29,53766
2019-07-30,52138
2019-07-31,52138
2019-08-01,50659
2019-08-02,50659
2019-08-03,48768
2019-08-04,48768
2019-08-05,48446
2019-08-06,48446
2019-08-07,46737
2019-08-08,46737
2019-08-09,46737
2019-08-10,46458
2019-08-11,46458
2019-08-12,46561
2019-08-13,46561
2019-08-14,46286
2019-08-15,46286
2019-08-16,45270
2019-08-17,45270
2019-08-18,45268
2019-08-19,45268
2019-08-20,45674
2019-08-21,45674
2019-08-22,44529
2019-08-23,44529
2019-08-24,43580
2019-08-24,43580
2019-08-25,43580
2019-08-25,43580
2019-08-26,42565
2019-08-26,42565
2019-08-27,42565
2019-08-27,42565
2019-08-28,42574
2019-08-29,42574
2019-08-30,41725
2019-08-31,41725
2019-09-01,41518
2019-09-02,41518
2019-09-03,41476
2019-09-04,41476
2019-09-05,41380
2019-09-06,41380
2019-09-07,40902
2019-09-08,40902
2019-09-09,41141
2019-09-10,41141
2019-09-11,41423
2019-09-12,41423
2019-09-13,41423
2019-09-14,42045
