date_obj,Twisted%20relichunter%20(t1)%20armour%20set price
2020-01-20,40000
2020-01-21,40000
2020-01-22,49627
2020-01-23,51971
2020-01-24,54257
2020-01-25,56840
2020-01-26,59558
2020-01-27,62279
2020-01-28,65321
2020-01-29,68336
2020-01-30,71591
2020-01-31,75003
2020-02-01,78696
2020-02-02,82492
2020-02-03,86477
2020-02-04,90652
2020-02-05,95023
2020-02-06,99532
2020-02-07,99532
2020-02-08,103797
2020-02-09,103797
2020-02-10,108609
2020-02-11,108609
2020-02-12,113544
2020-02-13,113544
2020-02-14,119103
2020-02-15,119103
2020-02-16,124784
2020-02-17,130613
2020-02-18,136519
2020-02-19,136519
2020-02-20,143081
2020-02-21,143081
2020-02-22,149712
2020-02-23,149712
2020-02-24,156600
2020-02-25,156600
2020-02-26,163569
2020-02-27,163569
2020-02-28,171445
2020-02-29,171445
2020-03-01,179620
2020-03-02,179620
2020-03-03,187904
2020-03-04,187904
2020-03-05,196961
2020-03-06,206406
2020-03-07,206406
2020-03-08,215891
2020-03-09,215891
2020-03-10,225824
2020-03-11,225824
2020-03-12,236074
2020-03-13,236074
2020-03-14,246913
2020-03-15,246913
2020-03-16,257814
2020-03-17,257814
2020-03-18,269912
2020-03-19,269912
2020-03-20,282777
2020-03-21,282777
2020-03-22,296197
2020-03-23,296197
2020-03-24,296197
2020-03-25,310031
2020-03-26,310031
2020-03-27,324550
2020-03-28,324550
2020-03-29,339593
2020-03-30,339593
2020-03-31,355284
2020-04-01,355284
2020-04-02,370705
2020-04-03,370705
2020-04-04,370705
2020-04-05,386740
2020-04-06,386740
2020-04-07,404528
2020-04-08,422944
2020-04-09,422944
2020-04-10,422944
2020-04-11,443008
2020-04-12,443008
2020-04-13,443008
2020-04-14,463216
2020-04-15,463216
2020-04-16,485757
2020-04-17,485757
2020-04-18,508902
2020-04-19,508902
2020-04-20,532701
2020-04-21,532701
2020-04-22,556132
2020-04-23,556132
2020-04-24,580142
2020-04-25,580142
2020-04-26,606864
2020-04-27,606864
2020-04-28,634034
2020-04-29,634034
2020-04-30,634034
2020-05-01,661933
2020-05-02,661933
2020-05-03,692629
2020-05-04,692629
2020-05-05,692629
2020-05-06,722685
2020-05-07,722685
2020-05-08,722685
2020-05-09,756910
2020-05-10,756910
2020-05-11,756910
2020-05-12,789929
2020-05-13,789929
