date_obj,Saradomin%20mjolnir price
2015-03-26,70500
2015-03-27,70500
2015-03-28,70500
2015-03-29,70500
2015-03-30,70500
2015-03-31,70500
2015-04-01,70500
2015-04-02,70500
2015-04-03,70500
2015-04-04,70500
2015-04-05,70500
2015-04-06,70500
2015-04-07,67136
2015-04-08,67136
2015-04-09,67136
2015-04-10,67136
2015-04-11,67136
2015-04-12,67136
2015-04-13,67136
2015-04-14,67136
2015-04-15,67136
2015-04-16,67136
2015-04-17,67136
2015-04-18,67136
2015-04-19,67136
2015-04-20,67136
2015-04-21,67136
2015-04-22,67136
2015-04-23,67136
2015-04-24,67136
2015-04-25,67136
2015-04-26,67136
2015-04-27,67136
2015-04-28,67136
2015-04-29,67136
2015-04-30,67136
2015-05-01,67136
2015-05-02,67136
2015-05-03,67136
2015-05-04,67136
2015-05-05,67136
2015-05-06,67136
2015-05-07,67136
2015-05-08,67136
2015-05-09,67136
2015-05-10,63830
2015-05-11,63830
2015-05-12,63830
2015-05-13,63830
2015-05-14,63830
2015-05-15,63830
2015-05-16,63830
2015-05-17,63830
2015-05-18,63830
2015-05-19,63830
2015-05-20,63830
2015-05-21,63830
2015-05-22,63830
2015-05-23,63830
2015-05-24,63830
2015-05-25,63830
2015-05-26,63830
2015-05-27,63830
2015-05-28,63830
2015-05-29,63830
2015-05-30,63830
2015-05-31,63830
2015-06-01,60734
2015-06-02,60734
2015-06-03,60734
2015-06-04,60734
2015-06-05,60734
2015-06-06,60734
2015-06-07,60734
2015-06-08,60734
2015-06-09,60734
2015-06-10,60734
2015-06-11,60734
2015-06-12,60734
2015-06-13,60734
2015-06-14,60734
2015-06-15,60734
2015-06-16,60734
2015-06-17,60734
2015-06-18,60734
2015-06-19,60734
2015-06-20,60734
2015-06-21,60734
2015-06-22,60734
2015-06-23,60734
2015-06-24,60734
2015-06-25,60734
2015-06-26,60734
2015-06-27,60734
2015-06-28,57749
2015-06-29,57749
2015-06-30,57749
2015-07-01,57749
2015-07-02,57749
2015-07-03,57749
2015-07-04,57749
2015-07-05,57749
2015-07-06,57749
2015-07-07,57749
2015-07-08,57749
2015-07-09,57749
2015-07-10,57749
2015-07-11,57749
2015-07-12,57749
2015-07-13,57749
2015-07-14,57749
2015-07-15,57749
2015-07-16,57749
2015-07-17,57749
2015-07-18,57749
2015-07-19,57749
2015-07-20,57749
2015-07-21,57749
2015-07-22,57749
2015-07-23,57749
2015-07-24,54926
2015-07-25,54926
2015-07-26,54926
2015-07-27,54926
2015-07-28,54926
2015-07-29,54926
2015-07-30,54926
2015-07-31,54926
2015-08-01,54926
