date_obj,Rune%20helm%20(h4) price
2015-03-26,38522
2015-03-27,36818
2015-03-28,35293
2015-03-29,33626
2015-03-30,32039
2015-03-31,30437
2015-04-01,30437
2015-04-02,29333
2015-04-03,27874
2015-04-04,26480
2015-04-05,26480
2015-04-06,25634
2015-04-07,25347
2015-04-08,25347
2015-04-09,24471
2015-04-10,23541
2015-04-11,22996
2015-04-12,22505
2015-04-13,22231
2015-04-14,22231
2015-04-15,21801
2015-04-16,21801
2015-04-17,21250
2015-04-18,21166
2015-04-19,20953
2015-04-20,20953
2015-04-21,20789
2015-04-22,20789
2015-04-23,20999
2015-04-24,21446
2015-04-25,21653
2015-04-26,21871
2015-04-27,21421
2015-04-28,21021
2015-04-29,21021
2015-04-30,21395
2015-05-01,22421
2015-05-02,23543
2015-05-03,24721
2015-05-04,25958
2015-05-05,27256
2015-05-06,28449
2015-05-07,29414
2015-05-08,29713
2015-05-09,30509
2015-05-10,30833
2015-05-11,31504
2015-05-12,31377
2015-05-13,30791
2015-05-14,30307
2015-05-15,29843
2015-05-16,29003
2015-05-17,27552
2015-05-18,26234
2015-05-19,25580
2015-05-20,25580
2015-05-21,25103
2015-05-22,24253
2015-05-23,23476
2015-05-24,22785
2015-05-25,22358
2015-05-26,22409
2015-05-27,22902
2015-05-28,23273
2015-05-29,24033
2015-05-30,24669
2015-05-31,25268
2015-06-01,25208
2015-06-02,25208
2015-06-03,24436
2015-06-04,23962
2015-06-05,24178
2015-06-06,23795
2015-06-07,23795
2015-06-08,23095
2015-06-09,22296
2015-06-10,21712
2015-06-11,21712
2015-06-12,20847
2015-06-13,21104
2015-06-14,21104
2015-06-15,20851
2015-06-16,20898
2015-06-17,21114
2015-06-18,20850
2015-06-19,20907
2015-06-20,20557
2015-06-21,20557
2015-06-22,20966
2015-06-23,21275
2015-06-24,21545
2015-06-25,21545
2015-06-26,21277
2015-06-27,21277
2015-06-28,20802
2015-06-29,20802
2015-06-30,20489
2015-07-01,20165
2015-07-02,20165
2015-07-03,20331
2015-07-04,20876
2015-07-05,20876
2015-07-06,21240
2015-07-07,21341
2015-07-08,21806
2015-07-09,21806
2015-07-10,21261
2015-07-11,21261
2015-07-12,21569
2015-07-13,21348
2015-07-14,21348
2015-07-15,20613
2015-07-16,20613
2015-07-17,20452
2015-07-18,20452
2015-07-19,21312
2015-07-20,21073
2015-07-21,21073
2015-07-22,20809
2015-07-23,20809
2015-07-24,20624
2015-07-25,21165
2015-07-26,21165
2015-07-27,21166
2015-07-28,21577
2015-07-29,22257
2015-07-30,22257
2015-07-31,21827
2015-08-01,21827
2015-08-02,21274
2015-08-03,21274
2015-08-04,21658
2015-08-05,21145
2015-08-06,21145
2015-08-07,21415
2015-08-08,20817
2015-08-09,20986
2015-08-10,20837
2015-08-11,20947
2015-08-12,20947
2015-08-13,20926
