date_obj,Dragonstone%20dragon%20bolts%20(e) price
2018-01-03,3173
2018-01-04,3332
2018-01-05,3498
2018-01-06,3657
2018-01-07,3840
2018-01-08,3707
2018-01-09,3521
2018-01-10,3344
2018-01-11,3176
2018-01-12,3017
2018-01-13,2866
2018-01-14,2722
2018-01-15,2585
2018-01-16,2455
2018-01-17,2332
2018-01-18,2215
2018-01-19,2104
2018-01-20,1998
2018-01-21,1898
2018-01-22,1803
2018-01-23,1712
2018-01-25,1544
2018-01-26,1467
2018-01-27,1393
2018-01-28,1400
2018-01-29,1404
2018-01-30,1415
2018-01-31,1474
2018-02-01,1498
2018-02-02,1478
2018-02-03,1520
2018-02-04,1476
2018-02-05,1414
2018-02-06,1382
2018-02-07,1334
2018-02-08,1278
2018-02-09,1215
2018-02-10,1154
2018-02-11,1096
2018-02-12,1082
2018-02-13,1110
2018-02-14,1151
2018-02-15,1154
2018-02-16,1211
2018-02-17,1255
2018-02-18,1292
2018-02-19,1351
2018-02-20,1393
2018-02-21,1443
2018-02-22,1516
2018-02-23,1592
2018-02-24,1667
2018-02-25,1739
2018-02-26,1815
2018-02-27,1876
2018-02-28,1948
2018-03-01,2035
2018-03-02,2135
2018-03-03,2242
2018-03-04,2333
2018-03-05,2240
2018-03-06,2250
2018-03-07,2147
2018-03-09,2125
2018-03-10,2060
2018-03-11,1969
2018-03-12,1905
2018-03-13,1861
2018-03-14,1778
2018-03-15,1703
2018-03-16,1620
2018-03-17,1579
2018-03-18,1545
2018-03-20,1577
2018-03-21,1637
2018-03-23,1755
2018-03-24,1843
2018-03-25,1929
2018-03-26,1936
2018-03-27,1945
2018-03-28,2016
2018-03-29,1952
2018-03-30,1963
2018-03-31,1956
2018-04-01,1934
2018-04-02,1922
2018-04-03,1942
2018-04-04,1974
2018-04-05,1954
2018-04-06,2009
2018-04-07,2086
2018-04-08,2043
2018-04-09,1969
2018-04-10,1976
2018-04-11,2033
2018-04-12,2073
2018-04-13,2059
2018-04-14,2069
2018-04-15,2151
2018-04-16,2253
2018-04-17,2293
2018-04-18,2287
2018-04-19,2276
2018-04-20,2302
2018-04-21,2340
2018-04-22,2303
2018-04-23,2278
2018-04-24,2273
2018-04-25,2263
2018-04-26,2348
2018-04-27,2303
2018-04-28,2245
2018-04-29,2287
2018-04-30,2329
2018-05-01,2360
2018-05-03,2204
2018-05-04,2210
2018-05-05,2173
