date_obj,Banana%20sapling price
2015-03-26,1086
2015-03-27,1086
2015-03-28,1086
2015-03-29,1086
2015-03-30,1086
2015-03-31,1086
2015-04-01,1086
2015-04-02,1086
2015-04-03,1086
2015-04-04,1032
2015-04-05,1032
2015-04-06,1032
2015-04-07,1032
2015-04-08,1032
2015-04-09,1032
2015-04-10,1032
2015-04-11,1032
2015-04-12,1032
2015-04-13,987
2015-04-14,987
2015-04-15,987
2015-04-16,987
2015-04-17,987
2015-04-18,987
2015-04-19,987
2015-04-20,987
2015-04-21,987
2015-04-22,944
2015-04-23,944
2015-04-24,944
2015-04-25,944
2015-04-26,944
2015-04-27,944
2015-04-28,944
2015-04-29,944
2015-04-30,944
2015-05-01,912
2015-05-02,912
2015-05-03,912
2015-05-04,912
2015-05-05,912
2015-05-06,912
2015-05-07,912
2015-05-08,912
2015-05-09,912
2015-05-10,912
2015-05-11,912
2015-05-12,894
2015-05-13,894
2015-05-14,894
2015-05-15,894
2015-05-16,894
2015-05-17,894
2015-05-18,894
2015-05-19,894
2015-05-20,894
2015-05-21,894
2015-05-22,894
2015-05-23,894
2015-05-24,852
2015-05-25,852
2015-05-26,852
2015-05-27,852
2015-05-28,852
2015-05-29,852
2015-05-30,815
2015-05-31,815
2015-06-01,815
2015-06-02,815
2015-06-03,815
2015-06-04,815
2015-06-05,815
2015-06-06,777
2015-06-07,777
2015-06-08,777
2015-06-09,777
2015-06-10,777
2015-06-11,777
2015-06-12,777
2015-06-13,777
2015-06-14,752
2015-06-15,752
2015-06-16,752
2015-06-17,752
2015-06-18,752
2015-06-19,752
2015-06-20,752
2015-06-21,752
2015-06-22,723
2015-06-23,723
2015-06-24,723
2015-06-25,723
2015-06-26,723
2015-06-27,723
2015-06-28,723
2015-06-29,723
2015-06-30,700
2015-07-01,700
2015-07-02,700
2015-07-03,700
2015-07-04,700
2015-07-05,700
2015-07-06,700
2015-07-07,700
2015-07-08,692
2015-07-09,692
2015-07-10,692
2015-07-11,692
2015-07-12,692
2015-07-13,692
2015-07-14,692
2015-07-15,692
2015-07-16,692
2015-07-17,666
2015-07-18,666
2015-07-19,666
2015-07-20,666
2015-07-21,666
2015-07-22,666
2015-07-23,666
2015-07-24,666
2015-07-25,636
2015-07-26,636
2015-07-27,636
2015-07-28,636
2015-07-29,636
2015-07-30,636
2015-07-31,636
2015-08-01,636
2015-08-02,609
2015-08-03,609
2015-08-04,609
2015-08-05,609
2015-08-06,609
2015-08-07,609
2015-08-08,609
2015-08-09,609
2015-08-10,580
2015-08-11,580
2015-08-12,580
2015-08-13,580
2015-08-14,580
2015-08-15,580
2015-08-16,580
2015-08-17,567
2015-08-18,567
2015-08-19,567
2015-08-20,567
2015-08-21,567
2015-08-22,567
2015-08-23,567
2015-08-24,541
2015-08-25,541
2015-08-26,541
2015-08-27,541
2015-08-28,541
2015-08-29,541
2015-08-30,541
2015-08-31,541
2015-09-01,541
2015-09-02,541
2015-09-03,516
2015-09-04,516
2015-09-05,516
2015-09-06,516
2015-09-07,516
2015-09-08,516
2015-09-09,516
2015-09-10,516
2015-09-11,504
2015-09-12,504
2015-09-13,504
2015-09-14,504
2015-09-15,504
2015-09-16,504
2015-09-17,504
2015-09-18,504
2015-09-19,504
2015-09-20,478
2015-09-21,478
