date_obj,Green%20boots price
2015-03-04,9037
2015-03-05,9037
2015-03-06,8585
2015-03-07,8585
2015-03-08,8585
2015-03-09,8585
2015-03-10,8158
2015-03-11,8158
2015-03-12,8158
2015-03-13,8158
2015-03-14,8158
2015-03-15,7750
2015-03-16,7750
2015-03-17,7750
2015-03-18,7750
2015-03-19,7750
2015-03-20,7362
2015-03-21,7362
2015-03-22,7362
2015-03-23,7362
2015-03-24,6993
2015-03-25,6993
2015-03-26,6993
2015-03-27,6993
2015-03-28,6645
2015-03-29,6645
2015-03-30,6645
2015-03-31,6314
2015-04-01,6314
2015-04-02,6314
2015-04-03,6314
2015-04-04,5998
2015-04-05,5998
2015-04-06,5998
2015-04-07,5998
2015-04-08,5700
2015-04-09,5700
2015-04-10,5700
2015-04-11,5700
2015-04-12,5415
2015-04-13,5415
2015-04-14,5415
2015-04-15,5415
2015-04-16,5174
2015-04-17,5174
2015-04-18,5174
2015-04-19,5174
2015-04-20,4919
2015-04-21,4919
2015-04-22,4919
2015-04-23,4919
2015-04-24,4919
2015-04-25,4673
2015-04-26,4673
2015-04-27,4673
2015-04-28,4673
2015-04-29,4673
2015-04-30,4439
2015-05-01,4439
2015-05-02,4439
2015-05-03,4217
2015-05-04,4217
2015-05-05,4217
2015-05-06,4006
2015-05-07,4006
2015-05-08,4006
2015-05-09,3820
2015-05-10,3820
2015-05-11,3820
2015-05-12,3629
2015-05-13,3629
2015-05-14,3629
2015-05-15,3629
2015-05-16,3447
2015-05-17,3447
2015-05-18,3447
2015-05-19,3276
2015-05-20,3276
2015-05-21,3276
2015-05-22,3276
2015-05-23,3276
2015-05-24,3114
2015-05-25,3114
2015-05-26,3114
2015-05-27,3114
2015-05-28,2958
2015-05-29,2958
2015-05-30,2811
2015-05-31,2811
2015-06-01,2811
2015-06-02,2811
2015-06-03,2670
2015-06-04,2670
2015-06-05,2670
2015-06-06,2551
2015-06-07,2551
2015-06-08,2551
2015-06-09,2474
2015-06-10,2474
2015-06-11,2474
2015-06-12,2474
2015-06-13,2443
2015-06-14,2443
2015-06-15,2443
2015-06-16,2443
2015-06-17,2320
2015-06-18,2320
2015-06-19,2320
2015-06-20,2244
2015-06-21,2244
2015-06-22,2244
2015-06-23,2244
2015-06-24,2173
2015-06-25,2173
2015-06-26,2173
2015-06-27,2173
2015-06-28,2077
2015-06-29,2077
2015-06-30,2077
2015-07-01,2077
2015-07-02,2077
2015-07-03,1986
2015-07-04,1986
2015-07-05,1986
2015-07-06,1986
2015-07-07,1900
2015-07-08,1900
2015-07-09,1900
2015-07-10,1900
2015-07-11,1807
2015-07-12,1807
2015-07-13,1807
2015-07-14,1807
2015-07-15,1759
2015-07-16,1759
2015-07-17,1759
2015-07-18,1759
2015-07-19,1740
2015-07-20,1740
2015-07-21,1740
2015-07-22,1654
2015-07-23,1654
2015-07-24,1654
2015-07-25,1654
2015-07-26,1641
2015-07-27,1641
2015-07-28,1641
2015-07-29,1568
2015-07-30,1568
2015-07-31,1568
2015-08-01,1568
2015-08-02,1489
2015-08-03,1489
2015-08-04,1489
2015-08-05,1428
2015-08-06,1428
2015-08-07,1428
2015-08-08,1428
2015-08-09,1439
2015-08-10,1439
2015-08-11,1439
2015-08-12,1439
2015-08-13,1448
2015-08-14,1448
2015-08-15,1448
2015-08-16,1448
2015-08-17,1452
2015-08-18,1452
2015-08-19,1452
2015-08-20,1470
2015-08-21,1470
2015-08-22,1470
2015-08-23,1450
2015-08-24,1450
2015-08-25,1450
2015-08-26,1450
2015-08-27,1414
2015-08-28,1414
2015-08-29,1414
2015-08-30,1414
2015-08-31,1380
2015-09-01,316
2015-09-02,1380
2015-09-07,1314
2015-09-08,1252
2015-09-10,1252
2015-09-14,1200
2015-09-16,1165
2015-09-22,1205
2015-09-23,1170
2015-09-24,1170
2015-09-25,1170
2015-09-27,1170
2015-09-28,1145
2015-09-29,1145
