date_obj,Slayer's%20enchantment price
2018-03-06,2404
2018-03-07,2515
2018-03-08,2600
2018-03-09,2573
2018-03-10,2682
2018-03-11,2814
2018-03-12,2751
2018-03-13,2719
2018-03-14,2676
2018-03-15,2547
2018-03-16,2584
2018-03-17,2600
2018-03-18,2592
2018-03-19,2594
2018-03-20,2592
2018-03-21,2470
2018-03-23,2352
2018-03-24,2396
2018-03-26,2532
2018-03-27,2626
2018-03-28,2610
2018-03-29,2479
2018-03-30,2373
2018-03-31,2297
2018-04-01,2182
2018-04-02,2093
2018-04-03,2120
2018-04-04,2025
2018-04-05,1937
2018-04-06,2008
2018-04-08,2042
2018-04-09,2070
2018-04-10,2073
2018-04-11,2047
2018-04-12,2043
2018-04-13,2044
2018-04-14,2048
2018-04-16,1978
2018-04-17,1880
2018-04-18,1795
2018-04-19,1883
2018-04-20,1978
2018-04-21,2022
2018-04-22,1973
2018-04-23,1974
2018-04-24,1987
2018-04-25,2087
2018-04-26,2113
2018-04-27,2153
2018-04-28,2199
2018-04-29,2157
2018-04-30,2049
2018-05-01,1946
2018-05-02,1848
2018-05-03,1755
2018-05-04,1674
2018-05-05,1606
2018-05-06,1606
2018-05-07,1591
2018-05-08,1527
2018-05-09,1521
2018-05-10,1508
2018-05-11,1478
2018-05-12,1536
2018-05-13,1613
2018-05-14,1694
2018-05-15,1728
2018-05-16,1715
2018-05-17,1656
2018-05-18,1649
2018-05-19,1573
2018-05-20,1521
2018-05-21,1484
2018-05-22,1434
2018-05-23,1429
2018-05-24,1416
2018-05-25,1415
2018-05-26,1424
2018-05-27,1356
2018-05-28,1308
2018-05-29,1243
2018-05-30,1251
2018-05-31,1217
2018-06-01,1266
2018-06-02,1276
2018-06-03,1242
2018-06-04,1201
2018-06-05,1140
2018-06-06,1090
2018-06-07,1050
2018-06-08,1012
2018-06-09,1010
2018-06-10,1020
2018-06-11,1023
2018-06-12,1058
2018-06-13,1059
2018-06-14,1062
2018-06-15,1037
2018-06-16,1068
2018-06-17,1036
2018-06-18,1086
2018-06-19,1141
2018-06-20,1141
2018-06-21,1199
2018-06-22,1253
2018-06-23,1305
2018-06-24,1296
2018-06-25,1239
2018-06-26,1178
2018-06-27,1123
2018-06-28,1094
2018-06-29,1102
2018-06-30,1149
2018-07-01,1172
2018-07-02,1231
2018-07-03,1293
2018-07-04,1358
2018-07-05,1426
2018-07-06,1498
2018-07-07,1559
2018-07-08,1537
2018-07-09,1537
