date_obj,Karil's%20armour%20set price
2015-03-26,2054938
2015-03-27,2054938
2015-03-28,2002978
2015-03-29,2002978
2015-03-30,2002978
2015-03-31,2002978
2015-04-01,2002978
2015-04-02,2002978
2015-04-03,2002978
2015-04-04,2002978
2015-04-05,2002978
2015-04-06,1904265
2015-04-07,1904265
2015-04-08,1904265
2015-04-09,1904265
2015-04-10,1904265
2015-04-11,1904265
2015-04-12,1904265
2015-04-13,1904265
2015-04-14,1904265
2015-04-15,1904265
2015-04-16,1810430
2015-04-17,1810430
2015-04-18,1810430
2015-04-19,1810430
2015-04-20,1810430
2015-04-21,1810430
2015-04-22,1810430
2015-04-23,1810430
2015-04-24,1810430
2015-04-25,1721186
2015-04-26,1721186
2015-04-27,1721186
2015-04-28,1721186
2015-04-29,1721186
2015-04-30,1721186
2015-05-01,1721186
2015-05-02,1721186
2015-05-03,1721186
2015-05-04,1636403
2015-05-05,1636403
2015-05-06,1636403
2015-05-07,1636403
2015-05-08,1636403
2015-05-09,1636403
2015-05-10,1636403
2015-05-11,1636403
2015-05-12,1636403
2015-05-13,1636403
2015-05-14,1574057
2015-05-15,1574057
2015-05-16,1574057
2015-05-17,1574057
2015-05-18,1574057
2015-05-19,1574057
2015-05-20,1574057
2015-05-21,1574057
2015-05-22,1574057
2015-05-23,1498546
2015-05-24,1498546
2015-05-25,1498546
2015-05-26,1498546
2015-05-27,1498546
2015-05-28,1498546
2015-05-29,1485239
2015-05-30,1485239
2015-05-31,1485239
2015-06-01,1485239
2015-06-02,1485239
2015-06-03,1485239
2015-06-04,1473870
2015-06-05,1473870
2015-06-06,1473870
2015-06-07,1473870
2015-06-08,1473870
2015-06-09,1473870
2015-06-10,1502732
2015-06-11,1502732
2015-06-12,1502732
2015-06-13,1502732
2015-06-14,1502732
2015-06-15,1502732
2015-06-16,1502732
2015-06-17,1533681
2015-06-18,1533681
2015-06-19,1533681
2015-06-20,1533681
2015-06-21,1533681
2015-06-22,1592295
2015-06-23,1592295
2015-06-24,1592295
2015-06-25,1592295
2015-06-26,1592295
2015-06-27,1592295
2015-06-28,1651442
2015-06-29,1651442
2015-06-30,1651442
2015-07-01,1651442
2015-07-02,1651442
2015-07-03,1651442
2015-07-04,1679279
2015-07-05,1679279
2015-07-06,1679279
2015-07-07,1679279
2015-07-08,1679279
2015-07-09,1679279
2015-07-10,1679279
2015-07-11,1677912
2015-07-12,1677912
2015-07-13,1677912
2015-07-14,1677912
2015-07-15,1677912
2015-07-16,1677912
2015-07-17,1643360
2015-07-18,1643360
2015-07-19,1643360
2015-07-20,1643360
2015-07-21,1643360
2015-07-22,1643360
2015-07-23,1643360
2015-07-24,1593554
2015-07-25,1593554
2015-07-26,1593554
2015-07-27,1593554
2015-07-28,1593554
2015-07-29,1593554
2015-07-30,1561149
2015-07-31,1561149
2015-08-01,1561149
2015-08-02,1561149
2015-08-03,1561149
2015-08-04,1561149
2015-08-05,1612120
2015-08-06,1612120
2015-08-07,1612120
2015-08-08,1612120
2015-08-09,1612120
2015-08-10,1685643
2015-08-11,1685643
2015-08-12,1685643
2015-08-13,1685643
2015-08-14,1685643
2015-08-15,1731405
2015-08-16,1731405
2015-08-17,1731405
2015-08-18,1731405
2015-08-19,1776344
2015-08-20,1776344
2015-08-21,1776344
2015-08-22,1776344
2015-08-23,1776344
2015-08-24,1783050
2015-08-25,1783050
2015-08-26,1783050
2015-08-27,1783050
2015-08-28,1783050
2015-08-29,1795917
2015-08-30,1795917
2015-08-31,1795917
2015-09-01,1795917
2015-09-02,1795917
2015-09-03,1795917
2015-09-04,1708062
2015-09-05,1708062
2015-09-06,1708062
2015-09-07,1708062
2015-09-08,1708062
2015-09-09,1627965
2015-09-10,1627965
2015-09-11,1627965
2015-09-12,1627965
2015-09-13,1627965
2015-09-14,1562302
2015-09-15,1562302
2015-09-16,1562302
2015-09-17,1562302
2015-09-18,1562302
2015-09-19,1581896
2015-09-20,1581896
2015-09-21,1581896
2015-09-22,1581896
2015-09-23,1581896
2015-09-24,1581896
2015-09-25,1637789
2015-09-27,1637789
2015-09-28,1637789
2015-09-29,1637789
2015-09-30,1677414
2015-10-05,1677414
2015-10-06,1726620
2015-10-07,1726620
2015-10-08,1726620
2015-10-09,1726620
2015-10-10,1726620
2015-10-11,1726620
2015-10-12,1722229
2015-10-13,1722229
2015-10-14,1722229
2015-10-15,1722229
2015-10-16,1722229
2015-10-17,1722229
2015-10-18,1731033
2015-10-19,1731033
2015-10-20,1731033
2015-10-22,1731033
2015-10-23,1737894
2015-10-24,1737894
2015-10-25,1737894
2015-10-26,1737894
2015-10-27,1737894
2015-10-29,1813910
2015-10-30,1813910
2015-10-31,1813910
2015-11-01,1813910
2015-11-02,1813910
2015-11-03,1885548
2015-11-04,1885548
2015-11-05,1885548
2015-11-06,1885548
2015-11-07,1885548
2015-11-08,1885548
2015-11-09,1876442
2015-11-10,1876442
2015-11-11,1876442
2015-11-12,1876442
2015-11-13,1876442
2015-11-14,1876442
2015-11-15,1888540
2015-11-16,1888540
2015-11-17,1888540
2015-11-18,1888540
2015-11-19,1888540
2015-11-20,1888540
2015-11-21,1888540
2015-11-22,1882528
2015-11-23,1882528
2015-11-24,1882528
2015-11-25,1882528
2015-11-26,1882528
2015-11-27,1958917
2015-11-28,1958917
2015-11-29,1958917
2015-11-30,1958917
2015-12-01,2046464
2015-12-02,2046464
2015-12-03,2046464
2015-12-04,2046464
2015-12-05,2046464
2015-12-06,2140012
2015-12-07,2140012
2015-12-08,2140012
2015-12-09,2140012
2015-12-10,2140012
2015-12-11,2235635
2015-12-12,2235635
2015-12-13,2235635
2015-12-14,2235635
2015-12-15,2335889
