date_obj,Opal%20machete price
2015-03-26,12703
2015-03-27,12703
2015-03-28,12703
2015-03-29,12703
2015-03-30,12703
2015-03-31,12703
2015-04-01,12703
2015-04-02,12703
2015-04-03,12703
2015-04-04,12703
2015-04-05,12703
2015-04-06,12076
2015-04-07,12076
2015-04-08,12076
2015-04-09,12076
2015-04-10,12076
2015-04-11,12076
2015-04-12,12076
2015-04-13,12076
2015-04-14,12076
2015-04-15,12076
2015-04-16,12076
2015-04-17,12076
2015-04-18,11482
2015-04-19,11482
2015-04-20,11482
2015-04-21,11482
2015-04-22,11482
2015-04-23,11482
2015-04-24,11482
2015-04-25,11482
2015-04-26,11482
2015-04-27,11482
2015-04-28,11482
2015-04-29,11482
2015-04-30,11482
2015-05-01,11482
2015-05-02,10914
2015-05-03,10914
2015-05-04,10914
2015-05-05,10914
2015-05-06,10914
2015-05-07,10914
2015-05-08,10914
2015-05-09,10914
2015-05-10,10914
2015-05-11,10914
2015-05-12,10914
2015-05-13,10914
2015-05-14,10914
2015-05-15,10914
2015-05-16,10382
2015-05-17,10382
2015-05-18,10382
2015-05-19,10382
2015-05-20,10382
2015-05-21,10382
2015-05-22,10382
2015-05-23,10382
2015-05-24,10382
2015-05-25,10382
2015-05-26,10382
2015-05-27,10382
2015-05-28,9862
2015-05-29,9862
2015-05-30,9862
2015-05-31,9862
2015-06-01,9862
2015-06-02,9862
2015-06-03,9862
2015-06-04,9373
2015-06-05,9373
2015-06-06,9373
2015-06-07,9373
2015-06-08,9373
2015-06-09,9373
2015-06-10,9373
2015-06-11,9373
2015-06-12,8914
2015-06-13,8914
2015-06-14,8914
2015-06-15,8914
2015-06-16,8914
2015-06-17,8914
2015-06-18,8914
2015-06-19,8914
2015-06-20,8472
2015-06-21,8472
2015-06-22,8472
2015-06-23,8472
2015-06-24,8472
2015-06-25,8472
2015-06-26,8472
2015-06-27,8472
2015-06-28,8075
2015-06-29,8075
2015-06-30,8075
2015-07-01,8075
2015-07-02,8075
2015-07-03,8075
2015-07-04,8075
2015-07-05,8075
2015-07-06,8075
2015-07-07,8075
2015-07-08,7692
2015-07-09,7692
2015-07-10,7692
2015-07-11,7692
2015-07-12,7692
2015-07-13,7692
2015-07-14,7692
2015-07-15,7692
2015-07-16,7692
2015-07-17,7692
2015-07-18,7317
2015-07-19,7317
2015-07-20,7317
2015-07-21,7317
2015-07-22,7317
2015-07-23,7317
2015-07-24,7317
2015-07-25,7317
2015-07-26,6963
2015-07-27,6963
2015-07-28,6963
2015-07-29,6963
2015-07-30,6963
2015-07-31,6963
2015-08-01,6963
2015-08-02,6963
2015-08-03,6628
2015-08-04,6628
2015-08-05,6628
2015-08-06,6628
2015-08-07,6628
2015-08-08,6628
2015-08-09,6628
2015-08-10,6628
2015-08-11,6628
2015-08-12,6318
2015-08-13,6318
2015-08-14,6318
2015-08-15,6318
2015-08-16,6318
2015-08-17,6318
2015-08-18,6318
2015-08-19,6318
2015-08-20,6318
2015-08-21,6318
2015-08-22,6006
2015-08-23,6006
2015-08-24,6006
2015-08-25,6006
2015-08-26,6006
2015-08-27,6006
2015-08-28,6006
2015-08-29,6006
2015-08-30,6006
2015-08-31,5719
2015-09-01,5719
2015-09-02,5719
2015-09-03,5719
2015-09-04,5719
2015-09-05,5719
2015-09-06,5719
2015-09-07,5448
2015-09-08,5448
2015-09-09,5448
2015-09-10,5448
2015-09-11,5448
2015-09-12,5448
2015-09-13,5448
2015-09-14,5186
2015-09-15,5186
2015-09-16,5186
2015-09-17,5186
2015-09-18,5186
2015-09-19,5186
2015-09-20,5186
2015-09-21,5186
2015-09-22,4932
2015-09-23,4932
2015-09-24,4932
2015-09-25,4932
2015-09-27,4932
2015-09-28,4932
2015-09-29,4932
2015-09-30,4701
2015-10-05,4701
2015-10-06,4701
2015-10-07,4701
2015-10-08,4701
2015-10-09,4472
2015-10-10,4472
2015-10-11,4472
2015-10-12,4472
2015-10-13,4472
2015-10-14,4472
2015-10-15,4472
2015-10-16,4472
2015-10-17,4472
2015-10-18,4254
2015-10-19,4254
2015-10-20,4254
2015-10-22,4254
2015-10-23,4254
2015-10-24,4254
2015-10-25,4254
2015-10-26,4052
2015-10-27,4052
2015-10-29,4052
2015-10-30,4052
2015-10-31,4052
2015-11-01,4052
2015-11-02,4052
2015-11-03,4052
2015-11-04,4052
2015-11-05,4052
2015-11-06,4052
2015-11-07,3866
2015-11-08,3866
2015-11-09,3866
2015-11-10,3866
2015-11-11,3866
2015-11-12,3866
2015-11-13,3866
2015-11-14,3866
2015-11-15,3866
2015-11-16,3866
2015-11-17,3866
2015-11-18,3866
2015-11-19,3866
2015-11-20,3683
2015-11-21,3683
2015-11-22,3683
2015-11-23,3683
2015-11-24,3683
2015-11-25,3683
2015-11-26,3683
2015-11-27,3683
2015-11-28,3683
2015-11-29,3683
2015-11-30,3683
2015-12-01,3508
2015-12-02,3508
2015-12-03,3508
2015-12-04,3508
2015-12-05,3508
2015-12-06,3508
2015-12-07,3508
2015-12-08,3508
2015-12-09,3508
2015-12-10,3508
2015-12-11,3346
2015-12-12,3346
2015-12-13,3346
2015-12-14,3346
2015-12-15,3346
2015-12-16,3346
2015-12-17,3346
2015-12-18,3346
2015-12-19,3346
2015-12-20,3346
2015-12-21,3189
2015-12-22,3189
2015-12-23,3189
2015-12-24,3189
2015-12-25,3189
2015-12-26,3189
2015-12-27,3189
2015-12-28,3189
2015-12-29,3189
2015-12-30,3034
2015-12-31,3034
2016-01-01,3034
2016-01-02,3034
2016-01-03,3034
2016-01-04,3034
2016-01-05,3034
2016-01-06,3034
2016-01-07,2896
2016-01-08,2896
2016-01-09,2896
2016-01-10,2896
2016-01-11,2896
2016-01-12,2896
2016-01-13,2896
2016-01-14,2788
2016-01-15,2788
2016-01-16,2788
2016-01-17,2788
2016-01-18,2788
2016-01-19,2788
2016-01-20,2788
2016-01-21,2788
2016-01-22,2732
2016-01-23,2732
2016-01-24,2732
2016-01-25,2732
2016-01-26,2732
2016-01-27,2732
2016-01-28,2732
2016-01-29,2732
2016-01-30,2732
2016-01-31,2599
2016-02-01,2599
2016-02-02,2599
2016-02-03,2599
2016-02-04,2599
2016-02-05,2599
2016-02-06,2599
2016-02-07,2599
2016-02-08,2599
2016-02-09,2474
2016-02-10,2474
2016-02-11,2474
2016-02-12,2474
2016-02-13,2474
2016-02-14,2474
2016-02-15,2474
2016-02-16,2474
2016-02-17,2474
2016-02-18,2474
2016-02-19,2356
2016-02-20,2356
2016-02-21,2356
2016-02-22,2356
2016-02-23,2356
2016-02-24,2356
2016-02-25,2356
2016-02-26,2356
2016-02-27,2240
2016-02-28,2240
2016-02-29,2240
2016-03-01,2240
2016-03-02,2240
2016-03-03,2240
2016-03-04,2240
2016-03-05,2240
2016-03-06,2138
2016-03-07,2138
2016-03-08,2138
2016-03-09,2138
2016-03-10,2138
2016-03-11,2138
2016-03-12,2138
2016-03-13,2138
2016-03-14,2138
2016-03-15,2138
2016-03-16,2034
2016-03-17,2034
2016-03-18,2034
2016-03-19,2034
2016-03-20,2034
2016-03-21,2034
2016-03-22,2034
2016-03-23,2050
2016-03-24,2050
2016-03-25,2050
2016-03-26,2050
2016-03-27,2050
2016-03-28,2050
2016-03-29,2050
2016-03-30,2050
2016-03-31,2050
2016-04-01,1965
2016-04-02,1965
2016-04-03,1965
2016-04-04,1965
2016-04-05,1965
2016-04-06,1965
2016-04-07,1965
2016-04-08,1965
2016-04-09,1965
2016-04-10,1961
2016-04-11,1961
2016-04-12,1961
2016-04-13,1961
2016-04-14,1961
2016-04-15,1961
2016-04-16,1961
2016-04-17,1961
2016-04-18,1961
2016-04-19,1924
2016-04-20,1924
2016-04-21,1924
2016-04-22,1924
2016-04-23,1924
2016-04-24,1924
2016-04-25,1924
2016-04-26,1943
2016-04-27,1943
2016-04-28,1943
2016-04-29,1943
2016-04-30,1943
2016-05-01,1943
2016-05-02,1943
2016-05-03,1943
2016-05-04,1989
2016-05-05,1989
2016-05-06,1989
2016-05-07,1989
2016-05-08,1989
2016-05-09,1989
2016-05-10,1989
2016-05-11,1989
2016-05-12,1892
2016-05-13,1892
2016-05-14,1892
2016-05-15,1892
2016-05-16,1892
2016-05-17,1892
2016-05-18,1844
2016-05-19,1844
2016-05-22,1844
2016-05-23,1844
2016-05-24,1844
2016-05-25,1844
2016-05-26,1754
2016-05-27,1754
2016-05-28,1754
2016-05-29,1754
2016-05-30,1754
2016-05-31,1754
2016-06-01,1754
