date_obj,Redwood%20pyre%20logs price
2016-06-02,15000
2016-06-03,15000
2016-06-04,15000
2016-06-05,15000
2016-06-06,15000
2016-06-07,15000
2016-06-08,15000
2016-06-09,15000
2016-06-10,15000
2016-06-11,15000
2016-06-12,15000
2016-06-13,15000
2016-06-14,15000
2016-06-15,15000
2016-06-16,15000
2016-06-17,15000
2016-06-18,15000
2016-06-19,15000
2016-06-20,15000
2016-06-21,15000
2016-06-22,15000
2016-06-23,15000
2016-06-24,15000
2016-06-25,15000
2016-06-26,15000
2016-06-27,15000
2016-06-28,15000
2016-06-29,15000
2016-06-30,15000
2016-07-01,15000
2016-07-02,15000
2016-07-03,15000
2016-07-04,15000
2016-07-05,15000
2016-07-06,15000
2016-07-07,14271
2016-07-08,14271
2016-07-09,14271
2016-07-10,14271
2016-07-11,14271
2016-07-12,14271
2016-07-13,14271
2016-07-14,14271
2016-07-15,14271
2016-07-16,14271
2016-07-17,14271
2016-07-18,14271
2016-07-23,14271
2016-07-24,14271
2016-07-25,14271
2016-07-26,14271
2016-07-27,14271
2016-07-28,14271
2016-07-29,14271
2016-07-30,14271
2016-07-31,14271
2016-08-01,14271
2016-08-02,14271
2016-08-03,14271
2016-08-04,14271
2016-08-05,14271
2016-08-06,14271
2016-08-07,14271
2016-08-08,14271
2016-08-09,14271
2016-08-10,14271
2016-08-11,14271
2016-08-12,14271
2016-08-13,14271
2016-08-14,14271
2016-08-15,14271
2016-08-16,14271
2016-08-17,14271
2016-08-18,14271
2016-08-19,14271
2016-08-20,14271
2016-08-21,14271
2016-08-22,14271
2016-08-23,14271
2016-08-24,14271
2016-08-25,14271
2016-08-26,14271
2016-08-28,14271
2016-08-31,14271
2016-09-01,14271
2016-09-02,14271
2016-09-03,14271
2016-09-04,14271
2016-09-05,14271
2016-09-06,14271
2016-09-07,13565
2016-09-08,13565
2016-09-09,13565
2016-09-10,13565
2016-09-11,13565
2016-09-12,13565
2016-09-13,13565
2016-09-14,13565
2016-09-15,13565
2016-09-16,13565
2016-09-17,13565
2016-09-18,13565
2016-09-19,13565
2016-09-20,13565
2016-09-21,13565
2016-09-22,13565
2016-09-23,13565
2016-09-24,13565
2016-09-25,13565
2016-09-26,13565
2016-09-27,13565
2016-09-28,13565
2016-09-29,13565
2016-09-30,13565
2016-10-01,13565
2016-10-02,13565
2016-10-03,13565
2016-10-04,13565
2016-10-05,13565
2016-10-06,13565
2016-10-07,13565
2016-10-08,13565
2016-10-09,13565
2016-10-10,13565
2016-10-11,13565
2016-10-12,13565
2016-10-13,13565
2016-10-14,13565
2016-10-15,13565
2016-10-16,13565
2016-10-17,13565
2016-10-18,13565
2016-10-19,13565
2016-10-20,13565
2016-10-21,13565
2016-10-22,13565
2016-10-23,13565
2016-10-24,13565
2016-10-25,13565
2016-10-26,13565
2016-10-27,13565
2016-10-28,13565
2016-10-29,13565
2016-10-30,12892
2016-10-31,12892
2016-11-01,12892
2016-11-02,12892
2016-11-03,12892
2016-11-04,12892
2016-11-05,12892
2016-11-06,12892
2016-11-07,12892
2016-11-08,12892
2016-11-09,12892
2016-11-10,12892
2016-11-11,12892
2016-11-12,12892
2016-11-13,12892
2016-11-14,12892
2016-12-08,12892
2016-12-09,12892
2016-12-10,12892
2016-12-11,12892
2016-12-12,12892
2016-12-13,12892
2016-12-14,12892
2016-12-15,12892
2016-12-16,12892
2016-12-17,12892
2016-12-18,12892
2016-12-19,12892
2016-12-20,12892
2016-12-21,12892
2016-12-22,12892
2016-12-23,12892
2016-12-24,12892
2016-12-25,12892
2016-12-26,12892
2016-12-27,12892
2016-12-28,12892
2016-12-29,12892
2016-12-30,12892
2016-12-31,12255
2017-01-01,12255
2017-01-02,12255
2017-01-03,12255
2017-01-04,12255
2017-01-05,12255
2017-01-06,12255
2017-01-07,12255
2017-01-08,12255
2017-01-09,12255
2017-01-10,12255
2017-01-11,12255
2017-01-12,12255
2017-01-13,12255
2017-01-14,12255
2017-01-15,12255
2017-01-16,12255
2017-01-17,12255
2017-01-18,12255
2017-01-19,12255
2017-01-20,12255
2017-01-21,12255
2017-01-22,12255
2017-01-27,12255
2017-01-28,12255
2017-01-29,12255
2017-01-30,12255
2017-01-31,12255
2017-02-01,12255
2017-02-02,12255
2017-02-03,12255
2017-02-04,12255
2017-02-05,12255
2017-02-06,12255
2017-02-07,12255
2017-02-08,12255
2017-02-09,12255
2017-02-10,12255
2017-02-11,12255
