date_obj,Godsword%20blade price
2015-03-26,688323
2015-03-27,688323
2015-03-28,654377
2015-03-29,654377
2015-03-30,654377
2015-03-31,654377
2015-04-01,654377
2015-04-02,654377
2015-04-03,654377
2015-04-04,654377
2015-04-05,654377
2015-04-06,654377
2015-04-07,654377
2015-04-08,654377
2015-04-09,654377
2015-04-10,654377
2015-04-11,654377
2015-04-12,631624
2015-04-13,631624
2015-04-14,631624
2015-04-15,631624
2015-04-16,631624
2015-04-17,631624
2015-04-18,631624
2015-04-19,631624
2015-04-20,631624
2015-04-21,631624
2015-04-22,602223
2015-04-23,602223
2015-04-24,602223
2015-04-25,602223
2015-04-26,602223
2015-04-27,602223
2015-04-28,574533
2015-04-29,574533
2015-04-30,574533
2015-05-01,574533
2015-05-02,574533
2015-05-03,574533
2015-05-04,574533
2015-05-05,574533
2015-05-06,566371
2015-05-07,566371
2015-05-08,566371
2015-05-09,566371
2015-05-10,566371
2015-05-11,566371
2015-05-12,566371
2015-05-13,566371
2015-05-14,566371
2015-05-15,566371
2015-05-16,566371
2015-05-17,544438
2015-05-18,544438
2015-05-19,544438
2015-05-20,544438
2015-05-21,544438
2015-05-22,544438
2015-05-23,544438
2015-05-24,544438
2015-05-25,544438
2015-05-26,544438
2015-05-27,544438
2015-05-28,532948
2015-05-29,532948
2015-05-30,532948
2015-05-31,532948
2015-06-01,532948
2015-06-02,532948
2015-06-03,532948
2015-06-04,532948
2015-06-05,558659
2015-06-06,558659
2015-06-07,558659
2015-06-08,558659
2015-06-09,558659
2015-06-10,558659
2015-06-11,558659
2015-06-12,558659
2015-06-13,574731
2015-06-14,574731
2015-06-15,574731
2015-06-16,574731
2015-06-17,574731
2015-06-18,574731
2015-06-19,574731
2015-06-20,574731
2015-06-21,574731
2015-06-22,551662
2015-06-23,551662
2015-06-24,551662
2015-06-25,551662
2015-06-26,551662
2015-06-27,551662
2015-06-28,551662
2015-06-29,551662
2015-06-30,551298
2015-07-01,551298
2015-07-02,551298
2015-07-03,551298
2015-07-04,551298
2015-07-05,551298
2015-07-06,551298
2015-07-07,551298
2015-07-08,551298
2015-07-09,542253
2015-07-10,542253
2015-07-11,542253
2015-07-12,542253
2015-07-13,542253
2015-07-14,542253
2015-07-15,542253
2015-07-16,542253
2015-07-17,542253
2015-07-18,542253
2015-07-19,545168
2015-07-20,545168
2015-07-21,545168
2015-07-22,545168
2015-07-23,545168
2015-07-24,545168
2015-07-25,545168
2015-07-26,545168
2015-07-27,545168
2015-07-28,570147
2015-07-29,570147
2015-07-30,570147
2015-07-31,570147
2015-08-01,570147
2015-08-02,570147
2015-08-03,570147
2015-08-04,570147
2015-08-05,570147
2015-08-06,575477
2015-08-07,575477
2015-08-08,575477
2015-08-09,575477
2015-08-10,575477
2015-08-11,575477
2015-08-12,575477
2015-08-13,575477
2015-08-14,575477
2015-08-15,551309
2015-08-16,551309
2015-08-17,551309
2015-08-18,551309
2015-08-19,551309
2015-08-20,551309
2015-08-21,551309
2015-08-22,551309
2015-08-23,551309
2015-08-24,542952
2015-08-25,542952
2015-08-26,542952
2015-08-27,542952
2015-08-28,542952
2015-08-29,542952
2015-08-30,542952
2015-08-31,542952
2015-09-01,542952
2015-09-02,542952
2015-09-03,564498
2015-09-04,564498
2015-09-05,564498
2015-09-06,564498
2015-09-07,564498
2015-09-08,564498
2015-09-09,564498
2015-09-10,564498
2015-09-11,564498
2015-09-12,575688
2015-09-13,575688
2015-09-14,575688
2015-09-15,575688
2015-09-16,575688
2015-09-17,575688
2015-09-18,575688
2015-09-19,575688
2015-09-20,575688
2015-09-21,575688
2015-09-22,558759
2015-09-23,558759
2015-09-24,558759
2015-09-25,558759
2015-09-27,558759
2015-09-28,558759
2015-09-29,558759
2015-09-30,558759
2015-10-05,540258
2015-10-06,540258
2015-10-07,540258
2015-10-08,540258
2015-10-09,540258
2015-10-10,540258
2015-10-11,540258
2015-10-12,540258
2015-10-13,540258
2015-10-14,540258
2015-10-15,540258
2015-10-16,533165
2015-10-17,533165
2015-10-18,533165
2015-10-19,533165
2015-10-20,533165
2015-10-22,533165
2015-10-23,533165
2015-10-24,533165
2015-10-25,533165
2015-10-26,533165
2015-10-27,523160
2015-10-29,523160
2015-10-30,523160
2015-10-31,523160
2015-11-01,523160
2015-11-02,523160
2015-11-03,523160
2015-11-04,523160
2015-11-05,523160
2015-11-06,523160
2015-11-07,523160
2015-11-08,523160
2015-11-09,523160
2015-11-10,523160
2015-11-11,528131
2015-11-12,528131
2015-11-13,528131
2015-11-14,528131
2015-11-15,528131
2015-11-16,528131
2015-11-17,528131
2015-11-18,528131
2015-11-19,528131
2015-11-20,528131
2015-11-21,528131
2015-11-22,528131
2015-11-23,528131
2015-11-24,528131
2015-11-25,548647
2015-11-26,548647
2015-11-27,548647
2015-11-28,548647
2015-11-29,548647
2015-11-30,548647
2015-12-01,548647
2015-12-02,548647
2015-12-03,548647
2015-12-04,548647
2015-12-05,548647
2015-12-06,548647
2015-12-07,548647
2015-12-08,544739
2015-12-09,544739
2015-12-10,544739
2015-12-11,544739
2015-12-12,544739
2015-12-13,544739
2015-12-14,544739
2015-12-15,544739
2015-12-16,544739
2015-12-17,544739
2015-12-18,544739
2015-12-19,538352
2015-12-20,538352
2015-12-21,538352
2015-12-22,538352
2015-12-23,538352
2015-12-24,538352
2015-12-25,538352
2015-12-26,538352
2015-12-27,538352
2015-12-28,538352
