date_obj,Zamorakian%20hasta price
2015-03-26,6942160
2015-03-27,6942160
2015-03-28,6942160
2015-03-29,6815029
2015-03-30,6815029
2015-03-31,6972989
2015-04-01,6972989
2015-04-02,7029940
2015-04-03,7029940
2015-04-04,7013549
2015-04-05,7013549
2015-04-06,7136021
2015-04-07,7136021
2015-04-08,7234776
2015-04-09,7234776
2015-04-10,7361494
2015-04-11,7361494
2015-04-12,7585020
2015-04-13,7585020
2015-04-14,7559273
2015-04-15,7559273
2015-04-16,7510027
2015-04-17,7510027
2015-04-18,7666196
2015-04-19,7666196
2015-04-20,7978343
2015-04-21,7978343
2015-04-22,7998740
2015-04-23,7998740
2015-04-24,8227360
2015-04-25,8227360
2015-04-26,8587254
2015-04-27,8587254
2015-04-28,8797871
2015-04-29,8797871
2015-04-30,8776848
2015-05-01,8776848
2015-05-02,8805329
2015-05-03,8805329
2015-05-04,8612027
2015-05-05,8612027
2015-05-06,8516407
2015-05-07,8516407
2015-05-08,8253236
2015-05-09,8253236
2015-05-10,8173412
2015-05-11,8173412
2015-05-12,8185220
2015-05-13,8185220
2015-05-14,8271496
2015-05-15,8271496
2015-05-16,8465109
2015-05-17,8594168
2015-05-18,8594168
2015-05-19,8738073
2015-05-20,8738073
2015-05-21,8738073
2015-05-22,8741710
2015-05-23,8741710
2015-05-24,8804216
2015-05-25,8805318
2015-05-26,8805318
2015-05-27,8997118
2015-05-28,9101035
2015-05-29,9231545
2015-05-30,9240901
2015-05-31,9240901
2015-06-01,9292947
2015-06-02,9292947
2015-06-03,9178906
2015-06-04,9287480
2015-06-05,9379037
2015-06-06,9498401
2015-06-07,9566137
2015-06-08,9539706
2015-06-09,9409502
2015-06-10,9241730
2015-06-11,9047597
2015-06-12,9047597
2015-06-13,8642834
2015-06-14,8552975
2015-06-15,8409303
2015-06-16,8239127
2015-06-17,8347900
2015-06-18,8338695
2015-06-19,8185640
2015-06-20,7836012
2015-06-21,7836012
2015-06-22,7483185
2015-06-23,7534081
2015-06-24,7353100
2015-06-25,7353100
2015-06-26,7122744
2015-06-27,7122744
2015-06-28,7382579
2015-06-29,7382579
2015-06-30,7531589
2015-07-01,7839648
2015-07-02,7839648
2015-07-03,7822755
2015-07-04,7787806
2015-07-05,7776931
2015-07-06,7783180
2015-07-07,7840983
2015-07-08,7959481
2015-07-09,7959481
2015-07-10,8212544
2015-07-11,8212544
2015-07-12,8300565
2015-07-13,8547567
2015-07-14,8720785
2015-07-15,9064952
2015-07-16,8890751
2015-07-17,8944620
2015-07-18,9119590
2015-07-19,9109743
2015-07-20,9059692
2015-07-21,9080479
2015-07-22,8919687
2015-07-23,8919687
2015-07-24,8760549
2015-07-25,8704821
2015-07-26,8683717
2015-07-27,8725092
2015-07-28,8729899
2015-07-29,8693727
2015-07-30,8660557
2015-07-31,8607930
2015-08-01,8580271
2015-08-02,8482090
2015-08-03,8245130
2015-08-04,8211055
2015-08-05,8142316
2015-08-06,8055616
2015-08-07,7769882
2015-08-08,7824279
2015-08-09,7997735
2015-08-10,8046349
2015-08-11,8041385
2015-08-12,8041385
2015-08-13,7937046
2015-08-14,7874548
2015-08-15,7799399
2015-08-16,7578695
2015-08-17,7557614
2015-08-18,7550254
2015-08-19,7538520
2015-08-20,7546021
2015-08-21,7644016
2015-08-22,7772570
2015-08-23,7633903
2015-08-24,7606682
2015-08-25,7606682
2015-08-26,7645271
2015-08-27,7975024
2015-08-28,8373776
2015-08-29,8791710
2015-08-30,9028418
2015-08-31,8949622
2015-09-01,8832534
2015-09-02,8753977
2015-09-03,8726157
2015-09-04,8701237
2015-09-05,8772459
2015-09-06,8748702
2015-09-07,8806215
2015-09-08,8940042
2015-09-09,8996950
2015-09-10,8940121
2015-09-11,9060107
2015-09-12,9263540
2015-09-13,9554267
2015-09-14,9468062
2015-09-15,9398493
2015-09-16,9237051
2015-09-17,9018699
2015-09-18,8932785
2015-09-19,8999590
2015-09-20,9113627
2015-09-21,9047258
2015-09-22,8969623
2015-09-23,8817275
2015-09-24,8839961
2015-09-25,8817382
2015-09-27,8947339
2015-09-28,8845243
2015-09-29,8737753
2015-09-30,8761966
2015-10-05,7879406
2015-10-06,7976137
2015-10-07,8019870
2015-10-08,8258944
2015-10-09,8241665
2015-10-10,8241665
2015-10-11,8318170
2015-10-12,8383216
2015-10-13,8386038
2015-10-14,8448541
2015-10-15,8470465
2015-10-16,8499128
2015-10-17,8623032
2015-10-18,8680864
2015-10-19,8741824
2015-10-20,8887798
2015-10-22,9044101
2015-10-23,9128577
2015-10-24,9237757
2015-10-25,9460321
2015-10-26,9568504
2015-10-27,9545588
2015-10-29,9473263
2015-10-30,9403234
2015-10-31,9299925
2015-11-01,9299925
2015-11-02,9031815
2015-11-03,8583471
2015-11-05,8048661
2015-11-06,8258911
2015-11-07,8453078
2015-11-08,8453078
2015-11-09,8328590
2015-11-10,8282976
2015-11-11,8182387
2015-11-12,7986422
2015-11-13,8026922
2015-11-14,8056803
2015-11-15,8161785
2015-11-16,8074763
2015-11-17,8065775
2015-11-18,7962805
2015-11-19,7911797
2015-11-20,8015528
2015-11-21,8015528
2015-11-22,7962411
2015-11-23,7962411
2015-11-24,7884939
2015-11-25,7975973
2015-11-26,7975973
2015-11-27,8003576
2015-11-28,7950679
2015-11-29,7825303
2015-11-30,7685614
2015-12-01,7699096
2015-12-02,7686987
2015-12-03,7663832
2015-12-04,7681714
2015-12-05,7887779
2015-12-06,7950856
2015-12-07,8067335
2015-12-08,8141723
2015-12-09,8187884
2015-12-10,8141624
2015-12-11,8079814
2015-12-13,7978869
2015-12-14,7978869
2015-12-15,7890403
2015-12-16,7812023
2015-12-17,7849745
2015-12-18,7880623
2015-12-19,7899341
2015-12-20,7907692
2015-12-21,7855997
2015-12-22,7878120
2015-12-23,7983734
2015-12-24,7952773
2015-12-25,7911621
2015-12-26,7891441
2015-12-27,7918467
2015-12-28,7944991
2015-12-29,7900605
2015-12-30,7951434
2015-12-31,7945433
2016-01-01,8026570
2016-01-02,8112980
2016-01-03,8154044
2016-01-04,8091024
2016-01-05,8001057
2016-01-06,8093324
