date_obj,Gilded%20d'hide%20body price
2019-04-11,500000
2019-04-11,518941
2019-04-12,540471
2019-04-13,562797
2019-04-14,589237
2019-04-15,14000000
2019-04-16,14000000
2019-04-17,14000000
2019-04-18,14000000
2019-04-19,14000000
2019-04-20,14546304
2019-04-21,14546304
2019-04-22,14546304
2019-04-23,14546304
2019-04-24,14546304
2019-04-25,14546304
2019-04-26,15014723
2019-04-27,15014723
2019-04-28,15014723
2019-04-29,15014723
2019-04-30,15014723
2019-05-01,15014723
2019-05-02,14271771
2019-05-03,14271771
2019-05-04,14271771
2019-05-05,13558182
2019-05-06,13558182
2019-05-07,13558182
2019-05-08,13558182
2019-05-09,12897182
2019-05-10,12897182
2019-05-11,12897182
2019-05-12,12897182
2019-05-13,12263735
2019-05-14,12263735
2019-05-15,12263735
2019-05-16,12263735
2019-05-17,12263735
2019-05-18,11650548
2019-05-19,11650548
2019-05-20,11650548
2019-05-21,11650548
2019-05-22,11068020
2019-05-23,11068020
2019-05-24,10529919
2019-05-25,10529919
2019-05-26,10529919
2019-05-27,10003423
2019-05-28,10003423
2019-05-29,9517717
2019-05-30,9517717
2019-05-31,9517717
2019-06-01,9062417
2019-06-02,9062417
2019-06-03,9062417
2019-06-04,8609296
2019-06-05,8609296
2019-06-06,8609296
2019-06-07,8186961
2019-06-08,8186961
2019-06-09,7791722
2019-06-10,7791722
2019-06-11,7791722
2019-06-12,7424318
2019-06-13,7424318
2019-06-14,7424318
2019-06-15,7065593
2019-06-16,7065593
2019-06-17,7065593
2019-06-18,6717987
2019-06-19,6717987
2019-06-20,6414473
2019-06-21,6414473
2019-06-22,6414473
2019-06-23,6107891
2019-06-24,6107891
2019-06-25,6107891
2019-06-26,5838149
2019-06-27,5838149
2019-06-28,5838149
2019-06-29,5595903
2019-06-30,5595903
2019-07-01,5595903
2019-07-02,5595903
2019-07-03,5411668
2019-07-04,5411668
2019-07-05,5411668
2019-07-06,5204809
2019-07-07,5204809
2019-07-08,5204809
2019-07-09,5204809
2019-07-10,5098097
2019-07-11,5098097
2019-07-12,5098097
2019-07-13,5048449
2019-07-14,5048449
2019-07-15,5048449
2019-07-16,4992457
2019-07-17,4992457
2019-07-18,4992457
2019-07-19,4992457
2019-07-20,4932943
2019-07-21,4932943
2019-07-22,4932943
2019-07-23,4893378
2019-07-24,4893378
2019-07-25,4893378
2019-07-26,4736765
2019-07-27,4736765
2019-07-28,4736765
2019-07-29,4499928
2019-07-30,4499928
2019-07-31,4499928
2019-08-01,4284821
2019-08-02,4284821
