date_obj,Zamorak%20d'hide%20body price
2015-03-26,478509
2015-03-27,483776
2015-03-28,492581
2015-03-29,502137
2015-03-30,492067
2015-03-31,479414
2015-04-01,466348
2015-04-02,459665
2015-04-03,463411
2015-04-04,468930
2015-04-05,470298
2015-04-06,470095
2015-04-07,465616
2015-04-08,461512
2015-04-09,456813
2015-04-10,454217
2015-04-11,454539
2015-04-12,458952
2015-04-13,450118
2015-04-14,447736
2015-04-15,450090
2015-04-16,449136
2015-04-17,451185
2015-04-18,454453
2015-04-19,452984
2015-04-20,444944
2015-04-21,434452
2015-04-22,424819
2015-04-23,419679
2015-04-24,417127
2015-04-25,417754
2015-04-26,418231
2015-04-27,426855
2015-04-28,436209
2015-04-29,438368
2015-04-30,442577
2015-05-01,444370
2015-05-02,447252
2015-05-03,454361
2015-05-04,455364
2015-05-05,458531
2015-05-06,452092
2015-05-07,438513
2015-05-08,432022
2015-05-09,432509
2015-05-10,427799
2015-05-11,415760
2015-05-12,403974
2015-05-13,393900
2015-05-14,396361
2015-05-15,401807
2015-05-16,410547
2015-05-17,418659
2015-05-18,424401
2015-05-19,424661
2015-05-20,421422
2015-05-21,417785
2015-05-22,404004
2015-05-23,398910
2015-05-24,396471
2015-05-25,400413
2015-05-26,400952
2015-05-27,393400
2015-05-28,382631
2015-05-29,376789
2015-05-30,376770
2015-05-31,383932
2015-06-01,381261
2015-06-02,376203
2015-06-03,377182
2015-06-04,381423
2015-06-05,383509
2015-06-06,393408
2015-06-07,399228
2015-06-08,407090
2015-06-09,418679
2015-06-10,422332
2015-06-11,420197
2015-06-12,416913
2015-06-13,411436
2015-06-14,413649
2015-06-15,417985
2015-06-16,426527
2015-06-17,438881
2015-06-18,452335
2015-06-19,457894
2015-06-20,464862
2015-06-21,464308
2015-06-22,461317
2015-06-23,452897
2015-06-24,446478
2015-06-25,449570
2015-06-26,443258
2015-06-27,440829
2015-06-28,442801
2015-06-29,442308
2015-06-30,447384
2015-07-01,447767
2015-07-02,442894
2015-07-03,441539
2015-07-04,444505
2015-07-05,445226
2015-07-06,449744
2015-07-07,459655
2015-07-08,468235
2015-07-09,471552
2015-07-10,476946
2015-07-11,470898
2015-07-12,469907
2015-07-13,457646
2015-07-14,449413
2015-07-15,445917
2015-07-16,446326
2015-07-17,447164
2015-07-18,448483
2015-07-19,453428
2015-07-20,454318
2015-07-21,452174
2015-07-22,456946
2015-07-23,457286
2015-07-24,455746
2015-07-25,455060
2015-07-26,456547
2015-07-27,453543
2015-07-28,458726
2015-07-29,467439
2015-07-30,471206
2015-07-31,476273
2015-08-01,486509
2015-08-02,495867
2015-08-03,493739
2015-08-04,497567
2015-08-05,492514
2015-08-06,489885
2015-08-07,486658
2015-08-08,485815
2015-08-09,483667
2015-08-10,472321
2015-08-11,464763
2015-08-12,457055
2015-08-13,459834
2015-08-14,462598
2015-08-15,469674
2015-08-16,475313
2015-08-17,481166
2015-08-18,480958
2015-08-19,493470
2015-08-20,503456
2015-08-21,514984
2015-08-22,531466
2015-08-23,549466
2015-08-24,554246
2015-08-25,550450
2015-08-26,552353
2015-08-27,535230
2015-08-28,528055
2015-08-29,530614
2015-08-30,513791
2015-08-31,502269
2015-09-01,485531
2015-09-02,466346
2015-09-03,447289
2015-09-04,431247
2015-09-05,417836
2015-09-06,411073
2015-09-07,400949
2015-09-08,400960
2015-09-09,395462
2015-09-10,390060
2015-09-11,397833
2015-09-12,406077
2015-09-13,413931
2015-09-14,423157
2015-09-15,418476
2015-09-16,416386
2015-09-17,416845
2015-09-18,415625
2015-09-19,416972
2015-09-20,417308
2015-09-21,420261
2015-09-22,417609
2015-09-23,416325
2015-09-24,409160
2015-09-25,407726
2015-09-27,408245
2015-09-28,412953
2015-09-29,400869
2015-09-30,399261
2015-10-05,378867
2015-10-06,372010
2015-10-07,367341
2015-10-08,362260
2015-10-09,361625
2015-10-10,365212
2015-10-11,376810
2015-10-12,383232
2015-10-13,387727
2015-10-14,390379
2015-10-15,388305
2015-10-16,389424
2015-10-17,395877
2015-10-18,389379
2015-10-19,398989
2015-10-20,401822
2015-10-22,411984
2015-10-23,415801
2015-10-24,415552
2015-10-25,417808
2015-10-26,411554
2015-10-27,412472
2015-10-29,411755
2015-10-30,408819
2015-10-31,405007
2015-11-01,403287
2015-11-02,395991
2015-11-03,387326
2015-11-05,375898
