date_obj,Hard%20leather price
2015-03-26,241
2015-03-27,241
2015-03-28,245
2015-03-29,255
2015-03-30,257
2015-03-31,249
2015-04-01,252
2015-04-02,256
2015-04-03,261
2015-04-04,258
2015-04-05,253
2015-04-06,255
2015-04-07,249
2015-04-08,248
2015-04-09,244
2015-04-10,245
2015-04-11,254
2015-04-12,257
2015-04-13,256
2015-04-14,251
2015-04-15,247
2015-04-16,242
2015-04-17,239
2015-04-18,230
2015-04-19,228
2015-04-20,235
2015-04-21,238
2015-04-22,232
2015-04-23,235
2015-04-24,227
2015-04-25,218
2015-04-26,212
2015-04-27,207
2015-04-28,205
2015-04-29,199
2015-04-30,204
2015-05-01,205
2015-05-02,208
2015-05-03,215
2015-05-04,219
2015-05-05,225
2015-05-06,220
2015-05-07,222
2015-05-08,222
2015-05-09,220
2015-05-10,219
2015-05-11,223
2015-05-12,224
2015-05-13,223
2015-05-14,220
2015-05-15,217
2015-05-16,213
2015-05-17,222
2015-05-18,222
2015-05-19,216
2015-05-20,215
2015-05-21,219
2015-05-22,225
2015-05-23,229
2015-05-24,227
2015-05-25,224
2015-05-26,216
2015-05-27,215
2015-05-28,222
2015-05-29,222
2015-05-30,213
2015-05-31,204
2015-06-01,203
2015-06-02,204
2015-06-03,203
2015-06-04,208
2015-06-05,216
2015-06-06,223
2015-06-07,224
2015-06-08,221
2015-06-09,220
2015-06-10,227
2015-06-11,235
2015-06-12,235
2015-06-13,231
2015-06-14,226
2015-06-15,223
2015-06-16,222
2015-06-17,220
2015-06-18,219
2015-06-19,218
2015-06-20,217
2015-06-21,217
2015-06-22,220
2015-06-23,220
2015-06-24,219
2015-06-25,212
2015-06-26,207
2015-06-27,200
2015-06-28,201
2015-06-29,197
2015-06-30,199
2015-07-01,200
2015-07-02,200
2015-07-03,202
2015-07-04,202
2015-07-05,197
2015-07-06,194
2015-07-07,194
2015-07-08,199
2015-07-09,201
2015-07-10,197
2015-07-11,193
2015-07-12,192
2015-07-13,186
2015-07-14,181
2015-07-15,176
2015-07-16,172
2015-07-17,163
2015-07-18,155
2015-07-19,155
2015-07-20,160
2015-07-21,165
2015-07-22,168
2015-07-23,170
2015-07-24,173
2015-07-25,181
2015-07-26,182
2015-07-27,181
2015-07-28,176
2015-07-29,172
2015-07-30,173
2015-07-31,177
2015-08-01,181
2015-08-02,183
2015-08-03,189
2015-08-04,185
2015-08-05,178
2015-08-06,171
2015-08-07,168
2015-08-08,167
2015-08-09,170
2015-08-10,166
2015-08-11,162
2015-08-12,158
2015-08-13,156
2015-08-14,152
2015-08-15,149
2015-08-16,146
2015-08-17,147
2015-08-18,143
2015-08-19,145
2015-08-20,149
2015-08-21,147
2015-08-22,147
2015-08-23,145
2015-08-24,143
2015-08-25,143
2015-08-26,145
2015-08-27,145
2015-08-28,145
2015-08-29,146
2015-08-30,147
2015-08-31,145
2015-09-01,144
2015-09-02,143
2015-09-03,143
2015-09-04,148
2015-09-05,150
2015-09-06,148
2015-09-07,146
2015-09-08,147
2015-09-09,146
2015-09-10,149
2015-09-11,148
2015-09-12,149
2015-09-13,144
2015-09-14,137
2015-09-15,138
2015-09-16,140
2015-09-17,141
2015-09-18,145
2015-09-19,147
2015-09-20,148
2015-09-21,147
2015-09-22,146
2015-09-23,146
2015-09-24,150
2015-09-25,155
2015-09-27,159
2015-09-28,162
2015-09-29,167
2015-09-30,172
2015-10-05,198
2015-10-06,207
2015-10-07,214
2015-10-08,223
2015-10-09,226
2015-10-10,226
2015-10-11,222
2015-10-12,215
2015-10-13,213
2015-10-14,209
2015-10-15,199
2015-10-16,192
2015-10-17,186
2015-10-18,176
2015-10-19,173
2015-10-20,178
2015-10-22,176
2015-10-23,178
2015-10-24,175
2015-10-25,171
2015-10-26,164
2015-10-27,162
2015-10-29,168
2015-10-30,164
2015-10-31,165
2015-11-01,162
2015-11-02,165
2015-11-03,173
2015-11-04,181
2015-11-05,190
2015-11-06,198
2015-11-07,199
2015-11-08,192
2015-11-09,186
2015-11-10,185
2015-11-11,193
2015-11-12,192
2015-11-13,187
2015-11-14,183
2015-11-15,180
2015-11-16,175
2015-11-17,173
2015-11-18,171
2015-11-19,172
2015-11-20,175
2015-11-21,175
2015-11-22,178
2015-11-23,178
2015-11-24,180
2015-11-25,180
2015-11-26,181
2015-11-27,184
2015-11-28,187
2015-11-29,193
2015-11-30,197
2015-12-01,201
2015-12-02,211
2015-12-03,211
2015-12-04,212
2015-12-05,209
2015-12-06,206
2015-12-07,199
2015-12-08,194
2015-12-09,194
2015-12-10,188
2015-12-11,187
2015-12-12,182
2015-12-13,178
2015-12-14,175
2015-12-15,171
2015-12-16,163
2015-12-17,154
2015-12-18,148
2015-12-19,150
2015-12-20,156
2015-12-21,156
2015-12-22,155
2015-12-23,156
2015-12-24,154
2015-12-25,149
2015-12-26,153
2015-12-27,153
2015-12-28,146
2015-12-29,145
2015-12-30,149
2015-12-31,146
2016-01-01,143
2016-01-02,140
2016-01-03,139
2016-01-04,145
2016-01-05,150
2016-01-06,155
2016-01-07,153
2016-01-08,154
2016-01-09,155
2016-01-10,154
2016-01-11,151
2016-01-12,150
2016-01-13,154
2016-01-14,155
2016-01-15,152
2016-01-16,151
2016-01-17,153
2016-01-18,154
2016-01-19,160
2016-01-20,159
2016-01-21,155
2016-01-22,152
2016-01-23,154
2016-01-24,153
2016-01-25,153
2016-01-26,152
2016-01-27,153
2016-01-28,153
2016-01-29,157
2016-01-30,162
2016-01-31,167
2016-02-01,165
2016-02-02,159
2016-02-03,161
2016-02-04,168
2016-02-05,176
2016-02-06,182
2016-02-07,188
2016-02-08,192
2016-02-09,190
2016-02-10,185
2016-02-11,181
2016-02-12,183
2016-02-13,189
2016-02-14,194
2016-02-15,198
2016-02-16,203
2016-02-17,198
2016-02-18,196
2016-02-19,192
2016-02-20,187
2016-02-21,181
2016-02-22,182
2016-02-23,178
2016-02-24,174
2016-02-25,174
2016-02-26,180
2016-02-27,178
2016-02-28,174
2016-02-29,168
2016-03-01,165
2016-03-02,165
2016-03-03,169
2016-03-04,165
2016-03-05,162
2016-03-06,160
2016-03-07,163
2016-03-08,170
2016-03-09,171
2016-03-10,168
2016-03-11,164
2016-03-12,163
2016-03-13,159
2016-03-14,159
2016-03-15,158
2016-03-16,155
2016-03-17,157
2016-03-18,162
2016-03-19,164
2016-03-20,165
2016-03-21,159
2016-03-22,155
2016-03-23,153
2016-03-24,152
2016-03-25,155
2016-03-26,157
2016-03-27,157
2016-03-28,155
2016-03-29,151
2016-03-30,151
2016-03-31,149
2016-04-01,144
2016-04-02,144
2016-04-03,145
2016-04-04,150
2016-04-05,150
2016-04-06,146
2016-04-07,149
2016-04-08,155
2016-04-09,158
2016-04-10,157
2016-04-11,157
2016-04-12,157
2016-04-13,159
2016-04-14,164
2016-04-15,166
2016-04-16,161
2016-04-17,157
2016-04-18,157
2016-04-19,158
2016-04-20,162
2016-04-21,165
2016-04-22,158
2016-04-23,156
2016-04-24,156
2016-04-25,151
2016-04-26,152
2016-04-27,159
2016-04-28,167
2016-04-29,176
2016-04-30,173
2016-05-01,165
2016-05-02,161
2016-05-03,156
2016-05-04,156
2016-05-05,154
2016-05-06,157
2016-05-07,159
2016-05-08,162
2016-05-09,160
2016-05-10,156
2016-05-11,154
2016-05-12,153
2016-05-13,157
2016-05-14,156
2016-05-15,153
2016-05-16,147
2016-05-17,147
2016-05-18,153
2016-05-19,157
2016-05-22,150
2016-05-23,147
2016-05-24,151
2016-05-25,154
2016-05-26,156
2016-05-27,159
2016-05-28,161
2016-05-29,162
2016-05-30,166
2016-05-31,162
2016-06-01,157
2016-06-02,153
2016-06-03,152
2016-06-04,149
2016-06-05,148
2016-06-06,148
2016-06-07,147
2016-06-08,145
2016-06-09,148
2016-06-10,152
2016-06-11,152
2016-06-12,149
2016-06-13,146
2016-06-14,144
2016-06-15,149
2016-06-16,153
2016-06-17,151
2016-06-18,147
2016-06-19,143
2016-06-20,143
2016-06-21,141
2016-06-22,142
2016-06-23,144
2016-06-24,149
2016-06-25,146
2016-06-26,150
2016-06-27,153
2016-06-28,149
2016-06-29,143
2016-06-30,138
2016-07-01,136
2016-07-02,136
2016-07-03,137
2016-07-04,142
2016-07-05,147
2016-07-06,144
2016-07-07,139
2016-07-08,140
2016-07-09,140
2016-07-10,140
2016-07-11,139
2016-07-12,144
2016-07-13,144
2016-07-14,149
2016-07-15,152
2016-07-16,160
2016-07-17,158
2016-07-18,154
2016-07-23,141
2016-07-24,134
2016-07-25,138
2016-07-26,145
2016-07-27,147
2016-07-28,143
2016-07-29,142
2016-07-30,143
2016-07-31,148
2016-08-01,149
2016-08-02,152
2016-08-03,152
2016-08-04,152
2016-08-05,150
2016-08-06,145
2016-08-07,147
2016-08-08,153
2016-08-09,156
2016-08-10,155
2016-08-11,158
2016-08-12,153
2016-08-13,152
2016-08-14,153
2016-08-15,153
2016-08-16,158
2016-08-17,159
2016-08-18,160
2016-08-19,154
2016-08-20,149
2016-08-21,144
2016-08-22,147
2016-08-23,151
2016-08-24,149
2016-08-25,149
2016-08-26,149
2016-08-28,150
2016-08-31,147
2016-09-01,146
2016-09-02,146
2016-09-03,148
2016-09-04,152
2016-09-05,152
2016-09-06,155
2016-09-07,160
2016-09-08,163
2016-09-09,159
2016-09-10,159
2016-09-11,156
2016-09-12,155
2016-09-13,150
2016-09-14,150
2016-09-15,148
2016-09-16,146
2016-09-17,151
2016-09-18,152
2016-09-19,153
2016-09-20,148
2016-09-21,145
2016-09-22,140
2016-09-23,141
2016-09-24,141
2016-09-25,142
2016-09-26,139
2016-09-27,141
2016-09-28,142
2016-09-29,142
2016-09-30,139
2016-10-01,137
2016-10-02,138
2016-10-03,136
2016-10-04,135
2016-10-05,138
2016-10-06,141
2016-10-07,139
2016-10-08,139
2016-10-09,142
2016-10-10,139
2016-10-11,136
2016-10-12,135
2016-10-13,135
2016-10-14,138
2016-10-15,140
2016-10-16,136
2016-10-17,137
2016-10-18,138
2016-10-19,134
2016-10-20,135
2016-10-21,138
2016-10-22,142
2016-10-23,145
2016-10-24,146
2016-10-25,147
2016-10-26,151
2016-10-27,148
2016-10-28,150
2016-10-29,149
2016-10-30,150
2016-10-31,152
2016-11-01,151
2016-11-02,149
2016-11-03,145
2016-11-04,145
2016-11-05,148
2016-11-06,152
2016-11-07,159
2016-11-08,159
2016-11-09,159
2016-11-10,159
2016-11-11,163
2016-11-12,159
2016-11-13,158
2016-11-14,159
2016-11-15,156
2016-12-07,163
2016-12-08,162
2016-12-09,160
2016-12-10,162
2016-12-11,170
2016-12-12,176
2016-12-13,178
2016-12-14,184
2016-12-15,191
2016-12-16,196
2016-12-17,206
2016-12-18,214
2016-12-19,215
2016-12-20,217
2016-12-21,208
2016-12-22,206
2016-12-23,207
2016-12-24,206
2016-12-25,198
2016-12-26,191
2016-12-27,183
2016-12-28,177
2016-12-29,170
2016-12-30,168
2016-12-31,166
2017-01-01,171
2017-01-02,169
2017-01-03,165
2017-01-04,165
2017-01-05,170
2017-01-06,174
2017-01-07,179
2017-01-08,179
2017-01-09,178
2017-01-10,174
2017-01-11,170
2017-01-12,172
2017-01-13,173
2017-01-14,170
2017-01-15,167
2017-01-16,165
2017-01-17,163
2017-01-18,164
2017-01-19,164
2017-01-20,164
2017-01-21,166
2017-01-22,161
2017-01-23,163
2017-01-27,158
2017-01-28,159
2017-01-29,162
2017-01-30,158
2017-01-31,159
2017-02-01,154
2017-02-02,152
2017-02-03,153
2017-02-04,150
2017-02-05,149
2017-02-06,151
2017-02-07,151
2017-02-08,156
2017-02-09,156
2017-02-10,156
2017-02-11,156
2017-02-12,154
2017-02-13,152
2017-02-14,152
2017-02-15,152
2017-02-16,156
2017-02-18,159
2017-02-19,163
2017-02-20,167
2017-02-21,167
2017-02-22,174
2017-02-23,182
2017-02-24,192
2017-02-25,202
2017-02-26,200
2017-02-27,193
2017-02-28,188
2017-03-01,194
2017-03-02,200
2017-03-03,205
2017-03-04,197
2017-03-05,198
2017-03-06,195
2017-03-07,196
2017-03-08,200
2017-03-09,197
2017-03-10,202
2017-03-11,212
2017-03-12,209
2017-03-13,200
2017-03-14,190
2017-03-15,188
2017-03-16,192
2017-03-17,202
2017-03-18,211
2017-03-19,214
2017-03-20,222
2017-03-21,212
2017-03-22,207
2017-03-23,206
2017-03-24,213
2017-03-25,215
2017-03-26,215
2017-03-27,205
2017-03-28,207
2017-03-29,203
2017-03-30,207
2017-03-31,205
2017-04-01,202
2017-04-02,200
2017-04-03,199
2017-04-04,198
2017-04-12,211
2017-04-13,207
2017-04-14,202
2017-04-15,199
2017-04-16,203
2017-04-17,214
2017-04-18,217
2017-04-19,210
2017-04-20,201
2017-04-21,197
2017-04-22,199
2017-04-23,205
2017-04-24,201
2017-04-25,202
2017-04-26,204
2017-04-27,200
