date_obj,Snapdragon%20potion%20(unf) price
2015-03-26,6900
2015-03-27,6900
2015-03-28,6900
2015-03-29,6900
2015-03-30,6900
2015-03-31,6900
2015-04-01,6900
2015-04-02,6900
2015-04-03,6900
2015-04-04,6900
2015-04-05,6563
2015-04-06,6563
2015-04-07,6563
2015-04-08,6563
2015-04-09,6563
2015-04-10,6563
2015-04-11,6563
2015-04-12,6563
2015-04-13,6563
2015-04-14,6563
2015-04-15,6563
2015-04-16,6563
2015-04-17,6563
2015-04-18,6300
2015-04-19,6300
2015-04-20,6300
2015-04-21,6300
2015-04-22,6300
2015-04-23,6300
2015-04-24,6300
2015-04-25,6300
2015-04-26,6300
2015-04-27,6300
2015-04-28,6300
2015-04-29,6300
2015-04-30,6300
2015-05-01,6313
2015-05-02,6313
2015-05-03,6313
2015-05-04,6313
2015-05-05,6313
2015-05-06,6313
2015-05-07,6313
2015-05-08,6313
2015-05-09,6313
2015-05-10,6313
2015-05-11,6204
2015-05-12,6204
2015-05-13,6204
2015-05-14,6204
2015-05-15,6204
2015-05-16,6204
2015-05-17,6204
2015-05-18,6204
2015-05-19,6204
2015-05-20,6204
2015-05-21,6204
2015-05-22,6204
2015-05-23,6204
2015-05-24,6080
2015-05-25,6080
2015-05-26,6080
2015-05-27,6080
2015-05-28,6080
2015-05-29,6080
2015-05-30,6080
2015-05-31,5959
2015-06-01,5959
2015-06-02,5959
2015-06-03,5959
2015-06-04,5959
2015-06-05,5959
2015-06-06,5904
2015-06-07,5904
2015-06-08,5904
2015-06-09,5904
2015-06-10,5904
2015-06-11,5904
2015-06-12,6167
2015-06-13,6167
2015-06-14,6167
2015-06-15,6167
2015-06-16,6167
2015-06-17,6411
2015-06-18,6411
2015-06-19,6411
2015-06-20,6411
2015-06-21,6411
2015-06-22,6713
2015-06-23,6713
2015-06-24,6713
2015-06-25,6713
2015-06-26,6713
2015-06-27,6713
2015-06-28,6884
2015-06-29,6884
2015-06-30,6884
2015-07-01,6884
2015-07-02,6884
2015-07-03,6884
2015-07-04,6884
2015-07-05,6568
2015-07-06,6568
2015-07-07,6568
2015-07-08,6568
2015-07-09,6568
2015-07-10,6568
2015-07-11,6568
2015-07-12,6568
2015-07-13,6542
2015-07-14,6542
2015-07-15,6542
2015-07-16,6542
2015-07-17,6542
2015-07-18,6542
2015-07-19,6542
2015-07-20,6633
2015-07-21,6633
2015-07-22,6633
2015-07-23,6633
2015-07-24,6633
2015-07-25,6633
2015-07-26,6621
2015-07-27,6621
2015-07-28,6621
2015-07-29,6621
2015-07-30,6621
2015-07-31,6797
2015-08-01,6797
2015-08-02,6797
2015-08-03,6797
2015-08-04,6797
2015-08-05,7033
2015-08-06,7033
2015-08-07,7033
2015-08-08,7033
2015-08-09,7033
2015-08-10,7310
2015-08-11,7310
2015-08-12,7310
2015-08-13,7310
2015-08-14,7310
2015-08-15,7186
2015-08-16,7186
2015-08-17,7186
2015-08-18,7186
2015-08-19,7291
2015-08-20,7291
2015-08-21,7291
2015-08-22,7291
2015-08-23,7579
2015-08-24,7579
2015-08-25,7579
2015-08-26,7579
2015-08-27,7854
2015-08-28,7854
2015-08-29,7854
2015-08-30,7854
2015-08-31,7854
2015-09-01,7959
2015-09-02,7959
2015-09-03,7959
2015-09-04,7959
2015-09-05,7959
2015-09-06,7959
2015-09-07,8326
2015-09-08,8326
2015-09-09,8326
2015-09-10,8326
2015-09-11,8326
2015-09-12,8508
2015-09-13,8508
2015-09-14,8508
2015-09-15,8508
2015-09-16,8508
2015-09-17,8371
2015-09-18,8371
2015-09-19,8371
2015-09-20,8371
2015-09-21,8371
2015-09-22,8092
2015-09-23,8092
2015-09-24,8092
2015-09-25,8092
2015-09-27,8092
2015-09-28,7870
2015-09-29,7870
2015-09-30,7870
2015-10-05,8013
2015-10-06,8013
2015-10-07,8013
2015-10-08,8013
2015-10-09,8345
2015-10-10,8345
2015-10-11,8345
2015-10-12,8345
2015-10-13,8345
2015-10-14,8345
2015-10-15,8301
2015-10-16,8301
2015-10-17,8301
2015-10-18,8301
