date_obj,Bass price
2015-03-26,480
2015-03-27,480
2015-03-28,477
2015-03-29,477
2015-03-30,455
2015-03-31,455
2015-04-01,447
2015-04-02,447
2015-04-03,432
2015-04-04,432
2015-04-05,422
2015-04-06,422
2015-04-07,405
2015-04-08,405
2015-04-09,405
2015-04-10,391
2015-04-11,391
2015-04-12,380
2015-04-13,380
2015-04-14,380
2015-04-15,368
2015-04-16,368
2015-04-17,374
2015-04-18,374
2015-04-19,372
2015-04-20,372
2015-04-21,372
2015-04-22,369
2015-04-23,369
2015-04-24,363
2015-04-25,363
2015-04-26,371
2015-04-27,371
2015-04-28,368
2015-04-29,368
2015-04-30,368
2015-05-01,356
2015-05-02,356
2015-05-03,356
2015-05-04,346
2015-05-05,346
2015-05-06,341
2015-05-07,341
2015-05-08,340
2015-05-09,340
2015-05-10,334
2015-05-11,334
2015-05-12,337
2015-05-13,337
2015-05-14,342
2015-05-15,342
2015-05-16,342
2015-05-17,343
2015-05-18,343
2015-05-19,343
2015-05-20,343
2015-05-21,343
2015-05-22,343
2015-05-23,337
2015-05-24,337
2015-05-25,354
2015-05-26,354
2015-05-27,354
2015-05-28,354
2015-05-29,354
2015-05-30,356
2015-05-31,356
2015-06-01,351
2015-06-02,351
2015-06-03,334
2015-06-04,334
2015-06-05,317
2015-06-06,317
2015-06-07,301
2015-06-08,301
2015-06-09,301
2015-06-10,301
2015-06-11,306
2015-06-12,306
2015-06-13,306
2015-06-14,306
2015-06-15,318
2015-06-16,318
2015-06-17,333
2015-06-18,333
2015-06-19,345
2015-06-20,345
2015-06-21,349
2015-06-22,349
2015-06-23,349
2015-06-24,349
2015-06-25,358
2015-06-26,354
2015-06-27,354
2015-06-28,343
2015-06-29,343
2015-06-30,342
2015-07-01,342
2015-07-02,348
2015-07-03,361
2015-07-04,361
2015-07-05,362
2015-07-06,362
2015-07-07,362
2015-07-08,362
2015-07-09,372
2015-07-10,372
2015-07-11,367
2015-07-12,367
2015-07-13,365
2015-07-14,365
2015-07-15,369
2015-07-16,369
2015-07-17,373
2015-07-18,373
2015-07-19,368
2015-07-20,368
2015-07-21,363
2015-07-22,350
2015-07-23,350
2015-07-24,341
2015-07-25,341
2015-07-26,346
2015-07-27,346
2015-07-28,347
2015-07-29,341
2015-07-30,341
2015-07-31,327
2015-08-01,327
2015-08-02,311
2015-08-03,311
2015-08-04,312
2015-08-05,312
2015-08-06,314
2015-08-07,314
2015-08-08,312
2015-08-09,312
2015-08-10,307
2015-08-11,307
2015-08-12,295
2015-08-13,295
2015-08-14,289
2015-08-15,289
2015-08-16,300
2015-08-17,300
2015-08-18,307
2015-08-19,307
2015-08-20,303
2015-08-21,303
2015-08-22,303
2015-08-23,303
2015-08-24,312
2015-08-25,312
2015-08-26,312
2015-08-27,306
2015-08-28,306
2015-08-29,308
2015-08-30,308
2015-08-31,314
2015-09-01,314
2015-09-02,314
2015-09-03,313
2015-09-04,313
2015-09-05,319
2015-09-06,319
2015-09-07,321
2015-09-08,321
2015-09-09,323
2015-09-10,323
2015-09-11,327
2015-09-12,327
2015-09-13,324
2015-09-14,324
2015-09-15,318
2015-09-16,318
2015-09-17,321
2015-09-18,321
2015-09-19,325
2015-09-20,325
2015-09-21,325
2015-09-22,330
2015-09-23,330
2015-09-24,330
2015-09-25,331
2015-09-27,331
2015-09-28,331
2015-09-29,320
2015-09-30,320
2015-10-05,305
2015-10-06,315
2015-10-07,315
2015-10-08,321
2015-10-09,321
2015-10-10,321
2015-10-11,315
2015-10-12,315
2015-10-13,315
2015-10-14,316
2015-10-15,316
2015-10-16,318
2015-10-17,318
2015-10-18,318
2015-10-19,302
2015-10-20,302
2015-10-22,292
2015-10-23,290
2015-10-24,290
2015-10-25,292
2015-10-26,292
2015-10-27,292
2015-10-28,293
2015-10-29,293
2015-10-30,293
2015-10-31,308
2015-11-01,308
2015-11-02,303
2015-11-03,303
2015-11-04,303
2015-11-05,304
2015-11-06,304
2015-11-07,311
2015-11-08,311
2015-11-09,311
2015-11-10,306
2015-11-11,306
2015-11-12,291
2015-11-13,291
2015-11-14,291
2015-11-15,288
2015-11-16,288
2015-11-17,288
2015-11-18,276
2015-11-19,276
2015-11-20,274
2015-11-21,274
2015-11-22,278
2015-11-23,278
2015-11-24,278
2015-11-25,280
2015-11-26,280
2015-11-27,285
2015-11-28,285
2015-11-29,286
2015-11-30,286
2015-12-01,294
2015-12-02,294
2015-12-03,301
2015-12-04,301
2015-12-05,301
2015-12-06,312
2015-12-07,312
2015-12-08,308
2015-12-09,308
2015-12-10,303
2015-12-11,303
2015-12-12,298
2015-12-13,298
2015-12-14,298
2015-12-15,293
2015-12-16,293
2015-12-17,300
2015-12-18,300
2015-12-19,301
2015-12-20,301
2015-12-21,317
2015-12-22,317
2015-12-23,333
2015-12-24,333
2015-12-25,339
2015-12-26,339
2015-12-27,335
2015-12-28,335
2015-12-29,339
2015-12-30,339
2015-12-31,345
2016-01-01,345
2016-01-02,349
2016-01-03,349
2016-01-04,355
2016-01-05,355
2016-01-06,337
2016-01-07,337
2016-01-08,320
2016-01-09,320
