date_obj,Uncooked%20botanical%20pie price
2016-05-26,3000
2016-05-27,3000
2016-05-28,3000
2016-05-29,3000
2016-05-30,3000
2016-05-31,3000
2016-06-01,3000
2016-06-02,3000
2016-06-03,3000
2016-06-04,3000
2016-06-05,3000
2016-06-06,3000
2016-06-07,3000
2016-06-08,3000
2016-06-09,3000
2016-06-10,3000
2016-06-11,3000
2016-06-12,3000
2016-06-13,3000
2016-06-14,3000
2016-06-15,3000
2016-06-16,3000
2016-06-17,3000
2016-06-18,3000
2016-06-19,3000
2016-06-20,3000
2016-06-21,3000
2016-06-22,3000
2016-06-23,3000
2016-06-24,3000
2016-06-25,3000
2016-06-26,3000
2016-06-27,3000
2016-06-28,3121
2016-06-29,3121
2016-06-30,3121
2016-07-01,3121
2016-07-02,3121
2016-07-03,3121
2016-07-04,3121
2016-07-05,3121
2016-07-06,3121
2016-07-07,3121
2016-07-08,3121
2016-07-09,3121
2016-07-10,3121
2016-07-11,3121
2016-07-12,3121
2016-07-13,3121
2016-07-14,3121
2016-07-15,3121
2016-07-16,3121
2016-07-17,3121
2016-07-18,3121
2016-07-24,3121
2016-07-25,3121
2016-07-26,3121
2016-07-27,3121
2016-07-28,3121
2016-07-29,3121
2016-07-30,3121
2016-07-31,3121
2016-08-01,3121
2016-08-02,3121
2016-08-03,3121
2016-08-04,3121
2016-08-05,3121
2016-08-06,3121
2016-08-07,3121
2016-08-08,3121
2016-08-09,3121
2016-08-10,3121
2016-08-11,3121
2016-08-12,3121
2016-08-13,3121
2016-08-14,3121
2016-08-15,3121
2016-08-16,3121
2016-08-17,3121
2016-08-18,3121
2016-08-19,3121
2016-08-20,3121
2016-08-21,3121
2016-08-22,3121
2016-08-23,3121
2016-08-24,3121
2016-08-25,3121
2016-08-26,3121
2016-08-28,3121
2016-08-31,3121
2016-09-01,3121
2016-09-02,3121
2016-09-03,3121
2016-09-04,3121
2016-09-05,3121
2016-09-06,3121
2016-09-07,3121
2016-09-08,3121
2016-09-09,3121
2016-09-10,3121
2016-09-11,3121
2016-09-12,3121
2016-09-13,3121
2016-09-14,3121
2016-09-15,3121
2016-09-16,3121
2016-09-17,3121
2016-09-18,3121
2016-09-19,3121
2016-09-20,3121
2016-09-21,3121
2016-09-22,3121
2016-09-23,3121
2016-09-24,3121
2016-09-25,3121
2016-09-26,3121
2016-09-27,3121
2016-09-28,3121
2016-09-29,3121
2016-09-30,3121
2016-10-01,3121
2016-10-02,3121
2016-10-03,3121
2016-10-04,3121
2016-10-05,3121
2016-10-06,3121
2016-10-07,3121
2016-10-08,3121
2016-10-09,3121
2016-10-10,3121
2016-10-11,3121
2016-10-12,3121
2016-10-13,3121
2016-10-14,3121
2016-10-15,3121
2016-10-16,3121
2016-10-17,3121
2016-10-18,3121
2016-10-19,3121
2016-10-20,3121
2016-10-21,3121
2016-10-22,3121
2016-10-23,3121
2016-10-24,3121
2016-10-25,3121
2016-10-26,3121
2016-10-27,3121
2016-10-28,3121
2016-10-29,3121
2016-10-30,3121
2016-10-31,3121
2016-11-01,3121
2016-11-02,3121
2016-11-03,3121
2016-11-04,3121
2016-11-05,3121
2016-11-06,3121
2016-11-07,3121
2016-11-08,3121
2016-11-09,3121
2016-11-10,3121
2016-11-11,3121
