date_obj,Dragon%20knife price
2019-01-10,7500
2019-01-10,7158
2019-01-11,6800
2019-01-12,6460
2019-01-13,6137
2019-01-14,5830
2019-01-15,2027
2019-01-16,1937
2019-01-17,1861
2019-01-18,1845
2019-01-19,1882
2019-01-20,1969
2019-01-21,2037
2019-01-22,2055
2019-01-23,2102
2019-01-24,2190
2019-01-25,2289
2019-01-26,2296
2019-01-27,2327
2019-01-28,2373
2019-01-29,2353
2019-01-30,2300
2019-01-31,2196
2019-02-01,2158
2019-02-02,2127
2019-02-03,2069
2019-02-04,1988
2019-02-05,1925
2019-02-06,1892
2019-02-07,1852
2019-02-08,1836
2019-02-09,1843
2019-02-10,1850
2019-02-11,1836
2019-02-12,1831
2019-02-13,1873
2019-02-14,1893
2019-02-15,1940
2019-02-16,2036
2019-02-17,2055
2019-02-18,2005
2019-02-19,1971
2019-02-20,1952
2019-02-21,1938
2019-02-22,1960
2019-02-23,2031
2019-02-24,1994
2019-02-25,2006
2019-02-26,1995
2019-02-27,1990
2019-02-28,2007
2019-03-01,2018
2019-03-02,2119
2019-03-03,2214
2019-03-04,2181
2019-03-05,2252
2019-03-06,2278
2019-03-07,2221
2019-03-08,2212
2019-03-09,2185
2019-03-10,2144
2019-03-11,2115
2019-03-12,2085
2019-03-13,2066
2019-03-14,2055
2019-03-15,2039
2019-03-16,2063
2019-03-17,2143
2019-03-18,2225
2019-03-19,2337
2019-03-20,2438
2019-03-21,2461
2019-03-22,2428
2019-03-23,2400
2019-03-24,2331
2019-03-25,2294
2019-03-26,2252
2019-03-27,2207
2019-03-28,2151
2019-03-29,2055
2019-03-30,1994
2019-03-31,1922
2019-04-01,1845
2019-04-02,1839
2019-04-03,1903
2019-04-04,1891
2019-04-05,1876
2019-04-06,1868
2019-04-07,1888
2019-04-08,1874
2019-04-09,1909
2019-04-10,2005
2019-04-11,2106
2019-04-12,2205
2019-04-13,2198
2019-04-14,2252
2019-04-15,2235
2019-04-16,2236
2019-04-17,2153
2019-04-18,2189
2019-04-19,2181
2019-04-20,2166
2019-04-21,2149
2019-04-22,2164
2019-04-23,2239
2019-04-24,2276
2019-04-25,2372
2019-04-26,2351
2019-04-27,2423
2019-04-28,2387
2019-04-29,2374
2019-04-30,2348
2019-05-01,2286
2019-05-02,2264
2019-05-03,2223
2019-05-04,2263
2019-05-05,2266
2019-05-06,2294
2019-05-07,2277
2019-05-08,2269
2019-05-09,2259
2019-05-10,2343
2019-05-11,2461
2019-05-12,2562
2019-05-13,2602
2019-05-14,2664
2019-05-15,2636
2019-05-16,2596
2019-05-17,2573
2019-05-18,2564
2019-05-19,2608
2019-05-20,2635
2019-05-21,2739
2019-05-22,2833
2019-05-23,2884
2019-05-24,2966
2019-05-25,3067
2019-05-26,3059
2019-05-27,3078
2019-05-28,3056
2019-05-29,3134
2019-05-30,3196
2019-05-31,3216
2019-06-01,3222
2019-06-02,3217
2019-06-03,3196
2019-06-04,3179
2019-06-05,3136
2019-06-06,3085
2019-06-07,3072
2019-06-08,3038
2019-06-09,3000
2019-06-10,3002
2019-06-11,2971
2019-06-12,2957
2019-06-13,2951
2019-06-14,2989
2019-06-15,3026
2019-06-16,2998
2019-06-17,3090
2019-06-18,3174
2019-06-19,3306
2019-06-20,3338
2019-06-21,3284
2019-06-22,3297
2019-06-23,3195
2019-06-24,3117
2019-06-25,3008
2019-06-26,2933
2019-06-27,2915
2019-06-28,2914
2019-06-29,2884
2019-06-30,2805
2019-07-01,2826
2019-07-02,2788
2019-07-03,2774
2019-07-04,2674
2019-07-05,2665
2019-07-06,2647
2019-07-07,2642
2019-07-08,2622
2019-07-09,2600
2019-07-10,2520
2019-07-11,2443
2019-07-12,2400
2019-07-13,2376
2019-07-14,2323
2019-07-15,2274
2019-07-16,2255
2019-07-17,2234
2019-07-18,2207
2019-07-19,2203
2019-07-20,2197
2019-07-21,2211
2019-07-22,2216
2019-07-23,2202
2019-07-24,2138
2019-07-25,2116
2019-07-26,2176
2019-07-27,2240
2019-07-28,2186
2019-07-29,2122
2019-07-30,2168
2019-07-31,2169
2019-08-01,2126
2019-08-02,2081
2019-08-03,2133
2019-08-04,2125
2019-08-05,2165
2019-08-06,2173
2019-08-07,2128
2019-08-08,2112
2019-08-09,2110
2019-08-10,2169
2019-08-11,2187
2019-08-12,2247
2019-08-13,2245
2019-08-14,2235
2019-08-15,2315
2019-08-16,2277
2019-08-17,2272
2019-08-18,2222
2019-08-19,2186
2019-08-20,2120
2019-08-21,2135
2019-08-22,2123
2019-08-23,2112
2019-08-24,2138
2019-08-24,2138
2019-08-25,2245
2019-08-25,2245
2019-08-26,2302
2019-08-27,2262
2019-08-27,2262
2019-08-28,2311
2019-08-29,2285
2019-08-30,2262
2019-08-31,2256
2019-09-01,2346
2019-09-02,2286
2019-09-03,2303
2019-09-04,2401
2019-09-05,2484
2019-09-06,2481
2019-09-07,2576
2019-09-08,2612
2019-09-09,2578
2019-09-10,2562
2019-09-11,2614
2019-09-12,2729
2019-09-13,2757
2019-09-14,2851
2019-09-15,2886
2019-09-16,2869
2019-09-17,2845
2019-09-18,2908
2019-09-19,2981
2019-09-20,3131
2019-09-21,3216
2019-09-22,3194
2019-09-23,3165
2019-09-24,3142
2019-09-25,3107
2019-09-26,3207
2019-09-27,3283
2019-09-28,3204
2019-09-29,3070
2019-09-30,3070
2019-10-01,3016
2019-10-02,2976
2019-10-03,2950
2019-10-04,3003
2019-10-05,3029
2019-10-06,3116
2019-10-07,3070
2019-10-08,3041
2019-10-09,3001
2019-10-10,2985
2019-10-11,2967
2019-10-12,2942
2019-10-13,2924
2019-10-14,2883
2019-10-15,2797
2019-10-16,2800
2019-10-17,2798
2019-10-18,2835
2019-10-19,2836
2019-10-20,2884
2019-10-21,2857
2019-10-22,2832
2019-10-23,2807
2019-10-24,2806
2019-10-25,2838
2019-10-26,2877
2019-10-27,2803
2019-10-28,2761
2019-10-29,2754
2019-10-30,2754
2019-10-31,2787
2019-11-01,2775
2019-11-02,2732
2019-11-03,2656
2019-11-04,2657
2019-11-05,2630
2019-11-06,2619
2019-11-07,2656
2019-11-08,2751
2019-11-09,2807
2019-11-10,2947
2019-11-11,3095
2019-11-12,3250
2019-11-13,3413
2019-11-14,3583
2019-11-15,3750
2019-11-16,3898
2019-11-17,4079
2019-11-18,4265
2019-11-19,4209
2019-11-20,4154
2019-11-21,4122
2019-11-22,4066
2019-11-23,4195
2019-11-24,4306
2019-11-25,4392
2019-11-26,4376
2019-11-27,4595
2019-11-28,4786
2019-11-29,4707
2019-11-30,4784
2019-12-01,4871
2019-12-02,4840
2019-12-03,4912
2019-12-04,4811
