date_obj,Gilded%20d'hide%20chaps price
2019-04-11,500000
2019-04-11,519464
2019-04-12,542265
2019-04-13,563791
2019-04-14,589635
2019-04-15,34000000
2019-04-16,34000000
2019-04-17,34000000
2019-04-18,34000000
2019-04-19,35398568
2019-04-20,35398568
2019-04-21,35398568
2019-04-22,36834936
2019-04-23,36834936
2019-04-24,36834936
2019-04-25,38340586
2019-04-26,38340586
2019-04-27,38340586
2019-04-28,38340586
2019-04-29,36874664
2019-04-30,36874664
2019-05-01,36874664
2019-05-02,36874664
2019-05-03,35294841
2019-05-04,35294841
2019-05-05,35294841
2019-05-06,35294841
2019-05-07,33873522
2019-05-08,33873522
2019-05-09,33873522
2019-05-10,33873522
2019-05-11,32613117
2019-05-12,32613117
2019-05-13,32613117
2019-05-14,32613117
2019-05-15,31770705
2019-05-16,31770705
2019-05-17,31770705
2019-05-18,31770705
2019-05-19,31770705
2019-05-20,31595082
2019-05-21,31595082
2019-05-22,31595082
2019-05-23,31595082
2019-05-24,32076675
2019-05-25,32076675
2019-05-26,32076675
2019-05-27,32076675
2019-05-28,32425803
2019-05-29,32425803
2019-05-30,32425803
2019-05-31,32425803
2019-06-01,32425803
2019-06-02,32553406
2019-06-03,32553406
2019-06-04,32553406
2019-06-05,32319996
2019-06-06,32319996
2019-06-07,32319996
2019-06-08,32319996
2019-06-09,31803703
2019-06-10,31803703
2019-06-11,31803703
2019-06-12,31803703
2019-06-13,30930559
2019-06-14,30930559
2019-06-15,30930559
2019-06-16,29989157
2019-06-17,29989157
2019-06-18,29989157
2019-06-19,29348761
2019-06-20,29348761
2019-06-21,29348761
2019-06-22,28699515
2019-06-23,28699515
2019-06-24,28699515
2019-06-25,28699515
2019-06-26,28037472
2019-06-27,28037472
2019-06-28,28037472
2019-06-29,28680269
2019-06-30,28680269
2019-07-01,28680269
2019-07-02,28296472
2019-07-03,28296472
2019-07-04,28296472
2019-07-05,28293893
2019-07-06,28293893
2019-07-07,28293893
2019-07-08,28293893
2019-07-09,28517169
2019-07-10,28517169
2019-07-11,28517169
2019-07-12,29229432
2019-07-13,29229432
2019-07-14,29192697
2019-07-15,29192697
2019-07-16,29856950
2019-07-17,29856950
2019-07-18,29856950
2019-07-19,29814699
2019-07-20,29814699
2019-07-21,29814699
2019-07-22,29847382
2019-07-23,29847382
2019-07-24,29847382
2019-07-25,29939466
2019-07-26,29939466
2019-07-27,29939466
2019-07-28,29414106
2019-07-29,29414106
2019-07-30,29414106
2019-07-31,29607464
2019-08-01,29607464
2019-08-02,29607464
2019-08-03,29386123
2019-08-04,29386123
2019-08-05,29386123
2019-08-06,29386123
2019-08-07,28649067
2019-08-08,28649067
2019-08-09,28649067
2019-08-10,28817349
2019-08-11,28817349
2019-08-12,28817349
2019-08-13,28343965
2019-08-14,28343965
2019-08-15,28280400
2019-08-16,28280400
2019-08-17,27831436
2019-08-18,27831436
2019-08-19,27831436
2019-08-20,27642726
2019-08-21,27642726
2019-08-22,27642726
2019-08-23,27642726
2019-08-24,27660537
2019-08-24,27660537
2019-08-25,27660537
2019-08-25,27660537
2019-08-26,27660537
2019-08-26,27660537
2019-08-27,27660537
2019-08-27,27660537
2019-08-28,27438441
2019-08-29,27438441
2019-08-30,27438441
2019-08-31,27438441
2019-09-01,27335929
2019-09-02,27335929
2019-09-03,27335929
2019-09-04,27335929
2019-09-05,27229746
2019-09-06,27229746
2019-09-07,27081465
2019-09-08,27081465
2019-09-09,27346449
2019-09-10,27346449
2019-09-11,27633715
2019-09-12,27633715
2019-09-13,27633715
2019-09-14,27438861
2019-09-15,27438861
2019-09-16,27288894
2019-09-17,27288894
2019-09-18,27288894
2019-09-19,27282644
2019-09-20,27282644
2019-09-21,27282644
2019-09-22,27119053
2019-09-23,27119053
2019-09-24,27119053
2019-09-25,27255115
2019-09-26,27255115
2019-09-27,27255115
2019-09-28,27410554
2019-09-29,27410554
2019-09-30,27410554
2019-10-01,27669073
2019-10-02,27669073
2019-10-03,27669073
2019-10-04,27669073
2019-10-05,27948721
2019-10-06,27948721
2019-10-07,27948721
2019-10-08,27774737
2019-10-09,27774737
2019-10-10,27774737
2019-10-11,27242037
2019-10-12,27242037
2019-10-13,27000085
2019-10-14,27000085
2019-10-15,27000085
2019-10-16,27010554
2019-10-17,27010554
2019-10-18,27010554
2019-10-19,26442042
2019-10-20,26442042
2019-10-21,26442042
2019-10-22,26403679
2019-10-23,26403679
2019-10-24,26403679
2019-10-25,26247789
2019-10-26,26247789
2019-10-27,26247789
2019-10-28,26198783
2019-10-29,26198783
2019-10-30,26198783
2019-10-31,26198783
2019-11-01,26645395
2019-11-02,26645395
2019-11-03,26908317
2019-11-04,26908317
2019-11-05,26908317
2019-11-06,26908317
2019-11-07,26772085
2019-11-08,26772085
2019-11-09,26627075
2019-11-10,26627075
2019-11-11,26787159
2019-11-12,26787159
2019-11-13,26787159
2019-11-14,26787159
2019-11-15,27154209
2019-11-16,27154209
2019-11-17,27154209
2019-11-18,27034889
2019-11-19,27034889
2019-11-20,27034889
2019-11-21,27034889
2019-11-22,26958895
2019-11-23,26958895
2019-11-24,26958895
2019-11-25,26796126
2019-11-26,26796126
2019-11-27,26796126
2019-11-28,26346362
2019-11-29,26346362
2019-11-30,26346362
2019-12-01,26185604
2019-12-02,26185604
2019-12-03,26185604
2019-12-04,26185604
2019-12-05,26269292
2019-12-06,26269292
2019-12-07,26269292
2019-12-08,25790445
2019-12-09,25790445
2019-12-10,25787674
2019-12-11,25787674
2019-12-12,25787674
2019-12-13,25603287
2019-12-14,25603287
2019-12-15,25163840
2019-12-16,25163840
2019-12-17,25163840
2019-12-18,25132874
2019-12-19,25132874
2019-12-20,25132874
2019-12-21,25145097
2019-12-22,25145097
2019-12-23,25486043
2019-12-24,25486043
2019-12-25,25486043
2019-12-26,25510892
2019-12-27,25510892
2019-12-28,25511743
2019-12-29,25511743
2019-12-30,25775998
2019-12-31,25775998
2020-01-01,25602754
2020-01-02,25602754
2020-01-03,25602754
2020-01-04,25322004
2020-01-05,25322004
2020-01-06,25281317
2020-01-07,25281317
2020-01-08,25222165
2020-01-09,25222165
2020-01-10,25203378
2020-01-11,25203378
2020-01-12,25188946
2020-01-13,25188946
2020-01-14,25188946
2020-01-15,25188946
2020-01-16,25113590
2020-01-17,25113590
2020-01-18,25113590
2020-01-19,25134443
2020-01-20,25134443
2020-01-21,25134443
2020-01-22,25058919
2020-01-23,25058919
2020-01-24,25058919
2020-01-25,24743170
2020-01-26,24743170
2020-01-27,24474237
2020-01-28,24474237
2020-01-29,24474237
2020-01-30,24123613
2020-01-31,24123613
2020-02-01,24123613
2020-02-02,23877586
2020-02-03,23877586
2020-02-04,23877586
2020-02-05,23754713
2020-02-06,23754713
2020-02-07,23608645
2020-02-08,23608645
2020-02-09,23608645
2020-02-10,23362539
2020-02-11,23362539
2020-02-12,23236784
2020-02-13,23236784
2020-02-14,23011732
2020-02-15,23011732
2020-02-16,23011732
2020-02-17,22598522
2020-02-18,22598522
2020-02-19,22598522
2020-02-20,21809356
2020-02-21,21809356
2020-02-22,21326459
2020-02-23,21326459
2020-02-24,20552050
2020-02-25,20552050
2020-02-26,20552050
2020-02-27,20435985
2020-02-28,20296723
2020-02-29,20296723
2020-03-01,20296723
2020-03-02,20148429
2020-03-03,20148429
2020-03-04,19514332
2020-03-05,19514332
2020-03-06,19274775
2020-03-07,19274775
2020-03-08,18478161
2020-03-09,18478161
2020-03-10,18272327
2020-03-11,18272327
2020-03-12,17950894
2020-03-13,17950894
2020-03-14,17323071
2020-03-15,17323071
2020-03-16,16879659
2020-03-17,16879659
2020-03-18,16670284
2020-03-19,16670284
2020-03-20,16567695
2020-03-21,16567695
2020-03-22,15983911
2020-03-23,15983911
2020-03-24,15348664
2020-03-25,15348664
2020-03-26,14646763
2020-03-27,13965531
2020-03-28,13965531
2020-03-29,13269341
2020-03-30,12905548
2020-03-31,12905548
2020-04-01,12869165
2020-04-02,12869165
2020-04-03,12578582
2020-04-04,12578582
2020-04-05,12508436
2020-04-06,12373962
2020-04-07,12373962
2020-04-08,12211666
2020-04-09,12211666
2020-04-10,11920392
2020-04-11,11906104
2020-04-12,11906104
2020-04-13,11735508
2020-04-14,11735508
2020-04-15,11527338
2020-04-16,11527338
2020-04-17,11293995
2020-04-18,10947336
2020-04-19,10647161
2020-04-20,10647161
2020-04-21,10493664
2020-04-22,10156659
2020-04-23,10156659
2020-04-24,9723856
2020-04-25,9723856
2020-04-26,9326776
2020-04-27,9306026
2020-04-28,9306026
2020-04-29,9340606
2020-04-30,9340606
2020-05-01,9364254
2020-05-02,9364254
2020-05-03,9284658
2020-05-04,9284658
2020-05-05,9173733
2020-05-06,9173733
2020-05-07,9070858
2020-05-08,9070858
2020-05-09,8991641
2020-05-10,8991641
2020-05-11,8930368
2020-05-12,8930368
2020-05-13,8676154
