date_obj,Turquoise%20boots price
2015-03-04,9000
2015-03-05,9000
2015-03-06,9000
2015-03-07,8565
2015-03-08,8565
2015-03-09,8565
2015-03-10,8565
2015-03-11,8565
2015-03-12,8565
2015-03-13,8565
2015-03-14,8565
2015-03-15,8565
2015-03-16,8565
2015-03-17,8565
2015-03-18,8565
2015-03-19,8153
2015-03-20,8153
2015-03-21,8153
2015-03-22,8153
2015-03-23,8153
2015-03-24,8153
2015-03-25,8153
2015-03-26,8153
2015-03-27,8153
2015-03-28,8153
2015-03-29,8153
2015-03-30,7766
2015-03-31,7766
2015-04-01,7766
2015-04-02,7766
2015-04-03,7766
2015-04-04,7766
2015-04-05,7766
2015-04-06,7766
2015-04-07,7766
2015-04-08,7766
2015-04-09,7766
2015-04-10,7399
2015-04-11,7399
2015-04-12,7399
2015-04-13,7399
2015-04-14,7399
2015-04-15,7399
2015-04-16,7399
2015-04-17,7399
2015-04-18,7399
2015-04-19,7399
2015-04-20,7399
2015-04-21,7399
2015-04-22,7032
2015-04-23,7032
2015-04-24,7032
2015-04-25,7032
2015-04-26,7032
2015-04-27,7032
2015-04-28,7032
2015-04-29,7032
2015-04-30,7032
2015-05-01,7032
2015-05-02,7032
2015-05-03,6690
2015-05-04,6690
2015-05-05,6690
2015-05-06,6690
2015-05-07,6690
2015-05-08,6690
2015-05-09,6690
2015-05-10,6690
2015-05-11,6690
2015-05-12,6690
2015-05-13,6690
2015-05-14,6690
2015-05-15,6357
2015-05-16,6357
2015-05-17,6357
2015-05-18,6357
2015-05-19,6357
2015-05-20,6357
2015-05-21,6357
2015-05-22,6357
2015-05-23,6357
2015-05-24,6357
2015-05-25,6357
2015-05-26,6357
2015-05-27,6357
2015-05-28,6043
2015-05-29,6043
2015-05-30,6043
2015-05-31,6043
2015-06-01,6043
2015-06-02,6043
2015-06-03,6043
2015-06-04,6043
2015-06-05,6043
2015-06-06,5748
2015-06-07,5748
2015-06-08,5748
2015-06-09,5748
2015-06-10,5748
2015-06-11,5748
2015-06-12,5748
2015-06-13,5748
2015-06-14,5748
2015-06-15,5748
2015-06-16,5465
2015-06-17,5465
2015-06-18,5465
2015-06-19,5465
2015-06-20,5465
2015-06-21,5465
2015-06-22,5465
2015-06-23,5465
2015-06-24,5465
2015-06-25,5245
2015-06-26,5245
2015-06-27,5245
2015-06-28,5245
2015-06-29,5245
2015-06-30,5245
2015-07-01,5245
2015-07-02,5245
2015-07-03,5245
2015-07-04,4984
2015-07-05,4984
2015-07-06,4984
2015-07-07,4984
2015-07-08,4984
2015-07-09,4984
2015-07-10,4984
2015-07-11,4984
2015-07-12,4984
2015-07-13,4984
2015-07-14,4737
2015-07-15,4737
2015-07-16,4737
2015-07-17,4737
2015-07-18,4737
2015-07-19,4737
2015-07-20,4737
2015-07-21,4737
2015-07-22,4506
2015-07-23,4506
2015-07-24,4506
2015-07-25,4506
2015-07-26,4506
2015-07-27,4506
2015-07-28,4506
2015-07-29,4506
2015-07-30,4292
2015-07-31,4292
2015-08-01,4292
2015-08-02,4292
2015-08-03,4292
2015-08-04,4292
2015-08-05,4292
2015-08-06,4292
2015-08-07,4292
2015-08-08,4081
2015-08-09,4081
2015-08-10,4081
2015-08-11,4081
2015-08-12,4081
2015-08-13,4081
2015-08-14,4081
2015-08-15,4081
2015-08-16,4081
2015-08-17,3881
2015-08-18,3881
2015-08-19,3881
2015-08-20,3881
2015-08-21,3881
2015-08-22,3881
2015-08-23,3881
2015-08-24,3881
2015-08-25,3695
2015-08-26,3695
2015-08-27,3695
2015-08-28,3695
2015-08-29,3695
2015-08-30,3695
2015-08-31,3695
2015-09-01,204
2015-09-02,3695
2015-09-07,3518
2015-09-08,3518
2015-09-10,3346
2015-09-14,3346
2015-09-16,3346
2015-09-22,3183
2015-09-23,3183
2015-09-24,3183
2015-09-25,3183
2015-09-27,3062
2015-09-28,3062
2015-09-29,3062
2015-09-30,3062
2015-10-05,2937
2015-10-06,2937
2015-10-07,2937
2015-10-08,2937
2015-10-09,2937
2015-10-10,2937
2015-10-11,2937
2015-10-12,2937
2015-10-13,2937
2015-10-14,2937
2015-10-15,2842
2015-10-16,2842
2015-10-17,2842
2015-10-18,2842
2015-10-19,2842
2015-10-20,2842
2015-10-22,2842
2015-10-23,2842
2015-10-24,2842
2015-10-25,2709
2015-10-26,2709
2015-10-27,2709
2015-10-29,2709
2015-10-30,2709
2015-10-31,2709
2015-11-01,2709
2015-11-02,2709
2015-11-03,2709
2015-11-04,2709
2015-11-05,2577
2015-11-06,2577
2015-11-07,2577
2015-11-08,2577
2015-11-09,2577
2015-11-10,2577
2015-11-11,2577
2015-11-12,2577
2015-11-13,2577
2015-11-14,2526
2015-11-15,2526
2015-11-16,2526
2015-11-17,2526
2015-11-18,2526
2015-11-19,2526
2015-11-20,2526
2015-11-21,2526
2015-11-22,2526
2015-11-23,2526
2015-11-24,2453
2015-11-25,2453
2015-11-26,2453
2015-11-27,2453
2015-11-28,2453
2015-11-29,2453
2015-11-30,2453
2015-12-01,2453
2015-12-02,2453
2015-12-03,2347
2015-12-04,2347
2015-12-05,2347
2015-12-06,2347
2015-12-07,2347
2015-12-08,2347
2015-12-09,2347
2015-12-10,2347
2015-12-11,2347
2015-12-13,2262
2015-12-14,2262
2015-12-15,2262
2015-12-16,2262
2015-12-17,2262
2015-12-18,2262
2015-12-19,2262
2015-12-20,2262
2015-12-21,2262
2015-12-22,2262
2015-12-23,2175
2015-12-24,2175
2015-12-25,2175
2015-12-26,2175
2015-12-27,2175
2015-12-28,2175
