date_obj,Runite%20crossbow%20(u) price
2015-03-26,9698
2015-03-27,9698
2015-03-28,9498
2015-03-29,9340
2015-03-30,9616
2015-03-31,9762
2015-04-01,9762
2015-04-02,9800
2015-04-03,9830
2015-04-04,9958
2015-04-05,9958
2015-04-06,9990
2015-04-07,9973
2015-04-08,9973
2015-04-09,9967
2015-04-10,9974
2015-04-11,10030
2015-04-12,9959
2015-04-13,9749
2015-04-14,9749
2015-04-15,9695
2015-04-16,9695
2015-04-17,9405
2015-04-18,9430
2015-04-19,9500
2015-04-20,9500
2015-04-21,9562
2015-04-22,9562
2015-04-23,9664
2015-04-24,9725
2015-04-25,9552
2015-04-26,9552
2015-04-27,9514
2015-04-28,9553
2015-04-29,9553
2015-04-30,9563
2015-05-01,9654
2015-05-02,9818
2015-05-03,9818
2015-05-04,9951
2015-05-05,9907
2015-05-06,9648
2015-05-07,9673
2015-05-08,9673
2015-05-09,9676
2015-05-10,9700
2015-05-11,9700
2015-05-12,9741
2015-05-13,9741
2015-05-14,9804
2015-05-15,9804
2015-05-16,9683
2015-05-17,9644
2015-05-18,9706
2015-05-19,9706
2015-05-20,9675
2015-05-21,9675
2015-05-22,9713
2015-05-23,9713
2015-05-24,9682
2015-05-25,9669
2015-05-26,9669
2015-05-27,9678
2015-05-28,9697
2015-05-29,9710
2015-05-30,9718
2015-05-31,9694
2015-06-01,9729
2015-06-02,9729
2015-06-03,9749
2015-06-04,9796
2015-06-05,9811
2015-06-06,9791
2015-06-07,9766
2015-06-08,9823
2015-06-09,9833
2015-06-10,9839
2015-06-11,9849
2015-06-12,9852
2015-06-13,9850
2015-06-14,9829
2015-06-15,9917
2015-06-16,9941
2015-06-17,9969
2015-06-18,10133
2015-06-19,10392
2015-06-20,10204
2015-06-21,10063
2015-06-22,9920
2015-06-23,9846
2015-06-24,9722
2015-06-25,9722
2015-06-26,9679
2015-06-27,9679
2015-06-28,9930
2015-06-29,9877
2015-06-30,9939
2015-07-01,9946
2015-07-02,9946
2015-07-03,9929
2015-07-04,9811
2015-07-05,9464
2015-07-06,9673
2015-07-07,9706
2015-07-08,9656
2015-07-09,9656
2015-07-10,9728
2015-07-11,9743
2015-07-12,9747
2015-07-13,9789
2015-07-14,9774
2015-07-15,9643
2015-07-16,9543
2015-07-17,9618
2015-07-18,9660
2015-07-19,9675
2015-07-20,9716
2015-07-21,9735
2015-07-22,9968
2015-07-23,9968
2015-07-24,9897
2015-07-25,9768
2015-07-26,9821
2015-07-27,9616
2015-07-28,9579
2015-07-29,9637
2015-07-30,9674
2015-07-31,9751
2015-08-01,9645
2015-08-02,9597
2015-08-03,9835
2015-08-04,10060
2015-08-05,10009
2015-08-06,10005
2015-08-07,9846
2015-08-08,9923
2015-08-09,10010
2015-08-10,10085
2015-08-11,10013
2015-08-12,10013
2015-08-13,10091
2015-08-14,9943
2015-08-15,9943
2015-08-16,9755
2015-08-17,9894
2015-08-18,10070
2015-08-19,9987
2015-08-20,9911
2015-08-21,9914
2015-08-22,9851
2015-08-23,9970
2015-08-24,10167
2015-08-25,10167
2015-08-26,10248
2015-08-27,10113
2015-08-28,10153
2015-08-29,10034
2015-08-30,10034
2015-08-31,10048
2015-09-01,10020
2015-09-02,10020
2015-09-03,9859
2015-09-04,9837
2015-09-05,9837
2015-09-06,9950
2015-09-07,9873
2015-09-08,9979
2015-09-09,9929
2015-09-10,9879
2015-09-11,9834
2015-09-12,9731
2015-09-13,9648
2015-09-14,9670
2015-09-15,9502
2015-09-16,9502
2015-09-17,9356
2015-09-18,9371
2015-09-19,9543
2015-09-20,9601
2015-09-21,9593
2015-09-22,9589
2015-09-23,9629
2015-09-24,9629
2015-09-25,9773
2015-09-27,9895
2015-09-28,9801
2015-09-29,9714
2015-09-30,9733
2015-10-05,9614
2015-10-06,9683
2015-10-07,9771
2015-10-08,9849
2015-10-09,9875
2015-10-10,9875
2015-10-11,9851
2015-10-12,9970
2015-10-13,9892
2015-10-14,10127
2015-10-15,10253
2015-10-16,10267
2015-10-17,10267
2015-10-18,9753
2015-10-19,9766
2015-10-20,9907
2015-10-22,9767
2015-10-23,9694
2015-10-24,9737
2015-10-25,9771
2015-10-26,9864
2015-10-27,9945
2015-10-29,9930
2015-10-30,9931
2015-10-31,9947
2015-11-01,9947
2015-11-02,9981
2015-11-03,9932
2015-11-04,9996
2015-11-05,9989
2015-11-06,9999
2015-11-07,9992
2015-11-08,9934
2015-11-09,9761
2015-11-10,9656
2015-11-11,9628
2015-11-12,9560
2015-11-13,9901
2015-11-14,9968
2015-11-15,10014
2015-11-16,10064
2015-11-17,10161
2015-11-18,10372
2015-11-19,10334
2015-11-20,10190
2015-11-21,10190
2015-11-22,10083
2015-11-23,10083
2015-11-24,10113
2015-11-25,10043
2015-11-26,10043
2015-11-27,10086
2015-11-28,10033
2015-11-29,10030
2015-11-30,10126
2015-12-01,10211
2015-12-02,10176
2015-12-03,10055
2015-12-04,10037
2015-12-05,10023
2015-12-06,10020
2015-12-07,10092
2015-12-08,10175
2015-12-09,10182
2015-12-10,10154
2015-12-11,10047
2015-12-12,10049
2015-12-13,10005
2015-12-14,10005
2015-12-15,10006
2015-12-16,10010
2015-12-17,10024
2015-12-18,10043
2015-12-19,10137
2015-12-20,10181
2015-12-21,10193
2015-12-22,10158
2015-12-23,10178
