date_obj,Sweetcorn price
2015-03-26,802
2015-03-27,802
2015-03-28,761
2015-03-29,723
2015-03-30,688
2015-03-31,655
2015-04-01,655
2015-04-02,622
2015-04-03,592
2015-04-04,563
2015-04-05,563
2015-04-06,534
2015-04-07,507
2015-04-08,507
2015-04-09,481
2015-04-10,457
2015-04-11,435
2015-04-12,435
2015-04-13,413
2015-04-14,413
2015-04-15,392
2015-04-16,392
2015-04-17,372
2015-04-18,354
2015-04-19,354
2015-04-20,336
2015-04-21,336
2015-04-22,319
2015-04-23,304
2015-04-24,304
2015-04-25,288
2015-04-26,288
2015-04-27,273
2015-04-28,273
2015-04-29,260
2015-04-30,260
2015-05-01,247
2015-05-02,247
2015-05-03,234
2015-05-04,234
2015-05-05,222
2015-05-06,222
2015-05-07,211
2015-05-08,211
2015-05-09,212
2015-05-10,212
2015-05-11,207
2015-05-12,211
2015-05-13,211
2015-05-14,208
2015-05-15,208
2015-05-16,209
2015-05-17,210
2015-05-18,210
2015-05-19,201
2015-05-20,201
2015-05-21,201
2015-05-22,201
2015-05-23,201
2015-05-24,205
2015-05-25,214
2015-05-26,214
2015-05-27,222
2015-05-28,233
2015-05-29,233
2015-05-30,245
2015-05-31,245
2015-06-01,258
2015-06-02,258
2015-06-03,271
2015-06-04,271
2015-06-05,285
2015-06-06,285
2015-06-07,274
2015-06-08,274
2015-06-09,265
2015-06-10,257
2015-06-11,257
2015-06-12,246
2015-06-13,234
2015-06-14,234
2015-06-15,222
2015-06-16,211
2015-06-17,211
2015-06-18,209
2015-06-19,209
2015-06-20,203
2015-06-21,203
2015-06-22,212
2015-06-23,212
2015-06-24,221
2015-06-25,221
2015-06-26,230
2015-06-27,230
2015-06-28,238
2015-06-29,238
2015-06-30,250
2015-07-01,263
2015-07-02,263
2015-07-03,276
2015-07-04,276
2015-07-05,281
2015-07-06,281
2015-07-07,292
2015-07-08,304
2015-07-09,304
2015-07-10,320
2015-07-11,320
2015-07-12,336
2015-07-13,344
2015-07-14,359
2015-07-15,376
2015-07-16,376
2015-07-17,395
2015-07-18,395
2015-07-19,415
2015-07-20,434
2015-07-21,434
2015-07-22,428
2015-07-23,428
2015-07-24,411
2015-07-25,411
2015-07-26,391
2015-07-27,371
2015-07-28,358
2015-07-29,343
2015-07-30,343
2015-07-31,326
2015-08-01,313
2015-08-02,301
2015-08-03,301
2015-08-04,308
2015-08-05,304
2015-08-06,304
2015-08-07,290
2015-08-08,291
2015-08-09,287
2015-08-10,291
2015-08-11,279
2015-08-12,279
2015-08-13,273
2015-08-14,268
2015-08-15,268
2015-08-16,258
2015-08-17,255
2015-08-18,255
2015-08-19,254
2015-08-20,254
2015-08-21,246
2015-08-22,234
2015-08-23,234
2015-08-24,241
2015-08-25,241
2015-08-26,254
2015-08-27,261
2015-08-28,261
2015-08-29,257
2015-08-30,257
2015-08-31,252
2015-09-01,245
2015-09-02,245
2015-09-03,237
2015-09-04,237
2015-09-05,237
2015-09-06,233
2015-09-07,233
2015-09-08,239
2015-09-09,239
2015-09-10,237
2015-09-11,237
2015-09-12,243
2015-09-13,243
2015-09-14,252
2015-09-15,264
2015-09-16,264
2015-09-17,267
2015-09-18,267
2015-09-19,271
2015-09-20,271
2015-09-21,272
2015-09-22,272
2015-09-23,277
2015-09-24,277
2015-09-25,288
2015-09-27,284
2015-09-28,284
2015-09-29,277
2015-09-30,265
2015-10-05,254
2015-10-06,251
2015-10-07,251
2015-10-08,253
2015-10-09,259
2015-10-10,259
2015-10-11,270
2015-10-12,270
2015-10-13,284
2015-10-14,284
2015-10-15,295
2015-10-16,295
2015-10-17,301
2015-10-18,301
2015-10-19,313
2015-10-20,313
2015-10-22,328
2015-10-23,336
2015-10-24,336
2015-10-25,338
2015-10-26,338
2015-10-27,355
2015-10-29,369
2015-10-30,369
2015-10-31,357
2015-11-01,357
2015-11-02,350
2015-11-03,350
2015-11-04,349
2015-11-05,349
2015-11-06,354
2015-11-07,361
2015-11-08,361
2015-11-09,361
2015-11-10,344
2015-11-11,344
2015-11-12,343
2015-11-13,343
2015-11-14,346
2015-11-15,346
2015-11-16,338
2015-11-17,338
2015-11-18,333
2015-11-19,333
2015-11-20,333
2015-11-21,333
2015-11-22,329
2015-11-23,329
2015-11-24,320
2015-11-25,319
2015-11-26,319
2015-11-27,320
2015-11-28,320
2015-11-29,314
2015-11-30,314
2015-12-01,306
2015-12-02,306
2015-12-03,303
2015-12-04,303
2015-12-05,303
2015-12-06,302
2015-12-07,302
2015-12-08,292
2015-12-09,293
2015-12-10,293
2015-12-11,305
2015-12-13,319
