date_obj,Ensouled%20horror%20head price
2016-01-08,4224
2016-01-09,4038
2016-01-10,3844
2016-01-11,3651
2016-01-12,3481
2016-01-13,3511
2016-01-14,3672
2016-01-15,3746
2016-01-16,3563
2016-01-17,3384
2016-01-18,3292
2016-01-19,3151
2016-01-20,3000
2016-01-21,2913
2016-01-22,2855
2016-01-23,2791
2016-01-24,2825
2016-01-25,2710
2016-01-26,2574
2016-01-27,2579
2016-01-28,2455
2016-01-29,2466
2016-01-30,2457
2016-01-31,2437
2016-02-01,2558
2016-02-02,2625
2016-02-03,2757
2016-02-04,2895
2016-02-05,3040
2016-02-06,3192
2016-02-07,3352
2016-02-08,3520
2016-02-09,3655
2016-02-10,3838
2016-02-11,3888
2016-02-12,3897
2016-02-13,3755
2016-02-14,3600
2016-02-15,3591
2016-02-16,3411
2016-02-17,3240
2016-02-18,3078
2016-02-19,2924
2016-02-20,2780
2016-02-21,2745
2016-02-22,2607
2016-02-23,2479
2016-02-24,2448
2016-02-25,2335
2016-02-26,2258
2016-02-27,2336
2016-02-28,2361
2016-02-29,2480
2016-03-01,2604
2016-03-02,2735
2016-03-03,2872
2016-03-04,3016
2016-03-05,3167
2016-03-06,3245
2016-03-07,3408
2016-03-08,3549
2016-03-09,3470
2016-03-10,3597
2016-03-11,3743
2016-03-12,3773
2016-03-13,3826
2016-03-14,3802
2016-03-15,3762
2016-03-16,3947
2016-03-17,4019
2016-03-18,4150
2016-03-19,4201
2016-03-20,4195
2016-03-21,3985
2016-03-22,3785
2016-03-23,3611
2016-03-24,3565
2016-03-25,3610
2016-03-26,3572
2016-03-27,3548
2016-03-28,3370
2016-03-29,3208
2016-03-30,3051
2016-03-31,2898
2016-04-01,2756
2016-04-02,2665
2016-04-03,2631
2016-04-04,2629
2016-04-05,2607
2016-04-06,2707
2016-04-07,2677
2016-04-08,2639
2016-04-09,2710
2016-04-10,2846
2016-04-11,2989
2016-04-12,3139
2016-04-13,3296
2016-04-14,3367
2016-04-15,3198
2016-04-16,3038
2016-04-17,2947
2016-04-18,2825
2016-04-19,2720
2016-04-20,2605
2016-04-21,2721
2016-04-22,2722
2016-04-23,2720
2016-04-24,2776
2016-04-25,2761
2016-04-26,2631
2016-04-27,2665
2016-04-28,2666
2016-04-29,2571
2016-04-30,2442
2016-05-01,2337
2016-05-02,2224
2016-05-03,2248
2016-05-04,2215
2016-05-05,2193
2016-05-06,2107
2016-05-07,2033
2016-05-08,1960
2016-05-09,2002
2016-05-10,2055
2016-05-11,2104
2016-05-12,2168
2016-05-13,2199
2016-05-14,2280
2016-05-15,2382
2016-05-16,2370
2016-05-17,2475
2016-05-18,2377
2016-05-19,2261
2016-05-22,2190
2016-05-23,2148
2016-05-24,2044
2016-05-25,2034
2016-05-26,2042
2016-05-27,2112
2016-05-28,2043
2016-05-29,2060
2016-05-30,2032
2016-05-31,1974
2016-06-01,1919
2016-06-02,2015
2016-06-03,2070
2016-06-04,1985
2016-06-05,1885
2016-06-06,1894
2016-06-07,1920
2016-06-08,2003
2016-06-09,2065
2016-06-10,2145
2016-06-11,2105
2016-06-12,2064
2016-06-13,2010
2016-06-14,2088
2016-06-15,2044
2016-06-16,2043
2016-06-17,2108
