date_obj,Red%20spiky%20vambraces price
2015-03-26,23402
2015-03-27,23402
2015-03-28,23402
2015-03-29,23402
2015-03-30,23402
2015-03-31,23402
2015-04-01,23402
2015-04-02,23402
2015-04-03,22266
2015-04-04,22266
2015-04-05,22266
2015-04-06,22266
2015-04-07,22266
2015-04-08,22266
2015-04-09,22266
2015-04-10,21179
2015-04-11,21179
2015-04-12,21179
2015-04-13,21179
2015-04-14,21179
2015-04-15,21179
2015-04-16,21179
2015-04-17,20164
2015-04-18,20164
2015-04-19,20164
2015-04-20,20164
2015-04-21,20164
2015-04-22,20164
2015-04-23,20164
2015-04-24,19188
2015-04-25,19188
2015-04-26,19188
2015-04-27,19188
2015-04-28,19188
2015-04-29,19188
2015-04-30,19188
2015-05-01,18243
2015-05-02,18243
2015-05-03,18243
2015-05-04,18243
2015-05-05,18243
2015-05-06,18243
2015-05-07,18243
2015-05-08,17348
2015-05-09,17348
2015-05-10,17348
2015-05-11,17348
2015-05-12,17348
2015-05-13,17348
2015-05-14,17348
2015-05-15,16497
2015-05-16,16497
2015-05-17,16497
2015-05-18,16497
2015-05-19,16497
2015-05-20,16497
2015-05-21,16497
2015-05-22,15682
2015-05-23,15682
2015-05-24,15682
2015-05-25,15682
2015-05-26,15682
2015-05-27,15682
2015-05-28,14897
2015-05-29,14897
2015-05-30,14897
2015-05-31,14166
2015-06-01,14166
2015-06-02,14166
2015-06-03,14166
2015-06-04,13486
2015-06-05,13486
2015-06-06,13486
2015-06-07,13486
2015-06-08,12905
2015-06-09,12905
2015-06-10,12905
2015-06-11,12905
2015-06-12,12905
2015-06-13,12493
2015-06-14,12493
2015-06-15,12493
2015-06-16,12493
2015-06-17,12493
2015-06-18,12092
2015-06-19,12092
2015-06-20,12092
2015-06-21,12092
2015-06-22,11730
2015-06-23,11730
2015-06-24,11730
2015-06-25,11730
2015-06-26,11193
2015-06-27,11193
2015-06-28,11193
2015-06-29,11193
2015-06-30,11193
2015-07-01,10707
2015-07-02,10707
2015-07-03,10707
2015-07-04,10707
2015-07-05,10707
2015-07-06,10299
2015-07-07,10299
2015-07-08,10299
2015-07-09,10299
2015-07-10,10299
2015-07-11,9800
2015-07-12,9800
2015-07-13,9800
2015-07-14,9800
2015-07-15,9442
2015-07-16,9442
2015-07-17,9442
2015-07-18,9442
2015-07-19,9204
2015-07-20,9204
2015-07-21,9204
2015-07-22,9204
2015-07-23,8809
2015-07-24,8809
2015-07-25,8809
2015-07-26,8809
2015-07-27,8539
2015-07-28,8539
2015-07-29,8539
2015-07-30,8539
2015-07-31,8539
2015-08-01,8129
2015-08-02,8129
2015-08-03,8129
2015-08-04,8129
2015-08-05,7939
2015-08-06,7939
2015-08-07,7939
2015-08-08,7939
2015-08-09,7899
2015-08-10,7899
