date_obj,Toy%20cat price
2015-03-26,51000
2015-03-27,51000
2015-03-28,51000
2015-03-29,51000
2015-03-30,51000
2015-03-31,51000
2015-04-01,51000
2015-04-02,51000
2015-04-03,51000
2015-04-04,51000
2015-04-05,51000
2015-04-06,51000
2015-04-07,51000
2015-04-08,51000
2015-04-09,48531
2015-04-10,48531
2015-04-11,48531
2015-04-12,48531
2015-04-13,48531
2015-04-14,48531
2015-04-15,48531
2015-04-16,48531
2015-04-17,48531
2015-04-18,48531
2015-04-19,48531
2015-04-20,48531
2015-04-21,48531
2015-04-22,48531
2015-04-23,48531
2015-04-24,48531
2015-04-25,48531
2015-04-26,48531
2015-04-27,48531
2015-04-28,48531
2015-04-29,48531
2015-04-30,48531
2015-05-01,48531
2015-05-02,48531
2015-05-03,48531
2015-05-04,48531
2015-05-05,48531
2015-05-06,48531
2015-05-07,48531
2015-05-08,48531
2015-05-09,48531
2015-05-10,48531
2015-05-11,48531
2015-05-12,48531
2015-05-13,48531
2015-05-14,48531
2015-05-15,48531
2015-05-16,48531
2015-05-17,46123
2015-05-18,46123
2015-05-19,46123
2015-05-20,46123
2015-05-21,46123
2015-05-22,46123
2015-05-23,46123
2015-05-24,46123
2015-05-25,46123
2015-05-26,46123
2015-05-27,46123
2015-05-28,46123
2015-05-29,46123
2015-05-30,46123
2015-05-31,46123
2015-06-01,46123
2015-06-02,46123
2015-06-03,46123
2015-06-04,46123
2015-06-05,46123
2015-06-06,46123
2015-06-07,46123
2015-06-08,46123
2015-06-09,46123
2015-06-10,46123
2015-06-11,46123
2015-06-12,44117
2015-06-13,44117
2015-06-14,44117
2015-06-15,44117
2015-06-16,44117
2015-06-17,44117
2015-06-18,44117
2015-06-19,44117
2015-06-20,44117
2015-06-21,44117
2015-06-22,44117
2015-06-23,44117
2015-06-24,44117
2015-06-25,44117
2015-06-26,44117
2015-06-27,44117
2015-06-28,44117
2015-06-29,44117
2015-06-30,44117
2015-07-01,44117
2015-07-02,44117
2015-07-03,44117
2015-07-04,44117
2015-07-05,44117
2015-07-06,44117
2015-07-07,44117
2015-07-08,44117
2015-07-09,44117
2015-07-10,44117
2015-07-11,44117
2015-07-12,41921
2015-07-13,41921
2015-07-14,41921
2015-07-15,41921
2015-07-16,41921
2015-07-17,41921
2015-07-18,41921
2015-07-19,41921
2015-07-20,41921
2015-07-21,41921
2015-07-22,41921
2015-07-23,41921
2015-07-24,41921
2015-07-25,41921
2015-07-26,41921
2015-07-27,41921
2015-07-28,41921
2015-07-29,41921
2015-07-30,41921
2015-07-31,41921
2015-08-01,41921
2015-08-02,39925
2015-08-03,39925
2015-08-04,39925
2015-08-05,39925
2015-08-06,39925
2015-08-07,39925
2015-08-08,39925
2015-08-09,39925
2015-08-10,39925
2015-08-11,39925
2015-08-12,39925
2015-08-13,39925
2015-08-14,39925
2015-08-15,39925
2015-08-16,39925
2015-08-17,39925
2015-08-18,39925
2015-08-19,39925
2015-08-20,39925
2015-08-21,39925
2015-08-22,39925
2015-08-23,37938
2015-08-24,37938
2015-08-25,37938
2015-08-26,37938
2015-08-27,37938
2015-08-28,37938
2015-08-29,37938
2015-08-30,37938
2015-08-31,37938
2015-09-01,37938
2015-09-02,37938
2015-09-03,37938
2015-09-04,37938
2015-09-05,37938
2015-09-06,37938
2015-09-07,37938
2015-09-08,37938
2015-09-09,37938
2015-09-10,37938
2015-09-11,37938
2015-09-12,37938
2015-09-13,36055
2015-09-14,36055
2015-09-15,36055
2015-09-16,36055
2015-09-17,36055
2015-09-18,36055
2015-09-19,36055
2015-09-20,36055
2015-09-21,36055
2015-09-22,36055
2015-09-23,36055
2015-09-24,36055
2015-09-25,36055
2015-09-27,36055
2015-09-28,36055
2015-09-29,36055
2015-09-30,36055
2015-10-05,36055
2015-10-06,34271
2015-10-07,34271
2015-10-08,34271
2015-10-09,34271
2015-10-10,34271
2015-10-11,34271
2015-10-12,34271
2015-10-13,34271
2015-10-14,34271
2015-10-15,34271
2015-10-16,34271
2015-10-17,34271
2015-10-18,34271
2015-10-19,34271
2015-10-20,34271
2015-10-22,34271
2015-10-23,34271
2015-10-24,34271
2015-10-25,34271
2015-10-26,34271
2015-10-27,34271
2015-10-29,32782
2015-10-30,32782
2015-10-31,32782
2015-11-01,32782
2015-11-02,32782
2015-11-03,32782
2015-11-04,32782
2015-11-05,32782
2015-11-06,32782
2015-11-07,32782
2015-11-08,32782
2015-11-09,32782
2015-11-10,32782
2015-11-11,32782
2015-11-12,32782
2015-11-13,32782
2015-11-14,32782
2015-11-15,32782
2015-11-16,32782
2015-11-17,32782
2015-11-18,32782
2015-11-19,32782
2015-11-20,32782
2015-11-21,32782
2015-11-22,32782
2015-11-23,31381
2015-11-24,31381
2015-11-25,31381
2015-11-26,31381
2015-11-27,31381
2015-11-28,31381
2015-11-29,31381
2015-11-30,31381
2015-12-01,31381
2015-12-02,31381
2015-12-03,31381
2015-12-04,31381
2015-12-05,31381
2015-12-06,31381
2015-12-07,31381
2015-12-08,31381
2015-12-09,31381
2015-12-10,31381
2015-12-11,31381
2015-12-13,31381
2015-12-14,31381
2015-12-15,30051
2015-12-16,30051
2015-12-17,30051
2015-12-18,30051
2015-12-19,30051
2015-12-20,30051
2015-12-21,30051
2015-12-22,30051
2015-12-23,30051
2015-12-24,30051
2015-12-25,30051
2015-12-26,30051
2015-12-27,30051
2015-12-28,30051
2015-12-29,30051
2015-12-30,28562
2015-12-31,28562
2016-01-01,28562
2016-01-02,28562
2016-01-03,28562
2016-01-04,28562
2016-01-05,28562
2016-01-06,28562
