date_obj,Runite%20bolts%20(unf) price
2015-03-26,3970
2015-03-27,3970
2015-03-28,3970
2015-03-29,3970
2015-03-30,3970
2015-03-31,3970
2015-04-01,3970
2015-04-02,3970
2015-04-03,3970
2015-04-04,3970
2015-04-05,3970
2015-04-06,3825
2015-04-07,3825
2015-04-08,3825
2015-04-09,3825
2015-04-10,3825
2015-04-11,3825
2015-04-12,3825
2015-04-13,3825
2015-04-14,3825
2015-04-15,3825
2015-04-16,3825
2015-04-17,3825
2015-04-18,3825
2015-04-19,3825
2015-04-20,3825
2015-04-21,3825
2015-04-22,3825
2015-04-23,3825
2015-04-24,3825
2015-04-25,3825
2015-04-26,3825
2015-04-27,3825
2015-04-28,3825
2015-04-29,3825
2015-04-30,3825
2015-05-01,3825
2015-05-02,3825
2015-05-03,3825
2015-05-04,3825
2015-05-05,3825
2015-05-06,3825
2015-05-07,3825
2015-05-08,3825
2015-05-09,3825
2015-05-10,3825
2015-05-11,3825
2015-05-12,3825
2015-05-13,3825
2015-05-14,3655
2015-05-15,3655
2015-05-16,3655
2015-05-17,3655
2015-05-18,3655
2015-05-19,3655
2015-05-20,3655
2015-05-21,3655
2015-05-22,3655
2015-05-23,3655
2015-05-24,3655
2015-05-25,3655
2015-05-26,3655
2015-05-27,3655
2015-05-28,3655
2015-05-29,3655
2015-05-30,3655
2015-05-31,3655
2015-06-01,3655
2015-06-02,3655
2015-06-03,3655
2015-06-04,3655
2015-06-05,3655
2015-06-06,3655
2015-06-07,3655
2015-06-08,3655
2015-06-09,3655
2015-06-10,3655
2015-06-11,3655
2015-06-12,3655
2015-06-13,3655
2015-06-14,3655
2015-06-15,3655
2015-06-16,3655
2015-06-17,3655
2015-06-18,3655
2015-06-19,3655
2015-06-20,3655
2015-06-21,3655
2015-06-22,3655
2015-06-23,3655
2015-06-24,3472
2015-06-25,3472
2015-06-26,3472
2015-06-27,3472
2015-06-28,3472
2015-06-29,3472
2015-06-30,3472
2015-07-01,3472
2015-07-02,3472
2015-07-03,3472
2015-07-04,3472
2015-07-05,3472
2015-07-06,3472
2015-07-07,3472
2015-07-08,3472
2015-07-09,3472
2015-07-10,3472
2015-07-11,3472
2015-07-12,3472
2015-07-13,3472
2015-07-14,3472
2015-07-15,3472
2015-07-16,3472
2015-07-17,3472
2015-07-18,3472
2015-07-19,3472
2015-07-20,3472
2015-07-21,3472
2015-07-22,3472
2015-07-23,3472
2015-07-24,3472
2015-07-25,3472
2015-07-26,3472
2015-07-27,3472
2015-07-28,3472
2015-07-29,3472
2015-07-30,3472
2015-07-31,3472
2015-08-01,3472
2015-08-02,3472
2015-08-03,3472
2015-08-04,3472
2015-08-05,3472
2015-08-06,3472
2015-08-07,3472
2015-08-08,3307
2015-08-09,3307
2015-08-10,3307
2015-08-11,3307
2015-08-12,3307
2015-08-13,3307
2015-08-14,3307
2015-08-15,3307
2015-08-16,3307
