date_obj,Dragon%20hunter%20lance price
2019-01-10,15000000
2019-01-10,15750000
2019-01-11,16537500
2019-01-12,17364375
2019-01-13,18232594
2019-01-14,19144224
2019-01-15,20101436
2019-01-16,21106508
2019-01-17,22161834
2019-01-18,23269926
2019-01-19,24433423
2019-01-20,25655095
2019-01-21,26937850
2019-01-22,28284743
2019-01-23,29698981
2019-01-24,31183931
2019-01-25,32743128
2019-01-26,34380285
2019-01-27,36099300
2019-01-28,37904265
2019-01-29,39799479
2019-01-30,41789453
2019-01-31,43878926
2019-02-01,46072873
2019-02-02,48376517
2019-02-03,50795343
2019-02-04,53335111
2019-02-05,56001867
2019-02-06,58801961
2019-02-07,61742060
2019-02-08,64829163
2019-02-09,68070622
2019-02-10,71474154
2019-02-11,75047862
2019-02-12,78800256
2019-02-13,82740269
2019-02-14,86389551
2019-02-15,87919972
2019-02-16,90577529
2019-02-17,92105231
2019-02-18,92880306
2019-02-19,92952283
2019-02-20,93636725
2019-02-21,93865033
2019-02-22,93838989
2019-02-23,95495367
2019-02-24,97547173
2019-02-25,97169669
2019-02-26,96712693
2019-02-27,97087049
2019-02-28,95977592
2019-03-01,97664957
2019-03-02,98813856
2019-03-03,100265216
2019-03-04,100435391
2019-03-05,101571716
2019-03-06,103719836
2019-03-07,106555758
2019-03-08,110717988
2019-03-09,108384969
2019-03-10,104497885
2019-03-11,101923323
2019-03-12,103662221
2019-03-13,103905062
2019-03-14,105969210
2019-03-15,107662891
2019-03-16,107695333
2019-03-17,108496803
2019-03-18,109280217
2019-03-19,110099719
2019-03-20,110013386
2019-03-21,109462067
2019-03-22,109557752
2019-03-23,111196299
2019-03-24,111239131
2019-03-25,111860766
2019-03-26,112512432
2019-03-27,112669674
2019-03-28,111912889
2019-03-29,110230460
2019-03-30,110920425
2019-03-31,110256044
2019-04-01,109774357
2019-04-02,109616288
2019-04-03,108921557
2019-04-04,108399476
2019-04-05,107793358
2019-04-06,106532344
2019-04-07,105651481
2019-04-08,105767766
2019-04-09,105580503
2019-04-10,104798312
2019-04-11,104079227
2019-04-12,102331446
2019-04-13,101123898
2019-04-14,97717587
2019-04-15,93024425
2019-04-16,92054898
2019-04-17,96068138
2019-04-18,95838016
2019-04-19,95958747
2019-04-20,95952870
2019-04-21,95604157
2019-04-22,96051840
2019-04-23,95932154
2019-04-24,96082232
2019-04-25,95011441
2019-04-26,94833625
2019-04-27,94260870
2019-04-28,94115752
2019-04-29,93356762
2019-04-30,92517437
2019-05-01,92306875
2019-05-02,91139370
2019-05-03,90571941
2019-05-04,90006367
2019-05-05,88806823
2019-05-06,86563402
2019-05-07,85916721
2019-05-08,82824158
2019-05-09,81388985
2019-05-10,81453605
2019-05-11,82042114
2019-05-12,85646148
2019-05-13,87134797
2019-05-14,88090468
2019-05-15,87210636
2019-05-16,85171859
2019-05-17,84404616
2019-05-18,84010180
2019-05-19,84011488
2019-05-20,83787306
2019-05-21,83959822
2019-05-22,83619396
2019-05-23,83332390
2019-05-24,84172101
2019-05-25,85172245
2019-05-26,85010097
2019-05-27,86163925
2019-05-28,85884677
2019-05-29,85429601
2019-05-30,85104622
2019-05-31,85645083
2019-06-01,86005062
2019-06-02,86558840
2019-06-03,86181939
2019-06-04,85653218
2019-06-05,85429694
2019-06-06,85106224
2019-06-07,85094965
2019-06-08,85439849
2019-06-09,86380580
2019-06-10,86052952
2019-06-11,86229183
2019-06-12,86638642
2019-06-13,87018122
2019-06-14,86666797
2019-06-15,86846914
2019-06-16,86808357
2019-06-17,86480977
2019-06-18,85510212
2019-06-19,82859632
2019-06-20,78810682
2019-06-21,76265603
2019-06-22,75408437
2019-06-23,71655306
2019-06-24,71918812
2019-06-25,75502497
2019-06-26,79236577
2019-06-27,82782604
2019-06-28,81363179
2019-06-29,82500667
2019-06-30,82566467
2019-07-01,82351016
2019-07-02,81614989
2019-07-03,80064466
2019-07-04,77806400
2019-07-05,78293153
2019-07-06,79491612
2019-07-07,81518950
2019-07-08,81767099
2019-07-09,80329830
2019-07-10,79295486
2019-07-11,79332109
2019-07-12,79799675
2019-07-13,80983430
2019-07-14,81336554
2019-07-15,81269779
2019-07-16,80967356
2019-07-17,81042403
2019-07-18,80808680
2019-07-19,81190307
2019-07-20,81739263
2019-07-21,83112906
2019-07-22,84292794
2019-07-23,84689978
2019-07-24,83357778
2019-07-25,80959502
2019-07-26,78723114
2019-07-27,79729588
2019-07-28,80439226
2019-07-29,80991523
2019-07-30,80866428
2019-07-31,81257340
2019-08-01,81804236
2019-08-02,80858816
2019-08-03,80882592
2019-08-04,81617547
2019-08-05,81811082
2019-08-06,82083102
2019-08-07,82092625
2019-08-08,82165712
2019-08-09,82192546
2019-08-10,82539929
2019-08-11,83420096
2019-08-12,83480177
2019-08-13,83481719
2019-08-14,83792917
2019-08-15,83874884
2019-08-16,84203719
2019-08-17,84060529
2019-08-18,83788216
2019-08-19,83288568
2019-08-20,83063999
2019-08-21,82265682
2019-08-22,82388862
2019-08-23,82309617
2019-08-24,82658796
2019-08-24,82658796
2019-08-25,83061584
2019-08-25,83061584
2019-08-26,83251260
2019-08-27,83164962
2019-08-27,83164962
2019-08-28,83015567
2019-08-29,82651678
2019-08-30,82479491
2019-08-31,82599776
2019-09-01,82725538
2019-09-02,83263697
2019-09-03,83559638
2019-09-04,83928647
2019-09-05,84494352
2019-09-06,85369703
2019-09-07,85671965
2019-09-08,85648012
2019-09-09,85322241
2019-09-10,85177628
2019-09-11,84689817
2019-09-12,84419367
2019-09-13,84391702
2019-09-14,86588351
2019-09-15,89354593
2019-09-16,88558359
2019-09-17,88271007
2019-09-18,88201121
2019-09-19,87854915
2019-09-20,88138823
2019-09-21,88904824
2019-09-22,88601003
2019-09-23,87728958
2019-09-24,87155272
2019-09-25,87185982
2019-09-26,86147999
2019-09-27,85203090
2019-09-28,85221196
2019-09-29,85482550
2019-09-30,85919274
2019-10-01,86051118
2019-10-02,86270904
2019-10-03,86530709
2019-10-04,87414137
2019-10-05,87762890
2019-10-06,87897314
2019-10-07,88037630
2019-10-08,87764474
2019-10-09,87832453
2019-10-10,87574690
2019-10-11,88155016
2019-10-12,88443035
2019-10-13,89172826
2019-10-14,88834275
2019-10-15,88576396
2019-10-16,88351496
2019-10-17,88197240
2019-10-18,88849209
2019-10-19,89935604
2019-10-20,90525718
2019-10-21,91040985
2019-10-22,90738640
2019-10-23,89612755
2019-10-24,88845358
2019-10-25,88932121
2019-10-26,89588016
2019-10-27,89089829
2019-10-28,88876819
2019-10-29,88875264
2019-10-30,88403115
2019-10-31,88246870
2019-11-01,88342708
2019-11-02,88804958
2019-11-03,89167254
2019-11-04,89471950
2019-11-05,89718996
2019-11-06,89988444
2019-11-07,90036403
2019-11-08,92091762
2019-11-09,96099391
2019-11-10,93628984
2019-11-11,91097222
2019-11-12,92136260
2019-11-13,91794768
2019-11-14,92078525
2019-11-15,91682174
2019-11-16,90985740
2019-11-17,90607389
2019-11-18,89185987
2019-11-19,88306405
2019-11-20,87857199
2019-11-21,87102819
2019-11-22,86579104
2019-11-23,86835610
2019-11-24,87718852
2019-11-25,87516622
2019-11-26,88555342
2019-11-27,88439608
2019-11-28,87538169
2019-11-29,88061892
2019-11-30,88034200
2019-12-01,87861665
2019-12-02,87622435
2019-12-03,87276420
2019-12-04,86877828
2019-12-05,86507926
2019-12-06,86683350
2019-12-07,86719039
2019-12-08,87135448
2019-12-09,87256156
2019-12-10,86825803
2019-12-11,86531826
2019-12-12,86247815
2019-12-13,86553693
2019-12-14,87677373
2019-12-15,88755048
2019-12-16,88599302
2019-12-17,88866781
2019-12-18,89536364
2019-12-19,89269928
2019-12-20,89216856
2019-12-21,89393853
2019-12-22,89872634
2019-12-23,89439473
2019-12-24,89376070
2019-12-25,89416681
2019-12-26,89580599
2019-12-27,90282883
2019-12-28,91512733
2019-12-29,92871036
2019-12-30,94554987
2019-12-31,96105629
2020-01-01,95577609
2020-01-02,95076260
2020-01-03,95230875
2020-01-04,95284344
2020-01-05,94826137
2020-01-06,93442459
2020-01-07,91988453
2020-01-08,92604157
2020-01-09,92001048
2020-01-10,92413084
2020-01-11,94134997
2020-01-12,94587569
2020-01-13,94878947
2020-01-14,94924867
2020-01-15,94692169
2020-01-16,94440327
2020-01-17,94672477
2020-01-18,95585534
2020-01-19,95617901
2020-01-20,96376942
2020-01-21,96625711
2020-01-22,96360795
2020-01-23,95506831
2020-01-24,94502264
2020-01-25,94440814
2020-01-26,94178006
2020-01-27,94150933
2020-01-28,94073746
2020-01-29,92947150
2020-01-30,91681498
2020-01-31,90894509
2020-02-01,91556442
2020-02-02,92249452
2020-02-03,92411741
2020-02-04,92377411
2020-02-05,90221475
2020-02-06,86079533
2020-02-07,85728916
2020-02-08,86445433
2020-02-09,89205183
2020-02-10,88818542
2020-02-11,87134513
2020-02-12,86489578
2020-02-13,86137253
2020-02-14,86203216
2020-02-15,86544914
2020-02-16,87549242
2020-02-17,88276414
2020-02-18,87935659
2020-02-19,88038046
2020-02-20,88312707
2020-02-21,88202933
2020-02-22,88059874
2020-02-23,88174958
2020-02-24,88175054
2020-02-25,88032909
2020-02-26,87585476
2020-02-27,87364489
2020-02-28,87294336
2020-02-29,87159425
2020-03-01,87243231
2020-03-02,87121627
2020-03-03,87032800
2020-03-04,86967368
2020-03-05,86543884
2020-03-06,86453841
2020-03-07,86630874
2020-03-08,87054632
2020-03-09,86935704
2020-03-10,87234967
2020-03-11,87578263
2020-03-12,87552756
2020-03-13,87692677
2020-03-14,87958347
2020-03-15,88492319
2020-03-16,89307600
2020-03-17,89976363
2020-03-18,89810697
2020-03-19,89619919
2020-03-20,89760619
2020-03-21,90233633
2020-03-22,90327673
2020-03-23,90337345
2020-03-24,90701703
2020-03-25,90622151
2020-03-26,90259540
2020-03-27,90173379
2020-03-28,89969260
2020-03-29,89746482
2020-03-30,89511356
2020-03-31,89861618
2020-04-01,90254417
2020-04-02,91102941
2020-04-03,92003005
2020-04-04,93021480
2020-04-05,93024371
2020-04-06,92639128
2020-04-07,92552037
2020-04-08,92696871
2020-04-09,93263970
2020-04-10,94213515
2020-04-11,95263454
2020-04-12,95705016
2020-04-13,96269108
2020-04-14,97109974
2020-04-15,97774054
2020-04-16,97344131
2020-04-17,97192429
2020-04-18,96899706
2020-04-19,96047304
2020-04-20,93157468
2020-04-21,91389535
2020-04-22,91013745
2020-04-23,92188292
2020-04-24,93400764
2020-04-25,94512419
2020-04-26,94615729
2020-04-27,94472971
2020-04-28,94384594
2020-04-29,94650543
2020-04-30,94501874
2020-05-01,94365020
2020-05-02,94816897
2020-05-03,95249524
2020-05-04,95106493
2020-05-05,95125500
2020-05-06,95882412
2020-05-07,95899508
2020-05-08,96283236
2020-05-09,97130988
2020-05-10,97442736
2020-05-11,97772483
2020-05-12,98006258
2020-05-13,98056049
