date_obj,Proselyte%20harness%20f price
2015-03-05,50000
2015-03-06,50000
2015-03-07,50000
2015-03-08,50000
2015-03-09,50000
2015-03-10,50000
2015-03-11,50000
2015-03-12,50000
2015-03-13,50000
2015-03-14,50000
2015-03-15,50000
2015-03-16,50000
2015-03-17,50000
2015-03-18,50000
2015-03-19,50000
2015-03-20,50000
2015-03-21,50000
2015-03-22,50000
2015-03-23,50000
2015-03-24,50000
2015-03-25,50000
2015-03-26,50000
2015-03-27,50000
2015-03-28,50000
2015-03-29,50000
2015-03-30,50000
2015-03-31,50000
2015-04-01,50000
2015-04-02,50000
2015-04-03,50000
2015-04-04,50000
2015-04-05,50000
2015-04-06,50000
2015-04-07,50000
2015-04-08,50000
2015-04-09,50000
2015-04-10,50000
2015-04-11,50000
2015-04-12,50000
2015-04-13,50000
2015-04-14,50000
2015-04-15,50000
2015-04-16,50000
2015-04-17,50000
2015-04-18,50000
2015-04-19,50000
2015-04-20,50000
2015-04-21,50000
2015-04-22,50000
2015-04-23,50000
2015-04-24,50000
2015-04-25,50000
2015-04-26,50000
2015-04-27,50000
2015-04-28,50000
2015-04-29,50000
2015-04-30,50000
2015-05-01,50000
2015-05-02,50000
2015-05-03,50000
2015-05-04,50000
2015-05-05,50000
2015-05-06,50000
2015-05-07,50000
2015-05-08,50000
2015-05-09,50000
2015-05-10,50000
2015-05-11,50000
2015-05-12,50000
2015-05-13,50000
2015-05-14,50000
2015-05-15,50000
2015-05-16,50000
2015-05-17,48941
2015-05-18,48941
2015-05-19,48941
2015-05-20,48941
2015-05-21,48941
2015-05-22,48941
2015-05-23,48941
2015-05-24,48941
2015-05-25,48941
2015-05-26,48941
2015-05-27,48941
2015-05-28,48941
2015-05-29,48941
2015-05-30,48941
2015-05-31,48941
2015-06-01,48941
2015-06-02,48941
2015-06-03,48941
2015-06-04,48941
2015-06-05,48941
2015-06-06,48941
2015-06-07,48941
2015-06-08,48941
2015-06-09,48941
2015-06-10,48941
2015-06-11,48941
2015-06-12,48941
2015-06-13,48941
2015-06-14,48941
2015-06-15,48941
2015-06-16,48941
2015-06-17,48941
2015-06-18,48941
2015-06-19,48941
2015-06-20,48941
2015-06-21,48941
2015-06-22,48941
2015-06-23,48941
2015-06-24,48941
2015-06-25,48941
2015-06-26,48941
2015-06-27,48941
2015-06-28,48941
2015-06-29,48941
2015-06-30,48941
2015-07-01,47373
2015-07-02,47373
2015-07-03,47373
2015-07-04,47373
2015-07-05,47373
2015-07-06,47373
2015-07-07,47373
2015-07-08,47373
2015-07-09,47373
2015-07-10,47373
2015-07-11,47373
2015-07-12,47373
2015-07-13,47373
2015-07-14,47373
2015-07-15,47373
2015-07-16,47373
2015-07-17,47373
2015-07-18,47373
2015-07-19,47373
2015-07-20,47373
2015-07-21,47373
2015-07-22,47373
2015-07-23,47373
2015-07-24,47373
2015-07-25,47373
2015-07-26,47373
2015-07-27,47373
2015-07-28,47373
2015-07-29,47373
2015-07-30,47373
2015-07-31,47373
2015-08-01,47373
2015-08-02,47373
2015-08-03,47373
2015-08-04,47373
2015-08-05,47373
2015-08-06,47373
2015-08-07,47373
2015-08-08,47373
2015-08-09,47373
2015-08-10,47373
2015-08-11,47373
2015-08-12,47373
2015-08-13,47373
2015-08-14,45688
2015-08-15,45688
2015-08-16,45688
2015-08-17,45688
2015-08-18,45688
2015-08-19,45688
2015-08-20,45688
2015-08-21,45688
2015-08-22,45688
2015-08-23,45688
2015-08-24,45688
2015-08-25,45688
2015-08-26,45688
2015-08-27,45688
2015-08-28,45688
2015-08-29,45688
2015-08-30,45688
2015-08-31,45688
2015-09-02,45688
2015-09-07,45688
2015-09-08,45688
2015-09-10,45688
