date_obj,Golden%20apron price
2016-07-06,2073141
2016-07-07,2073141
2016-07-08,2087793
2016-07-09,2087793
2016-07-10,2087793
2016-07-11,1983796
2016-07-12,1983796
2016-07-13,1983796
2016-07-14,1983796
2016-07-15,1884606
2016-07-16,1884606
2016-07-17,1884606
2016-07-18,1791551
2016-07-23,1701973
2016-07-24,1701973
2016-07-25,1618033
2016-07-26,1618033
2016-07-27,1618033
2016-07-28,1618033
2016-07-29,1618033
2016-07-30,1537131
2016-07-31,1537131
2016-08-01,1537131
2016-08-02,1537131
2016-08-03,1537131
2016-08-04,1462140
2016-08-05,1462140
2016-08-06,1462140
2016-08-07,1462140
2016-08-08,1462140
2016-08-09,1391083
2016-08-10,1391083
2016-08-11,1391083
2016-08-12,1391083
2016-08-13,1391083
2016-08-14,1391083
2016-08-15,1322048
2016-08-16,1322048
2016-08-17,1322048
2016-08-18,1322048
2016-08-19,1322048
2016-08-20,1256464
2016-08-21,1256464
2016-08-22,1256464
2016-08-23,1256464
2016-08-24,1256464
2016-08-25,1194626
2016-08-26,1194626
2016-08-28,1194626
2016-08-31,1135659
2016-09-01,1135659
2016-09-02,1135659
2016-09-03,1135659
2016-09-04,1135659
2016-09-05,1135659
2016-09-06,1079771
2016-09-07,1079771
2016-09-08,1079771
2016-09-09,1079771
2016-09-10,1079771
2016-09-11,1079771
2016-09-12,1079771
2016-09-13,1026612
2016-09-14,1026612
2016-09-15,1026612
2016-09-16,1026612
2016-09-17,1026612
2016-09-18,1026612
2016-09-19,1026612
2016-09-20,976587
2016-09-21,976587
2016-09-22,976587
2016-09-23,976587
2016-09-24,976587
2016-09-25,976587
2016-09-26,976587
2016-09-27,929118
2016-09-28,929118
2016-09-29,929118
2016-09-30,929118
2016-10-01,929118
2016-10-02,929118
2016-10-03,929118
2016-10-04,929118
2016-10-05,882662
2016-10-06,882662
2016-10-07,882662
2016-10-08,882662
2016-10-09,882662
2016-10-10,882662
2016-10-11,882662
2016-10-12,882662
2016-10-13,838528
2016-10-14,838528
2016-10-15,838528
2016-10-16,838528
2016-10-17,838528
2016-10-18,838528
2016-10-19,838528
2016-10-20,797928
2016-10-21,797928
2016-10-22,797928
2016-10-23,797928
2016-10-24,797928
2016-10-25,797928
2016-10-26,797928
2016-10-27,758410
2016-10-28,758410
2016-10-29,758410
2016-10-30,758410
2016-10-31,758410
2016-11-01,758410
2016-11-02,720930
2016-11-03,720930
2016-11-04,720930
2016-11-05,720930
2016-11-06,720930
2016-11-07,720930
2016-11-08,720930
2016-11-09,684883
2016-11-10,684883
2016-11-11,684883
2016-11-12,684883
2016-11-13,684883
2016-11-14,684883
2016-11-15,684883
2016-12-07,591590
2016-12-08,591590
2016-12-09,591590
2016-12-10,591590
2016-12-11,591590
2016-12-12,591590
2016-12-13,562651
2016-12-14,562651
2016-12-15,562651
2016-12-16,562651
2016-12-17,562651
2016-12-18,562651
2016-12-19,562651
2016-12-20,535151
2016-12-21,535151
2016-12-22,535151
2016-12-23,535151
2016-12-24,509392
2016-12-25,509392
2016-12-26,509392
2016-12-27,509392
2016-12-28,509392
2016-12-29,509392
2016-12-30,486101
2016-12-31,486101
2017-01-01,486101
2017-01-02,486101
2017-01-03,486101
2017-01-04,486101
2017-01-05,462643
2017-01-06,462643
2017-01-07,462643
2017-01-08,462643
2017-01-09,462643
2017-01-10,440444
2017-01-11,440444
2017-01-12,440444
2017-01-13,440444
2017-01-14,419397
2017-01-15,419397
2017-01-16,419397
2017-01-17,419397
2017-01-18,399478
2017-01-19,399478
2017-01-20,399478
2017-01-21,399478
2017-01-22,399478
2017-01-23,399478
2017-01-27,379657
2017-01-28,379657
2017-01-29,379657
2017-01-30,361659
2017-01-31,361659
2017-02-01,361659
2017-02-02,361659
2017-02-03,361659
2017-02-04,343598
2017-02-05,343598
2017-02-06,343598
2017-02-07,343598
2017-02-08,343598
2017-02-09,343598
2017-02-10,326418
2017-02-11,326418
2017-02-12,326418
2017-02-13,326418
2017-02-14,326418
2017-02-15,326418
2017-02-16,314737
2017-02-18,314737
2017-02-19,314737
2017-02-20,314737
