date_obj,Dust%20battlestaff price
2016-09-14,4750000
2016-09-15,4550372
2016-09-16,4550372
2016-09-17,4322853
2016-09-18,4108511
2016-09-19,3907363
2016-09-20,3907363
2016-09-21,3711994
2016-09-22,3526394
2016-09-23,3351939
2016-09-24,3351939
2016-09-25,3184342
2016-09-26,3184342
2016-09-27,3025124
2016-09-28,2878530
2016-09-29,2878530
2016-09-30,2734603
2016-10-01,2598771
2016-10-02,2598771
2016-10-03,2468832
2016-10-04,2346866
2016-10-05,2233018
2016-10-06,2123742
2016-10-07,2123742
2016-10-08,2017554
2016-10-09,2017554
2016-10-10,1916676
2016-10-11,1822011
2016-10-12,1730910
2016-10-13,1644364
2016-10-14,1562145
2016-10-15,1485537
2016-10-16,1485537
2016-10-17,1411260
2016-10-18,1411260
2016-10-19,1340697
2016-10-20,1274448
2016-10-21,1210725
2016-10-22,1210725
2016-10-23,1150188
2016-10-24,1092678
2016-10-25,1092678
2016-10-26,1038044
2016-10-27,988241
2016-10-28,940580
2016-10-29,893551
2016-10-30,850227
2016-10-31,807715
2016-11-01,807715
2016-11-02,767329
2016-11-03,767329
2016-11-04,728962
2016-11-05,728962
2016-11-06,692513
2016-11-07,658254
2016-11-08,626631
2016-11-09,596372
2016-11-10,567342
2016-11-11,540310
2016-11-12,513916
2016-11-13,490536
2016-11-14,467133
2016-11-15,444606
2016-12-07,177703
2016-12-08,168817
2016-12-09,160376
2016-12-10,160376
2016-12-11,152357
2016-12-12,145118
2016-12-13,137862
2016-12-14,130968
2016-12-15,130968
2016-12-16,124419
2016-12-17,118198
2016-12-18,118198
2016-12-19,112803
2016-12-20,107162
2016-12-21,102356
2016-12-22,102356
2016-12-23,98103
2016-12-24,98103
2016-12-25,93642
2016-12-26,90474
2016-12-27,88095
2016-12-28,87219
2016-12-29,85851
2016-12-30,84542
2016-12-31,83875
2017-01-01,83311
2017-01-02,82751
2017-01-03,82751
2017-01-04,82010
2017-01-05,82010
2017-01-06,79793
2017-01-07,76407
2017-01-08,75268
2017-01-09,75372
2017-01-10,73074
2017-01-11,71645
2017-01-12,71234
2017-01-13,71234
2017-01-14,71265
2017-01-15,71942
2017-01-16,72460
2017-01-17,73372
2017-01-18,75180
2017-01-19,76718
2017-01-20,79509
2017-01-21,81096
2017-01-22,83137
2017-01-23,83300
2017-01-27,90355
2017-01-28,89245
2017-01-29,85257
2017-01-30,81767
2017-01-31,78955
2017-02-01,79848
2017-02-02,81505
2017-02-03,80756
2017-02-04,80020
2017-02-05,78852
2017-02-06,78698
2017-02-07,77070
2017-02-08,76445
2017-02-09,76445
2017-02-10,73301
2017-02-11,71696
2017-02-12,71696
2017-02-13,70124
2017-02-14,66839
2017-02-15,64349
2017-02-16,63264
2017-02-18,61915
2017-02-19,61059
2017-02-20,59612
2017-02-21,58506
2017-02-22,58121
2017-02-23,57577
2017-02-24,57577
2017-02-25,57461
2017-02-26,56588
2017-02-27,56224
2017-02-28,54984
2017-03-01,53598
2017-03-02,52958
2017-03-03,53056
2017-03-04,52116
2017-03-05,50117
2017-03-06,49887
2017-03-07,49545
2017-03-08,49585
2017-03-09,49292
2017-03-10,49134
2017-03-11,48899
2017-03-12,49665
2017-03-13,51024
2017-03-14,50735
2017-03-15,50376
2017-03-16,49569
2017-03-17,49227
2017-03-18,48126
2017-03-19,46874
2017-03-20,45991
2017-03-21,45147
2017-03-22,44267
2017-03-23,43226
2017-03-24,41796
2017-03-25,41796
2017-03-26,40245
2017-03-27,38932
2017-03-28,37804
2017-03-29,36275
2017-03-30,35753
2017-03-31,34923
2017-04-01,35027
2017-04-02,34629
2017-04-03,34338
2017-04-04,33713
2017-04-12,40130
2017-04-13,39426
2017-04-14,38954
2017-04-15,38239
2017-04-16,38216
2017-04-17,38116
2017-04-18,38882
2017-04-19,38714
2017-04-20,39428
2017-04-21,39687
2017-04-22,41128
2017-04-23,42809
2017-04-24,44620
2017-04-25,46116
2017-04-26,46116
2017-04-27,47707
2017-04-28,49380
2017-04-29,50846
2017-04-30,51701
2017-05-01,52597
2017-05-02,53162
2017-05-03,54201
2017-05-04,54587
2017-05-05,54000
2017-05-06,53076
2017-05-07,51934
2017-05-08,51398
2017-05-09,51231
2017-05-10,50693
2017-05-11,50274
2017-05-12,49269
2017-05-13,47359
2017-05-14,47053
2017-05-16,47255
2017-05-17,48248
2017-05-18,50630
2017-05-19,52290
2017-05-20,53482
2017-05-21,53482
2017-05-22,53744
2017-05-23,53794
2017-05-24,51706
2017-05-25,49120
2017-05-26,46782
2017-05-27,44442
2017-05-28,42219
2017-05-29,40108
2017-05-30,38102
2017-05-31,36539
2017-06-01,35237
2017-06-02,34682
2017-06-03,34682
2017-06-04,33457
2017-06-05,31862
2017-06-06,30864
2017-06-07,30579
2017-06-08,30579
2017-06-09,30430
2017-06-10,30116
2017-06-11,29399
2017-06-12,28071
2017-06-13,26734
2017-06-14,25542
2017-06-15,25121
2017-06-16,24576
2017-06-17,24800
2017-06-18,25014
2017-06-19,25014
2017-06-20,25793
2017-06-21,26519
2017-06-22,26519
2017-06-23,26767
2017-06-24,26893
2017-06-25,27739
2017-06-26,28514
2017-06-27,29362
2017-06-28,29460
2017-06-29,29450
2017-06-30,28468
2017-07-01,28468
2017-07-02,28579
2017-07-03,29055
2017-07-04,29342
2017-07-05,29342
2017-07-06,28795
2017-07-07,28795
2017-07-08,28545
2017-07-13,27966
2017-07-14,27965
2017-07-15,27965
2017-07-16,27887
2017-07-17,27532
2017-07-18,27712
2017-07-19,27938
2017-07-20,28196
2017-07-21,28573
2017-07-22,28817
2017-07-23,28477
2017-07-24,28477
2017-07-25,28109
2017-07-26,27953
2017-07-27,27657
2017-07-28,26833
2017-07-29,26081
2017-07-30,26060
2017-07-31,26060
2017-08-01,25416
2017-08-02,24793
2017-08-03,24459
2017-08-04,24085
2017-08-05,23779
2017-08-06,23159
2017-08-09,25821
2017-08-10,27106
2017-08-11,28285
2017-08-12,28676
2017-08-13,29030
2017-08-14,29789
2017-08-15,30252
2017-08-16,30084
2017-08-17,29873
2017-08-18,29873
2017-08-19,29670
2017-08-20,29488
2017-08-21,29126
2017-08-22,28756
2017-08-23,28680
2017-08-24,29210
2017-08-25,29478
2017-08-26,28708
2017-08-27,27549
2017-08-28,26961
2017-08-29,26961
2017-08-30,26395
2017-08-31,26291
2017-09-01,26428
2017-09-03,26638
2017-09-04,26466
2017-09-05,25867
2017-09-06,25841
2017-09-07,25524
2017-09-08,25524
2017-09-09,25387
2017-09-10,25580
2017-09-11,26412
2017-09-12,27551
2017-09-13,28765
2017-09-14,30204
2017-09-15,30204
2017-09-16,31187
2017-09-17,32038
2017-09-18,32462
2017-09-19,32138
2017-09-20,31753
2017-09-21,32063
2017-09-22,32286
2017-09-23,32286
2017-09-24,32043
2017-09-25,31166
2017-09-26,30281
2017-09-27,29729
2017-09-28,29539
2017-09-29,29216
2017-09-30,29705
2017-10-01,30408
2017-10-02,30896
2017-10-03,32187
2017-10-04,32187
2017-10-05,32289
2017-10-06,32738
2017-10-07,33216
2017-10-08,33788
2017-10-09,34124
2017-10-10,33718
2017-10-11,33718
2017-10-12,33815
2017-10-13,34072
2017-10-14,33785
2017-10-15,33785
2017-10-16,33481
2017-10-17,33481
2017-10-18,33061
2017-10-19,32858
2017-10-20,32255
2017-10-21,32399
2017-10-22,32642
2017-10-23,32826
2017-10-24,32982
2017-10-25,32778
2017-10-26,32063
2017-10-27,31327
2017-10-28,31327
2017-10-29,30293
2017-10-30,29469
2017-10-31,28559
2017-11-01,28559
2017-11-02,27612
2017-11-03,27028
2017-11-04,26227
2017-11-05,26261
2017-11-06,26528
2017-11-07,26378
2017-11-08,26387
2017-11-09,26529
2017-11-10,26568
2017-11-11,27071
2017-11-12,26824
2017-11-13,26936
2017-11-14,26263
2017-11-15,26619
2017-11-16,26200
2017-11-17,25611
2017-11-18,25226
2017-11-19,24182
