date_obj,Mithril%20axe price
2015-03-26,1397
2015-03-27,1327
2015-03-28,1260
2015-03-29,1197
2015-03-30,1137
2015-03-31,1080
2015-04-01,1026
2015-04-02,974
2015-04-03,925
2015-04-04,878
2015-04-05,834
2015-04-06,792
2015-04-07,752
2015-04-08,714
2015-04-09,678
2015-04-10,644
2015-04-11,611
2015-04-12,580
2015-04-13,551
2015-04-14,523
2015-04-15,496
2015-04-16,471
2015-04-17,447
2015-04-18,424
2015-04-19,402
2015-04-20,381
2015-04-21,361
2015-04-22,342
2015-04-23,324
2015-04-24,307
2015-04-25,293
2015-04-26,283
2015-04-27,274
2015-04-28,262
2015-04-29,249
2015-04-30,238
2015-05-01,227
2015-05-02,218
2015-05-03,215
2015-05-04,209
2015-05-05,204
2015-05-06,195
2015-05-07,185
2015-05-08,178
2015-05-09,177
2015-05-10,172
2015-05-11,165
2015-05-12,164
2015-05-13,159
2015-05-14,155
2015-05-15,149
2015-05-16,148
2015-05-17,149
2015-05-18,147
2015-05-19,149
2015-05-20,148
2015-05-21,146
2015-05-22,138
2015-05-23,134
2015-05-24,135
2015-05-25,136
2015-05-26,137
2015-05-27,138
2015-05-28,138
2015-05-29,137
2015-05-30,140
2015-05-31,141
2015-06-01,140
2015-06-02,146
2015-06-03,149
2015-06-04,154
2015-06-05,159
2015-06-06,164
2015-06-07,166
2015-06-08,169
2015-06-09,174
2015-06-10,180
2015-06-11,179
2015-06-12,179
2015-06-13,175
2015-06-14,168
2015-06-15,171
2015-06-16,169
2015-06-17,173
2015-06-18,179
2015-06-19,180
2015-06-20,180
2015-06-21,171
2015-06-22,170
2015-06-23,171
2015-06-24,169
2015-06-25,177
2015-06-26,180
2015-06-27,187
2015-06-28,192
2015-06-29,188
2015-06-30,181
2015-07-01,175
2015-07-02,175
2015-07-03,177
2015-07-04,179
2015-07-05,181
2015-07-06,179
2015-07-07,180
2015-07-08,186
2015-07-09,192
2015-07-10,196
2015-07-11,199
2015-07-12,200
2015-07-13,203
2015-07-14,208
2015-07-15,209
2015-07-16,214
2015-07-17,215
2015-07-18,209
2015-07-19,206
2015-07-20,204
2015-07-21,198
2015-07-22,196
2015-07-23,193
2015-07-24,195
2015-07-25,196
2015-07-26,199
2015-07-27,198
2015-07-28,192
2015-07-29,193
2015-07-30,192
2015-07-31,194
2015-08-01,195
2015-08-02,201
2015-08-03,209
2015-08-04,218
2015-08-05,218
2015-08-06,219
2015-08-07,214
2015-08-08,208
2015-08-09,211
2015-08-10,212
2015-08-11,210
2015-08-12,209
2015-08-13,213
2015-08-14,216
2015-08-15,217
2015-08-16,220
2015-08-17,230
2015-08-18,229
2015-08-19,236
2015-08-20,240
2015-08-21,248
2015-08-22,255
2015-08-23,260
2015-08-24,267
2015-08-25,262
2015-08-26,269
2015-08-27,278
2015-08-28,281
2015-08-29,287
2015-08-30,291
2015-08-31,300
2015-09-01,299
2015-09-02,293
2015-09-03,293
2015-09-04,291
2015-09-05,293
2015-09-06,292
2015-09-07,301
2015-09-08,294
2015-09-09,295
2015-09-10,299
2015-09-11,299
2015-09-12,306
2015-09-13,309
2015-09-14,309
2015-09-15,309
2015-09-16,304
2015-09-17,304
2015-09-18,298
2015-09-19,298
2015-09-20,293
2015-09-21,291
2015-09-22,288
2015-09-23,292
2015-09-24,297
2015-09-25,305
2015-09-27,279
2015-09-28,275
2015-09-29,280
2015-09-30,283
2015-10-05,258
2015-10-06,257
2015-10-07,259
2015-10-08,257
2015-10-09,247
2015-10-10,248
2015-10-11,249
2015-10-12,246
2015-10-13,251
2015-10-14,238
2015-10-15,229
2015-10-16,226
2015-10-17,229
2015-10-18,229
2015-10-19,230
2015-10-20,232
2015-10-22,223
2015-10-23,216
2015-10-24,212
2015-10-25,211
2015-10-26,204
2015-10-27,193
2015-10-29,194
2015-10-30,195
2015-10-31,197
2015-11-01,187
2015-11-02,182
2015-11-03,179
2015-11-04,177
2015-11-05,178
2015-11-06,175
2015-11-07,176
2015-11-08,175
2015-11-09,181
2015-11-10,187
2015-11-11,182
2015-11-12,182
2015-11-13,185
2015-11-14,184
2015-11-15,188
2015-11-16,190
2015-11-17,193
2015-11-18,198
2015-11-19,204
2015-11-20,207
2015-11-21,213
2015-11-22,214
2015-11-23,223
2015-11-24,222
2015-11-25,216
2015-11-26,207
2015-11-27,199
2015-11-28,196
2015-11-29,190
2015-11-30,193
2015-12-01,197
2015-12-02,203
2015-12-03,194
2015-12-04,189
2015-12-05,186
2015-12-06,189
2015-12-07,195
2015-12-08,198
2015-12-09,203
2015-12-10,205
2015-12-11,203
2015-12-12,207
2015-12-13,209
2015-12-14,215
2015-12-15,219
2015-12-16,227
2015-12-17,236
2015-12-18,244
2015-12-19,245
2015-12-20,252
2015-12-21,245
2015-12-22,233
2015-12-23,225
2015-12-24,223
2015-12-25,225
2015-12-26,223
2015-12-27,221
2015-12-28,215
2015-12-29,208
2015-12-30,208
2015-12-31,202
2016-01-01,192
2016-01-02,192
2016-01-03,192
2016-01-04,195
2016-01-05,192
2016-01-06,202
2016-01-07,212
2016-01-08,209
2016-01-09,214
2016-01-10,219
2016-01-11,220
2016-01-12,223
2016-01-13,223
2016-01-14,230
