date_obj,Bear%20feet price
2019-04-11,30000
2019-04-11,31491
2019-04-12,33066
2019-04-13,34720
2019-04-14,36399
2019-04-15,60000
2019-04-16,60000
2019-04-17,61090
2019-04-18,61187
2019-04-19,59762
2019-04-20,57225
2019-04-21,54395
2019-04-22,52550
2019-04-23,51145
2019-04-24,49750
2019-04-25,47504
2019-04-26,45981
2019-04-27,46175
2019-04-28,47156
2019-04-29,47624
2019-04-30,46718
2019-05-01,46718
2019-05-02,46228
2019-05-03,44187
2019-05-04,41997
2019-05-05,40324
2019-05-06,38725
2019-05-07,36919
2019-05-08,35222
2019-05-09,33741
2019-05-10,32219
2019-05-11,30799
2019-05-12,30746
2019-05-13,30896
2019-05-14,30586
2019-05-15,30586
2019-05-16,30633
2019-05-17,30633
2019-05-18,30870
2019-05-19,30870
2019-05-20,30686
2019-05-21,30686
2019-05-22,31675
2019-05-23,33026
2019-05-24,34276
2019-05-25,34234
2019-05-26,34517
2019-05-27,34434
2019-05-28,34407
2019-05-29,33949
2019-05-30,33949
2019-05-31,33654
2019-06-01,33654
2019-06-02,33481
2019-06-03,33481
2019-06-04,33234
2019-06-05,33309
2019-06-06,34781
2019-06-07,34781
2019-06-08,36302
2019-06-09,37358
2019-06-10,37358
2019-06-11,38353
2019-06-12,38353
2019-06-13,38556
2019-06-14,38556
2019-06-15,38758
2019-06-16,39193
2019-06-17,40379
2019-06-18,40379
2019-06-19,41728
2019-06-20,43127
2019-06-21,43127
2019-06-22,43934
2019-06-23,44292
2019-06-24,44292
2019-06-25,44794
2019-06-26,44794
2019-06-27,45965
2019-06-28,45965
2019-06-29,46220
2019-06-30,46945
2019-07-01,46945
2019-07-02,47658
2019-07-03,48423
2019-07-04,48423
2019-07-05,50013
2019-07-06,50013
2019-07-07,50347
2019-07-08,50347
2019-07-09,50081
2019-07-10,49702
2019-07-11,49702
2019-07-12,48892
2019-07-13,48892
2019-07-14,48479
2019-07-15,48479
2019-07-16,48746
2019-07-17,48319
2019-07-18,48319
2019-07-19,48720
2019-07-20,48720
2019-07-21,48019
2019-07-22,48019
2019-07-23,47253
2019-07-24,47253
2019-07-25,47359
2019-07-26,47359
2019-07-27,47297
2019-07-28,47297
2019-07-29,46480
2019-07-30,46314
2019-07-31,46314
2019-08-01,46443
2019-08-02,46443
2019-08-03,47346
