date_obj,Runite%20limbs price
2015-03-26,9522
2015-03-27,9522
2015-03-28,9634
2015-03-29,9527
2015-03-30,9533
2015-03-31,9792
2015-04-01,9830
2015-04-02,9914
2015-04-03,9922
2015-04-04,10030
2015-04-05,10037
2015-04-06,9868
2015-04-07,9784
2015-04-08,9852
2015-04-09,9701
2015-04-10,9951
2015-04-11,10001
2015-04-12,9861
2015-04-13,9552
2015-04-14,9513
2015-04-15,9531
2015-04-16,9509
2015-04-17,9519
2015-04-18,9576
2015-04-19,9893
2015-04-20,9967
2015-04-21,9896
2015-04-22,9996
2015-04-23,9952
2015-04-24,9699
2015-04-25,9496
2015-04-26,9455
2015-04-27,9449
2015-04-28,9558
2015-04-29,9558
2015-04-30,9701
2015-05-01,9671
2015-05-02,9733
2015-05-03,9950
2015-05-04,9818
2015-05-05,9519
2015-05-06,9583
2015-05-07,9582
2015-05-08,9577
2015-05-09,9616
2015-05-10,9657
2015-05-11,9726
2015-05-12,9726
2015-05-13,9734
2015-05-14,9754
2015-05-15,9776
2015-05-16,9785
2015-05-17,9636
2015-05-18,9652
2015-05-19,9590
2015-05-20,9590
2015-05-21,9661
2015-05-22,9694
2015-05-23,9633
2015-05-24,9528
2015-05-25,9538
2015-05-26,9571
2015-05-27,9585
2015-05-28,9543
2015-05-29,9555
2015-05-30,9540
2015-05-31,9335
2015-06-01,9572
2015-06-02,9733
2015-06-03,9743
2015-06-04,9668
2015-06-05,9732
2015-06-06,9705
2015-06-07,9641
2015-06-08,9743
2015-06-09,9770
2015-06-10,9832
2015-06-11,9827
2015-06-12,9881
2015-06-13,9881
2015-06-14,9843
2015-06-15,9765
2015-06-16,9801
2015-06-17,9909
2015-06-18,10036
2015-06-19,9912
2015-06-20,9973
2015-06-21,9684
2015-06-22,9718
2015-06-23,9808
2015-06-24,9790
2015-06-25,9567
2015-06-26,9586
2015-06-27,9989
2015-06-28,9780
2015-06-29,9647
2015-06-30,9856
2015-07-01,9935
2015-07-02,10000
2015-07-03,9939
2015-07-04,9605
2015-07-05,9414
2015-07-06,9632
2015-07-07,9693
2015-07-08,9677
2015-07-09,9724
2015-07-10,9707
2015-07-11,9660
2015-07-12,9506
2015-07-13,9583
2015-07-14,9529
2015-07-15,9584
2015-07-16,9704
2015-07-17,9739
2015-07-18,9613
2015-07-19,9511
2015-07-20,9618
2015-07-21,9564
2015-07-22,9794
2015-07-23,9760
2015-07-24,9705
2015-07-25,9549
2015-07-26,9543
2015-07-27,9410
2015-07-28,9581
2015-07-29,9646
2015-07-30,10064
2015-07-31,9914
2015-08-01,9702
2015-08-02,9589
2015-08-03,9788
2015-08-04,9907
2015-08-05,9883
2015-08-06,9907
2015-08-07,9809
2015-08-08,9874
2015-08-09,9933
2015-08-10,9858
2015-08-11,9862
2015-08-12,9857
2015-08-13,9855
2015-08-14,9853
2015-08-15,9851
2015-08-16,9863
2015-08-17,9781
2015-08-18,9894
2015-08-19,9817
2015-08-20,9810
2015-08-21,9839
2015-08-22,9768
2015-08-23,9566
2015-08-24,9538
2015-08-25,9648
2015-08-26,9585
2015-08-27,9738
2015-08-28,9722
2015-08-29,9709
2015-08-30,9692
2015-08-31,9621
2015-09-01,9624
2015-09-02,9655
2015-09-03,9528
2015-09-04,9617
2015-09-05,9420
2015-09-06,9402
2015-09-07,9538
2015-09-08,9575
2015-09-09,9519
2015-09-10,9662
2015-09-11,9594
2015-09-12,9389
2015-09-13,9457
2015-09-14,9381
2015-09-15,9382
2015-09-16,9416
2015-09-17,9517
2015-09-18,9481
2015-09-19,9525
2015-09-20,9378
2015-09-21,9419
2015-09-22,9531
2015-09-23,9560
2015-09-24,9681
2015-09-25,9772
2015-09-27,9650
2015-09-28,9690
2015-09-29,9744
2015-09-30,9765
2015-10-05,9690
2015-10-06,9730
2015-10-07,9717
2015-10-08,9833
2015-10-09,9693
2015-10-10,9537
2015-10-11,9644
2015-10-12,9670
2015-10-13,9758
2015-10-14,9908
2015-10-15,9935
2015-10-16,9562
2015-10-17,9410
2015-10-18,9451
2015-10-19,9595
2015-10-20,9755
2015-10-22,9802
2015-10-23,9565
2015-10-24,9532
2015-10-25,9559
2015-10-26,9602
2015-10-27,9773
2015-10-29,9923
2015-10-30,9966
2015-10-31,10032
2015-11-01,10092
2015-11-02,10181
2015-11-03,10177
2015-11-04,10271
2015-11-05,10091
2015-11-06,10114
2015-11-07,10019
2015-11-08,9816
2015-11-09,9954
2015-11-10,9794
2015-11-11,9715
2015-11-12,9889
2015-11-13,9846
2015-11-14,9937
2015-11-15,9972
2015-11-16,10043
2015-11-17,9996
2015-11-18,10268
2015-11-19,10350
2015-11-20,9962
2015-11-21,10136
2015-11-22,10149
2015-11-23,10349
2015-11-24,10281
2015-11-25,10142
