date_obj,Tatty%20larupia%20fur price
2015-03-26,6300
2015-03-27,6300
2015-03-28,6300
2015-03-29,6300
2015-03-30,6300
2015-03-31,6300
2015-04-01,6300
2015-04-02,6005
2015-04-03,6005
2015-04-04,6005
2015-04-05,6005
2015-04-06,6005
2015-04-07,6005
2015-04-08,6005
2015-04-09,6005
2015-04-10,6005
2015-04-11,6005
2015-04-12,6005
2015-04-13,6005
2015-04-14,6005
2015-04-15,6005
2015-04-16,6005
2015-04-17,6005
2015-04-18,6005
2015-04-19,6005
2015-04-20,6005
2015-04-21,6005
2015-04-22,6005
2015-04-23,6005
2015-04-24,6005
2015-04-25,6005
2015-04-26,6005
2015-04-27,6005
2015-04-28,6005
2015-04-29,6005
2015-04-30,6005
2015-05-01,6005
2015-05-02,6005
2015-05-03,6005
2015-05-04,6005
2015-05-05,6005
2015-05-06,6005
2015-05-07,6005
2015-05-08,6005
2015-05-09,6005
2015-05-10,6005
2015-05-11,6005
2015-05-12,6005
2015-05-13,5714
2015-05-14,5714
2015-05-15,5714
2015-05-16,5714
2015-05-17,5714
2015-05-18,5714
2015-05-19,5714
2015-05-20,5714
2015-05-21,5714
2015-05-22,5714
2015-05-23,5714
2015-05-24,5714
2015-05-25,5714
2015-05-26,5714
2015-05-27,5714
2015-05-28,5714
2015-05-29,5714
2015-05-30,5714
2015-05-31,5714
2015-06-01,5714
2015-06-02,5714
2015-06-03,5714
2015-06-04,5714
2015-06-05,5714
2015-06-06,5714
2015-06-07,5714
2015-06-08,5714
2015-06-09,5714
2015-06-10,5714
2015-06-11,5714
2015-06-12,5445
2015-06-13,5445
2015-06-14,5445
2015-06-15,5445
2015-06-16,5445
2015-06-17,5445
2015-06-18,5445
2015-06-19,5445
2015-06-20,5445
2015-06-21,5445
2015-06-22,5445
2015-06-23,5445
2015-06-24,5445
2015-06-25,5445
2015-06-26,5445
2015-06-27,5445
2015-06-28,5445
2015-06-29,5445
2015-06-30,5445
2015-07-01,5445
2015-07-02,5445
2015-07-03,5445
2015-07-04,5445
2015-07-05,5445
2015-07-06,5445
2015-07-07,5445
2015-07-08,5445
2015-07-09,5445
2015-07-10,5445
2015-07-11,5445
2015-07-12,5445
2015-07-13,5445
2015-07-14,5445
2015-07-15,5445
2015-07-16,5445
2015-07-17,5445
2015-07-18,5445
2015-07-19,5201
2015-07-20,5201
2015-07-21,5201
2015-07-22,5201
2015-07-23,5201
2015-07-24,5201
2015-07-25,5201
2015-07-26,5201
2015-07-27,5201
2015-07-28,5201
2015-07-29,5201
2015-07-30,5201
2015-07-31,5201
2015-08-01,5201
2015-08-02,5201
2015-08-03,5201
