date_obj,Book%20of%20darkness%20page%20set price
2015-03-26,183770
2015-03-27,183770
2015-03-28,183770
2015-03-29,183770
2015-03-30,191906
2015-03-31,191906
2015-04-01,191906
2015-04-02,191906
2015-04-03,200867
2015-04-04,200867
2015-04-05,200867
2015-04-06,200867
2015-04-07,210193
2015-04-08,210193
2015-04-09,210193
2015-04-10,210193
2015-04-11,219995
2015-04-12,219995
2015-04-13,219995
2015-04-14,219995
2015-04-15,219995
2015-04-16,230053
2015-04-17,230053
2015-04-18,230053
2015-04-19,230053
2015-04-20,230053
2015-04-21,240688
2015-04-22,240688
2015-04-23,240688
2015-04-24,240688
2015-04-25,240688
2015-04-26,244254
2015-04-27,244254
2015-04-28,244254
2015-04-29,244254
2015-04-30,241611
2015-05-01,241611
2015-05-02,241611
2015-05-03,241611
2015-05-04,241611
2015-05-05,234190
2015-05-06,234190
2015-05-07,234190
2015-05-08,234190
2015-05-09,234190
2015-05-10,223364
2015-05-11,223364
2015-05-12,223364
2015-05-13,223364
2015-05-14,223364
2015-05-15,223364
2015-05-16,213306
2015-05-17,213306
2015-05-18,213306
2015-05-19,213306
2015-05-20,213306
2015-05-21,203019
2015-05-22,203019
2015-05-23,203019
2015-05-24,203019
2015-05-25,194943
2015-05-26,194943
2015-05-27,194943
2015-05-28,198099
2015-05-29,198099
2015-05-30,204720
2015-05-31,204720
2015-06-01,204720
2015-06-02,211171
2015-06-03,211171
2015-06-04,211171
2015-06-05,216581
2015-06-06,216581
2015-06-07,216581
2015-06-08,222150
2015-06-09,222150
2015-06-10,222150
2015-06-11,219829
2015-06-12,219829
2015-06-13,219829
2015-06-14,222543
2015-06-15,222543
2015-06-16,222543
2015-06-17,228177
2015-06-18,228177
2015-06-19,228177
2015-06-20,237630
2015-06-21,237630
2015-06-22,237630
2015-06-23,248472
2015-06-24,248472
2015-06-25,248472
2015-06-26,258493
2015-06-27,258493
2015-06-28,258493
2015-06-29,270140
2015-06-30,270140
2015-07-01,270140
2015-07-02,281579
2015-07-03,281579
2015-07-04,294275
2015-07-05,294275
2015-07-06,294275
2015-07-07,306294
2015-07-08,306294
2015-07-09,306294
2015-07-10,306294
2015-07-11,312334
2015-07-12,312334
2015-07-13,312334
2015-07-14,311276
2015-07-15,311276
2015-07-16,311276
2015-07-17,307901
2015-07-18,307901
2015-07-19,307901
2015-07-20,303022
2015-07-21,303022
2015-07-22,303022
2015-07-23,303022
2015-07-24,290348
2015-07-25,290348
2015-07-26,290348
2015-07-27,290348
2015-07-28,276820
2015-07-29,276820
2015-07-30,276820
2015-07-31,274603
2015-08-01,274603
2015-08-02,274603
2015-08-03,286895
2015-08-04,286895
2015-08-05,286895
2015-08-06,299638
2015-08-07,299638
2015-08-08,299638
2015-08-09,292962
2015-08-10,292962
2015-08-11,292962
2015-08-12,292962
2015-08-13,280891
2015-08-14,280891
2015-08-15,280891
2015-08-16,273919
2015-08-17,273919
2015-08-18,273919
2015-08-19,266148
2015-08-20,266148
2015-08-21,266148
2015-08-22,260633
2015-08-23,260633
2015-08-24,260633
2015-08-25,260633
2015-08-26,266156
2015-08-27,266156
2015-08-28,266156
2015-08-29,261305
2015-08-30,261305
2015-08-31,261305
2015-09-01,261305
2015-09-02,256467
2015-09-03,256467
2015-09-04,256467
2015-09-05,256467
2015-09-06,253202
2015-09-07,253202
2015-09-08,253202
2015-09-09,253202
2015-09-10,250730
2015-09-11,250730
2015-09-12,250730
2015-09-13,247414
2015-09-14,247414
2015-09-15,247414
2015-09-16,247414
2015-09-17,241082
2015-09-18,241082
2015-09-19,241082
2015-09-20,236971
2015-09-21,236971
2015-09-22,236971
2015-09-23,230341
2015-09-24,230341
2015-09-25,230341
2015-09-27,222797
2015-09-28,222797
2015-09-29,222797
2015-09-30,212661
2015-10-05,212728
2015-10-06,212728
2015-10-07,222543
2015-10-08,222543
2015-10-09,222543
2015-10-10,232604
2015-10-11,232604
2015-10-12,232604
2015-10-13,241400
2015-10-14,241400
2015-10-15,241400
2015-10-16,250630
2015-10-17,250630
2015-10-18,250630
2015-10-19,250630
2015-10-20,246825
2015-10-22,246825
2015-10-23,246825
2015-10-24,246687
2015-10-25,246687
2015-10-26,246687
2015-10-27,247379
2015-10-29,247379
2015-10-30,247379
2015-10-31,247747
2015-11-01,247747
2015-11-02,247747
2015-11-03,247747
2015-11-04,246295
2015-11-05,246295
2015-11-06,246295
2015-11-07,246295
2015-11-08,246243
2015-11-09,246243
2015-11-10,246243
2015-11-11,246243
2015-11-12,246465
2015-11-13,246465
2015-11-14,246465
2015-11-15,246465
2015-11-16,246465
2015-11-17,240740
