date_obj,Rune%20platebody%20(t) price
2016-02-14,41846
2016-02-15,41846
2016-02-16,42053
2016-02-17,42053
2016-02-18,42375
2016-02-19,42375
2016-02-20,42536
2016-02-21,42676
2016-02-22,42676
2016-02-23,42814
2016-02-24,42814
2016-02-25,43225
2016-02-26,43225
2016-02-27,42800
2016-02-28,42800
2016-02-29,43312
2016-03-01,43312
2016-03-02,43172
2016-03-03,43172
2016-03-04,43627
2016-03-05,43627
2016-03-06,43619
2016-03-07,43619
2016-03-08,43619
2016-03-09,43521
2016-03-10,43521
2016-03-11,44100
2016-03-12,44100
2016-03-13,44406
2016-03-14,44406
2016-03-15,43578
2016-03-16,43578
2016-03-17,43752
2016-03-18,43752
2016-03-19,43937
2016-03-20,44323
2016-03-21,44323
2016-03-22,44496
2016-03-23,44496
2016-03-24,43865
2016-03-25,43865
2016-03-26,43847
2016-03-27,43847
2016-03-28,44434
2016-03-29,44434
2016-03-30,43744
2016-03-31,43744
2016-04-01,43816
2016-04-02,43816
2016-04-03,43821
2016-04-04,43821
2016-04-05,44251
2016-04-06,44251
2016-04-07,44133
2016-04-08,44133
2016-04-09,43778
2016-04-10,43778
2016-04-11,43778
2016-04-12,43925
2016-04-13,43925
2016-04-14,44176
2016-04-15,44176
2016-04-16,44400
2016-04-17,44400
2016-04-18,44558
2016-04-19,44558
2016-04-20,44120
2016-04-21,44120
2016-04-22,44120
2016-04-23,43085
2016-04-24,43085
2016-04-25,42133
2016-04-26,42133
2016-04-27,41730
2016-04-28,41730
2016-04-29,42180
2016-04-30,42180
2016-05-01,41980
2016-05-02,41980
2016-05-03,41907
2016-05-04,41907
2016-05-05,41417
2016-05-06,41417
2016-05-07,40829
2016-05-08,40829
2016-05-09,40578
2016-05-10,40578
2016-05-11,40895
2016-05-12,40895
2016-05-13,40511
2016-05-14,40511
2016-05-15,40680
2016-05-16,40680
2016-05-17,40886
2016-05-18,40886
2016-05-19,41111
2016-05-22,40787
2016-05-23,40913
2016-05-24,40913
2016-05-25,41247
2016-05-26,41247
2016-05-27,40942
2016-05-28,40942
2016-05-29,41353
2016-05-30,41353
2016-05-31,41353
2016-06-01,41918
2016-06-02,41918
2016-06-03,41836
2016-06-04,41836
2016-06-05,41889
2016-06-06,41892
2016-06-07,41892
2016-06-08,41951
2016-06-09,41951
2016-06-10,42362
2016-06-11,42362
2016-06-12,41903
2016-06-13,41903
2016-06-14,42750
2016-06-15,42750
2016-06-16,42400
2016-06-17,42236
2016-06-18,42236
2016-06-19,41911
2016-06-20,41911
2016-06-21,41717
2016-06-22,41717
2016-06-23,41488
2016-06-24,41488
2016-06-25,41259
2016-06-26,41259
2016-06-27,40921
2016-06-28,40921
2016-06-29,41128
2016-06-30,41128
2016-07-01,41168
2016-07-02,41168
2016-07-03,41635
2016-07-04,41465
2016-07-05,41465
2016-07-06,41312
2016-07-07,41312
2016-07-08,41307
2016-07-09,41307
2016-07-10,41651
2016-07-11,41651
2016-07-12,41400
2016-07-13,41400
2016-07-14,41743
2016-07-15,41743
2016-07-16,41278
2016-07-17,41278
2016-07-18,40257
2016-07-23,39409
2016-07-24,39409
2016-07-25,39191
2016-07-26,39191
2016-07-27,39569
2016-07-28,39569
2016-07-29,40057
2016-07-30,40057
2016-07-31,40275
2016-08-01,40275
2016-08-02,40742
2016-08-03,40742
2016-08-04,41411
2016-08-05,41411
2016-08-06,40824
2016-08-07,40824
2016-08-08,40824
2016-08-09,40346
2016-08-10,40346
2016-08-11,40722
2016-08-12,40722
2016-08-13,40941
2016-08-14,40941
2016-08-15,40874
2016-08-16,40874
2016-08-17,41276
2016-08-18,41276
2016-08-19,40977
2016-08-20,40977
2016-08-21,41252
2016-08-22,41252
2016-08-23,40756
2016-08-24,40756
2016-08-25,40222
2016-08-26,40222
2016-08-28,40292
2016-08-31,40467
2016-09-01,41278
2016-09-02,41278
2016-09-03,41278
2016-09-04,42194
2016-09-05,42194
2016-09-06,43120
2016-09-07,43120
2016-09-08,43120
2016-09-09,43632
2016-09-10,43632
2016-09-11,43632
2016-09-12,43816
2016-09-13,43816
2016-09-14,43816
2016-09-15,44321
2016-09-16,44321
2016-09-17,44321
2016-09-18,44401
2016-09-19,44401
2016-09-20,44401
2016-09-21,43985
2016-09-22,43985
2016-09-23,43295
2016-09-24,43295
2016-09-25,43295
2016-09-26,42150
2016-09-27,42150
2016-09-28,42076
2016-09-29,42076
2016-09-30,41425
2016-10-01,41425
2016-10-02,41425
2016-10-03,41377
2016-10-04,41377
2016-10-05,41377
2016-10-06,41038
2016-10-07,41038
2016-10-08,41326
2016-10-09,41326
2016-10-10,41326
2016-10-11,41456
2016-10-12,41456
2016-10-13,41313
2016-10-14,41313
2016-10-15,41543
2016-10-16,41543
2016-10-17,41420
2016-10-18,41420
2016-10-19,40981
2016-10-20,40981
2016-10-21,40804
2016-10-22,40804
2016-10-23,40804
2016-10-24,40653
2016-10-25,40653
2016-10-26,40470
2016-10-27,40470
2016-10-28,40470
2016-10-29,40593
2016-10-30,40593
2016-10-31,40777
2016-11-01,40777
2016-11-02,40777
2016-11-03,41158
2016-11-04,41158
2016-11-05,41154
2016-11-06,41154
2016-11-07,40431
2016-11-08,40431
2016-11-09,41004
2016-11-10,41004
2016-11-11,40639
2016-11-12,40639
2016-11-13,40655
2016-11-14,40655
2016-12-08,40523
2016-12-09,40523
2016-12-10,40523
2016-12-11,40473
2016-12-12,40473
2016-12-13,40815
2016-12-14,40815
2016-12-15,40815
2016-12-16,40666
2016-12-17,40666
2016-12-18,40981
2016-12-19,40981
2016-12-20,40704
2016-12-21,40704
2016-12-22,40771
2016-12-23,40771
2016-12-24,41121
2016-12-25,41121
2016-12-26,41983
2016-12-27,41983
2016-12-28,42300
2016-12-29,42300
2016-12-30,42397
2016-12-31,42397
2017-01-01,43017
2017-01-02,43017
2017-01-03,42383
2017-01-04,42383
2017-01-05,42438
2017-01-06,42438
2017-01-07,42292
2017-01-08,42292
2017-01-09,41881
2017-01-10,41881
2017-01-11,41708
2017-01-12,41708
2017-01-13,41127
2017-01-14,41127
2017-01-15,40353
2017-01-16,40353
2017-01-17,40420
2017-01-18,40420
2017-01-19,40275
2017-01-20,40275
2017-01-21,40696
2017-01-22,40696
2017-01-27,42121
2017-01-28,42121
2017-01-29,42336
