date_obj,Elemental%20shield price
2015-03-26,26963
2015-03-27,26963
2015-03-28,26963
2015-03-29,25614
2015-03-30,25614
2015-03-31,24351
2015-04-01,24351
2015-04-02,23168
2015-04-03,23168
2015-04-04,22009
2015-04-05,22009
2015-04-06,20922
2015-04-07,20922
2015-04-08,19910
2015-04-09,19910
2015-04-10,18940
2015-04-11,18940
2015-04-12,18015
2015-04-13,18015
2015-04-14,17137
2015-04-15,17137
2015-04-16,16309
2015-04-17,16309
2015-04-18,15507
2015-04-19,15507
2015-04-20,14761
2015-04-21,14761
2015-04-22,14049
2015-04-23,14049
2015-04-24,13380
2015-04-25,13380
2015-04-26,12754
2015-04-27,12754
2015-04-28,12127
2015-04-29,12127
2015-04-30,12127
2015-05-01,11520
2015-05-02,11520
2015-05-03,10961
2015-05-04,10961
2015-05-05,10438
2015-05-06,10438
2015-05-07,9933
2015-05-08,9933
2015-05-09,9468
2015-05-10,9468
2015-05-11,9468
2015-05-12,8994
2015-05-13,8994
2015-05-14,8559
2015-05-15,8559
2015-05-16,8559
2015-05-17,8131
2015-05-18,8131
2015-05-19,7736
2015-05-20,7736
2015-05-21,7736
2015-05-22,7349
2015-05-23,7349
2015-05-24,6992
2015-05-25,6992
2015-05-26,6653
2015-05-27,6653
2015-05-28,6329
2015-05-29,6329
2015-05-30,6012
2015-05-31,6012
2015-06-01,5745
2015-06-02,5745
2015-06-03,5745
2015-06-04,5457
2015-06-05,5457
2015-06-06,5314
2015-06-07,5314
2015-06-08,5120
2015-06-09,5120
2015-06-10,4887
2015-06-11,4887
2015-06-12,4887
2015-06-13,4678
2015-06-14,4678
2015-06-15,4537
2015-06-16,4537
2015-06-17,4400
2015-06-18,4400
2015-06-19,4183
2015-06-20,4183
2015-06-21,4011
2015-06-22,4011
2015-06-23,4054
2015-06-24,4054
2015-06-25,3971
2015-06-26,3971
2015-06-27,3981
2015-06-28,3981
2015-06-29,3945
2015-06-30,3945
2015-07-01,3805
2015-07-02,3805
2015-07-03,3635
2015-07-04,3635
2015-07-05,3498
2015-07-06,3498
2015-07-07,3472
2015-07-08,3472
2015-07-09,3472
2015-07-10,3474
2015-07-11,3474
2015-07-12,3474
2015-07-13,3569
2015-07-14,3569
2015-07-15,3641
2015-07-16,3641
2015-07-17,3515
2015-07-18,3515
2015-07-19,3515
2015-07-20,3487
2015-07-21,3487
2015-07-22,3475
2015-07-23,3475
2015-07-24,3557
2015-07-25,3557
2015-07-26,3557
2015-07-27,3735
2015-07-28,3735
2015-07-29,3773
2015-07-30,3773
2015-07-31,3773
2015-08-01,3805
2015-08-02,3805
2015-08-03,3766
2015-08-04,3766
2015-08-05,3605
2015-08-06,3605
2015-08-07,3605
2015-08-08,3429
2015-08-09,3429
2015-08-10,3257
2015-08-11,3257
2015-08-12,3257
2015-08-13,3095
2015-08-14,3095
2015-08-15,2964
2015-08-16,2964
2015-08-17,2840
2015-08-18,2840
2015-08-19,2763
2015-08-20,2763
2015-08-21,2744
2015-08-22,2744
2015-08-23,2744
2015-08-24,2738
2015-08-25,2738
2015-08-26,2738
2015-08-27,2707
2015-08-28,2707
2015-08-29,2635
2015-08-30,2635
2015-08-31,2583
2015-09-01,2583
2015-09-02,2583
2015-09-03,2546
2015-09-04,2546
2015-09-05,2546
2015-09-06,2513
2015-09-07,2513
2015-09-08,2432
2015-09-09,2432
2015-09-10,2392
2015-09-11,2392
2015-09-12,2393
2015-09-13,2393
2015-09-14,2380
2015-09-15,2380
2015-09-16,2265
2015-09-17,2265
2015-09-18,2164
2015-09-19,2164
2015-09-20,2080
2015-09-21,2080
2015-09-22,1978
2015-09-23,1978
2015-09-24,1893
2015-09-25,1893
2015-09-27,1896
2015-09-28,1927
2015-09-29,1927
2015-09-30,1830
2015-10-05,1787
2015-10-06,1731
2015-10-07,1731
2015-10-08,1741
2015-10-09,1741
