date_obj,Black%20dragon%20mask price
2015-03-26,32311
2015-03-27,32311
2015-03-28,32145
2015-03-29,32009
2015-03-30,31383
2015-03-31,31058
2015-04-01,30269
2015-04-02,29299
2015-04-03,28775
2015-04-04,28250
2015-04-05,27854
2015-04-06,27608
2015-04-07,27202
2015-04-08,27016
2015-04-09,26742
2015-04-10,27061
2015-04-11,26783
2015-04-12,26057
2015-04-13,25733
2015-04-14,25752
2015-04-15,25710
2015-04-16,25927
2015-04-17,25417
2015-04-18,24255
2015-04-19,23758
2015-04-20,23105
2015-04-21,22567
2015-04-22,22519
2015-04-23,22246
2015-04-24,21918
2015-04-25,21905
2015-04-26,21228
2015-04-27,21134
2015-04-28,21272
2015-04-29,21272
2015-04-30,21477
2015-05-01,21205
2015-05-02,21125
2015-05-03,20644
2015-05-04,19670
2015-05-05,19426
2015-05-06,19356
2015-05-07,18889
2015-05-08,18646
2015-05-09,18593
2015-05-10,18729
2015-05-11,18729
2015-05-12,18939
2015-05-13,18442
2015-05-14,18106
2015-05-15,18012
2015-05-16,17738
2015-05-17,17409
2015-05-18,16906
2015-05-19,16596
2015-05-20,16084
2015-05-21,15793
2015-05-22,15877
2015-05-23,15903
2015-05-24,16047
2015-05-25,15888
2015-05-26,15684
2015-05-27,15841
2015-05-28,15632
2015-05-29,15837
2015-05-30,15702
2015-05-31,15784
2015-06-01,15777
2015-06-02,15777
2015-06-03,15828
2015-06-04,15887
2015-06-05,15805
2015-06-06,15741
2015-06-07,15908
2015-06-08,16386
2015-06-09,16975
2015-06-10,17214
2015-06-11,17695
2015-06-12,18170
2015-06-13,18357
2015-06-14,18132
2015-06-15,17716
2015-06-16,17593
2015-06-17,17113
2015-06-18,17251
2015-06-19,17483
2015-06-20,17358
2015-06-21,17303
2015-06-22,17063
2015-06-23,16667
2015-06-24,16623
2015-06-25,16623
2015-06-26,16483
2015-06-27,16231
2015-06-28,15661
2015-06-29,14971
2015-06-30,14861
2015-07-01,14615
2015-07-02,14615
2015-07-03,14722
2015-07-04,14887
2015-07-05,14909
2015-07-06,15254
2015-07-07,15196
2015-07-08,15424
2015-07-09,15424
2015-07-10,15874
2015-07-11,16145
2015-07-12,16392
2015-07-13,16537
2015-07-14,16838
2015-07-15,17139
2015-07-16,16834
2015-07-17,17043
2015-07-18,16945
2015-07-19,17208
2015-07-20,17599
2015-07-21,18130
2015-07-22,18039
2015-07-23,18039
2015-07-24,18113
2015-07-25,18472
2015-07-26,18776
2015-07-27,19342
2015-07-28,20200
2015-07-29,21008
2015-07-30,21687
2015-07-31,21767
2015-08-01,22170
2015-08-02,22644
2015-08-03,22727
2015-08-04,22502
2015-08-05,22727
2015-08-06,23004
2015-08-07,23153
2015-08-08,23720
2015-08-09,24184
2015-08-10,24463
2015-08-11,24279
2015-08-12,24279
2015-08-13,24064
2015-08-14,24618
2015-08-15,25120
2015-08-16,24634
2015-08-17,24031
2015-08-18,23566
2015-08-19,23095
2015-08-20,22676
2015-08-21,22289
2015-08-22,22108
2015-08-23,21844
2015-08-24,22248
2015-08-25,22248
2015-08-26,22237
2015-08-27,22454
2015-08-28,22803
2015-08-29,22462
2015-08-30,22441
2015-08-31,22197
2015-09-01,21889
2015-09-02,21889
2015-09-03,21995
2015-09-04,22347
2015-09-05,22347
2015-09-06,22923
2015-09-07,22841
2015-09-08,22892
2015-09-09,23943
2015-09-10,24975
2015-09-11,25261
2015-09-12,25340
2015-09-13,25434
2015-09-14,25433
2015-09-15,25297
2015-09-16,25297
2015-09-17,25475
2015-09-18,25526
2015-09-19,25110
2015-09-20,24957
2015-09-21,25369
2015-09-22,25757
2015-09-23,25804
2015-09-24,25804
2015-09-25,26255
2015-09-27,24788
2015-09-28,24399
2015-09-29,24399
2015-09-30,23395
2015-10-05,21957
2015-10-06,21737
2015-10-07,22028
2015-10-08,22760
2015-10-09,23211
2015-10-10,23211
2015-10-11,23422
2015-10-12,23745
2015-10-13,23745
2015-10-14,23518
2015-10-15,23318
2015-10-16,23835
2015-10-17,23835
2015-10-18,23664
2015-10-19,23838
2015-10-20,23842
2015-10-22,23972
2015-10-23,24127
2015-10-24,24071
2015-10-25,24119
2015-10-26,24169
2015-10-27,24169
2015-10-29,23597
2015-10-30,23597
2015-10-31,23640
2015-11-01,23640
2015-11-02,23265
2015-11-03,23265
2015-11-04,23191
2015-11-05,23067
2015-11-06,23067
2015-11-07,23084
2015-11-08,23084
2015-11-09,23001
2015-11-10,23001
2015-11-11,22765
2015-11-12,22765
2015-11-13,23052
2015-11-14,22984
2015-11-15,23105
2015-11-16,22927
2015-11-17,22493
2015-11-18,22493
2015-11-19,21877
2015-11-20,21791
2015-11-21,21791
2015-11-22,21574
2015-11-23,21574
2015-11-24,20903
2015-11-25,20923
2015-11-26,20923
2015-11-27,20865
2015-11-28,20554
2015-11-29,20651
2015-11-30,20718
2015-12-01,20605
2015-12-02,20461
2015-12-03,20544
2015-12-04,20544
2015-12-05,20346
2015-12-06,20703
2015-12-07,19907
2015-12-08,19262
2015-12-09,19339
2015-12-10,19339
2015-12-11,19288
2015-12-12,19200
2015-12-13,18822
2015-12-14,18822
2015-12-15,18514
2015-12-16,18496
2015-12-17,18496
2015-12-18,18408
2015-12-19,18112
2015-12-20,17948
2015-12-21,17615
2015-12-22,17227
2015-12-23,17167
2015-12-24,17167
2015-12-25,17200
2015-12-26,17133
2015-12-27,17162
2015-12-28,17019
2015-12-29,16793
2015-12-30,16787
2015-12-31,16938
2016-01-01,16938
2016-01-02,16709
2016-01-03,16925
2016-01-04,16905
2016-01-05,16845
2016-01-06,16557
2016-01-07,16601
2016-01-08,16429
2016-01-09,16429
2016-01-10,16312
2016-01-11,16142
2016-01-12,16228
2016-01-13,16105
2016-01-14,15772
2016-01-15,15493
2016-01-16,14939
2016-01-17,14631
2016-01-18,14239
2016-01-19,14050
2016-01-20,13932
2016-01-21,14057
2016-01-22,14233
2016-01-23,13885
2016-01-24,14216
2016-01-25,14386
2016-01-26,14680
2016-01-27,14514
2016-01-28,14514
2016-01-29,14370
2016-01-30,14370
2016-01-31,14547
2016-02-01,14618
2016-02-02,14484
2016-02-03,14279
2016-02-04,14373
2016-02-05,14474
2016-02-06,14707
2016-02-07,14677
2016-02-08,14623
2016-02-09,14394
2016-02-10,14649
2016-02-11,14498
2016-02-12,14433
2016-02-13,14230
2016-02-14,14230
2016-02-15,13760
2016-02-16,13502
2016-02-17,13200
2016-02-18,12794
2016-02-19,12870
2016-02-20,12774
2016-02-21,12864
2016-02-22,12864
2016-02-23,12915
2016-02-24,12536
2016-02-25,12412
2016-02-26,12412
2016-02-27,12119
2016-02-28,11862
2016-02-29,11543
2016-03-01,11200
2016-03-02,11200
2016-03-03,11268
2016-03-04,11166
2016-03-05,11331
2016-03-06,11478
2016-03-07,11721
2016-03-08,11621
2016-03-09,11633
2016-03-10,12049
2016-03-11,12410
2016-03-12,12611
2016-03-13,13025
2016-03-14,13282
2016-03-15,13470
2016-03-16,13632
2016-03-17,13810
2016-03-18,13907
2016-03-19,14059
2016-03-20,13818
2016-03-21,13665
2016-03-22,13003
2016-03-23,13008
2016-03-24,13197
2016-03-25,13329
2016-03-26,12961
2016-03-27,12772
2016-03-28,12419
2016-03-29,12396
2016-03-30,12396
2016-03-31,12011
2016-04-01,11984
2016-04-02,11852
2016-04-03,11670
2016-04-04,11872
2016-04-05,11756
2016-04-06,11753
2016-04-07,11342
2016-04-08,11289
2016-04-09,11093
2016-04-10,10894
2016-04-11,10894
2016-04-12,10717
