date_obj,Dragon%20scale%20dust price
2015-03-26,386
2015-03-27,386
2015-03-28,366
2015-03-29,366
2015-03-30,366
2015-03-31,366
2015-04-01,366
2015-04-02,347
2015-04-03,347
2015-04-04,347
2015-04-05,347
2015-04-06,347
2015-04-07,329
2015-04-08,329
2015-04-09,329
2015-04-10,329
2015-04-11,329
2015-04-12,329
2015-04-13,312
2015-04-14,312
2015-04-15,312
2015-04-16,312
2015-04-17,312
2015-04-18,312
2015-04-19,296
2015-04-20,296
2015-04-21,296
2015-04-22,296
2015-04-23,296
2015-04-24,296
2015-04-25,296
2015-04-26,281
2015-04-27,281
2015-04-28,281
2015-04-29,281
2015-04-30,281
2015-05-01,281
2015-05-02,266
2015-05-03,266
2015-05-04,266
2015-05-05,266
2015-05-06,266
2015-05-07,266
2015-05-08,266
2015-05-09,252
2015-05-10,252
2015-05-11,252
2015-05-12,252
2015-05-13,252
2015-05-14,252
2015-05-15,252
2015-05-16,239
2015-05-17,239
2015-05-18,239
2015-05-19,239
2015-05-20,239
2015-05-21,239
2015-05-22,239
2015-05-23,239
2015-05-24,227
2015-05-25,227
2015-05-26,227
2015-05-27,227
2015-05-28,227
2015-05-29,227
2015-05-30,215
2015-05-31,215
2015-06-01,215
2015-06-02,215
2015-06-03,215
2015-06-04,215
2015-06-05,204
2015-06-06,204
2015-06-07,204
2015-06-08,204
2015-06-09,204
2015-06-10,204
2015-06-11,204
2015-06-12,194
2015-06-13,194
2015-06-14,194
2015-06-15,194
2015-06-16,194
2015-06-17,194
2015-06-18,184
2015-06-19,184
2015-06-20,184
2015-06-21,184
2015-06-22,184
2015-06-23,184
2015-06-24,174
2015-06-25,174
2015-06-26,174
2015-06-27,174
2015-06-28,174
2015-06-29,174
2015-06-30,174
2015-07-01,174
2015-07-02,165
2015-07-03,165
2015-07-04,165
2015-07-05,165
2015-07-06,165
2015-07-07,165
2015-07-08,165
2015-07-09,165
2015-07-10,157
2015-07-11,157
2015-07-12,157
2015-07-13,157
2015-07-14,157
2015-07-15,157
2015-07-16,157
2015-07-17,157
2015-07-18,149
2015-07-19,149
2015-07-20,149
2015-07-21,149
2015-07-22,149
2015-07-23,149
2015-07-24,149
2015-07-25,149
2015-07-26,141
2015-07-27,141
2015-07-28,141
2015-07-29,141
2015-07-30,141
2015-07-31,141
2015-08-01,141
2015-08-02,141
2015-08-03,135
2015-08-04,135
2015-08-05,135
2015-08-06,135
2015-08-07,135
2015-08-08,135
2015-08-09,135
2015-08-10,135
2015-08-11,130
2015-08-12,130
2015-08-13,130
2015-08-14,130
2015-08-15,130
2015-08-16,130
2015-08-17,130
2015-08-18,130
2015-08-19,130
2015-08-20,130
2015-08-21,130
2015-08-22,130
2015-08-23,130
2015-08-24,123
2015-08-25,123
2015-08-26,123
2015-08-27,123
2015-08-28,123
2015-08-29,123
2015-08-30,123
2015-08-31,123
2015-09-01,123
2015-09-02,123
2015-09-03,123
2015-09-04,123
2015-09-05,123
2015-09-06,123
2015-09-07,123
2015-09-08,116
2015-09-09,116
2015-09-10,116
2015-09-11,116
2015-09-12,116
2015-09-13,116
2015-09-14,116
2015-09-15,116
2015-09-16,116
2015-09-17,116
2015-09-18,116
2015-09-19,116
2015-09-20,116
2015-09-21,121
2015-09-22,121
2015-09-23,121
2015-09-24,121
2015-09-25,121
2015-09-27,121
2015-09-28,121
2015-09-29,121
2015-09-30,121
2015-10-05,121
2015-10-06,128
2015-10-07,128
2015-10-08,128
2015-10-09,128
2015-10-10,128
2015-10-11,128
2015-10-12,128
2015-10-13,128
