date_obj,Robin%20hood%20hat price
2015-03-26,1962435
2015-03-27,1962435
2015-03-28,1956327
2015-03-29,1923610
2015-03-30,1909178
2015-03-31,1899052
2015-04-01,1918076
2015-04-02,1919446
2015-04-03,1942886
2015-04-04,1969749
2015-04-05,1955770
2015-04-06,1961983
2015-04-07,1960716
2015-04-08,1968820
2015-04-09,1984054
2015-04-10,1991600
2015-04-11,1975767
2015-04-12,1969307
2015-04-13,1960736
2015-04-14,1968119
2015-04-15,1976410
2015-04-16,1963921
2015-04-17,1937212
2015-04-18,1921307
2015-04-19,1907939
2015-04-20,1890393
2015-04-21,1873611
2015-04-22,1889401
2015-04-23,1923280
2015-04-24,1938696
2015-04-25,1946810
2015-04-26,1938841
2015-04-27,1926860
2015-04-28,1916395
2015-04-29,1897642
2015-04-30,1883003
2015-05-01,1873208
2015-05-02,1866594
2015-05-03,1862772
2015-05-04,1860581
2015-05-05,1898037
2015-05-06,1930047
2015-05-07,1971492
2015-05-08,1992008
2015-05-09,1990786
2015-05-10,1990727
2015-05-11,1986889
2015-05-12,1976161
2015-05-13,1970868
2015-05-14,1951543
2015-05-15,1940453
2015-05-16,1929933
2015-05-17,1903449
2015-05-18,1884929
2015-05-19,1859969
2015-05-20,1851554
2015-05-21,1844361
2015-05-22,1824605
2015-05-23,1817130
2015-05-24,1816534
2015-05-25,1834132
2015-05-26,1856030
2015-05-27,1881087
2015-05-28,1928983
2015-05-29,1978525
2015-05-30,1988077
2015-05-31,2005963
2015-06-01,1997918
2015-06-02,1986831
2015-06-03,1964359
2015-06-04,1939513
2015-06-05,1938138
2015-06-06,1927265
2015-06-07,1930424
2015-06-08,1939111
2015-06-09,1956520
2015-06-10,1952221
2015-06-11,1940910
2015-06-12,1928733
2015-06-13,1918403
2015-06-14,1922863
2015-06-15,1900150
2015-06-16,1884451
2015-06-17,1888336
2015-06-18,1880309
2015-06-19,1909780
2015-06-20,1930713
2015-06-21,1962446
2015-06-22,1951817
2015-06-23,1951600
2015-06-24,1966829
2015-06-25,2003595
2015-06-26,2052315
2015-06-27,2053612
2015-06-28,2063449
2015-06-29,2104494
2015-06-30,2128041
2015-07-01,2127639
2015-07-02,2176755
2015-07-03,2220600
2015-07-04,2238764
2015-07-05,2247221
2015-07-06,2274908
2015-07-07,2273205
2015-07-08,2265949
2015-07-09,2250155
2015-07-10,2237270
2015-07-11,2215013
2015-07-12,2198588
2015-07-13,2181820
2015-07-14,2164883
2015-07-15,2155355
2015-07-16,2168633
2015-07-17,2169542
2015-07-18,2214287
2015-07-19,2265783
2015-07-20,2254434
2015-07-21,2258115
2015-07-22,2309798
2015-07-23,2366371
2015-07-24,2464844
2015-07-25,2536812
2015-07-26,2529537
2015-07-27,2522892
2015-07-28,2541733
2015-07-29,2553056
2015-07-30,2631370
2015-07-31,2742158
2015-08-01,2783425
2015-08-02,2879446
2015-08-03,2857798
2015-08-04,2853608
2015-08-05,2863284
2015-08-06,2908468
2015-08-07,2893169
2015-08-08,2849952
2015-08-09,2786051
2015-08-10,2747971
2015-08-11,2719322
2015-08-12,2675979
2015-08-13,2582163
2015-08-14,2532019
2015-08-15,2481067
2015-08-16,2467190
2015-08-17,2507808
2015-08-18,2491041
2015-08-19,2499304
2015-08-20,2530515
2015-08-21,2554386
2015-08-22,2553654
2015-08-23,2553117
2015-08-24,2606693
2015-08-25,2633891
2015-08-26,2648235
2015-08-27,2605965
2015-08-28,2600709
2015-08-29,2591007
2015-08-30,2485293
2015-08-31,2461455
2015-09-01,2443861
2015-09-02,2398612
2015-09-03,2357933
2015-09-04,2331859
2015-09-05,2335630
2015-09-06,2324574
2015-09-07,2331714
2015-09-08,2322911
2015-09-09,2384234
2015-09-10,2453188
2015-09-11,2469560
2015-09-12,2425922
2015-09-13,2364459
2015-09-14,2347007
2015-09-15,2320119
2015-09-16,2322302
2015-09-17,2320625
2015-09-18,2322290
2015-09-19,2404795
2015-09-20,2431550
2015-09-21,2445017
2015-09-22,2445731
2015-09-23,2473393
2015-09-24,2473354
2015-09-25,2453442
2015-09-27,2404922
2015-09-28,2388754
2015-09-29,2369381
2015-09-30,2361984
2015-10-05,2348882
2015-10-06,2333296
2015-10-07,2326964
2015-10-08,2324689
2015-10-09,2307872
2015-10-10,2307134
2015-10-11,2256774
2015-10-12,2217568
2015-10-13,2200844
2015-10-14,2190439
2015-10-15,2195528
2015-10-16,2243362
2015-10-17,2276848
2015-10-18,2262691
2015-10-19,2243174
2015-10-20,2218925
2015-10-22,2191965
2015-10-23,2182410
2015-10-24,2208018
2015-10-25,2199121
2015-10-26,2257802
2015-10-27,2256020
2015-10-29,2339397
2015-10-30,2358306
2015-10-31,2403172
2015-11-01,2400993
2015-11-02,2469828
2015-11-03,2472095
2015-11-04,2468476
2015-11-05,2480858
2015-11-06,2532506
2015-11-07,2569650
2015-11-08,2569905
2015-11-09,2625213
2015-11-10,2669741
2015-11-11,2740919
2015-11-12,2835987
2015-11-13,2716865
2015-11-14,2700844
2015-11-15,2664180
2015-11-16,2646916
2015-11-17,2624102
2015-11-18,2648426
2015-11-19,2664023
2015-11-20,2695863
2015-11-21,2694672
2015-11-22,2710172
2015-11-23,2720234
2015-11-24,2701588
2015-11-25,2715584
2015-11-26,2738469
2015-11-27,2751215
2015-11-28,2741413
2015-11-29,2746432
2015-11-30,2744979
2015-12-01,2730315
2015-12-02,2715903
2015-12-03,2708803
2015-12-04,2698220
2015-12-05,2686647
2015-12-06,2668249
2015-12-07,2658898
2015-12-08,2642144
2015-12-09,2600825
2015-12-10,2592181
2015-12-11,2584899
2015-12-12,2568253
2015-12-13,2566034
2015-12-14,2554364
2015-12-15,2541730
2015-12-16,2532385
2015-12-17,2533494
2015-12-18,2530648
2015-12-19,2527931
2015-12-20,2525761
2015-12-21,2534538
2015-12-22,2523158
2015-12-23,2521501
2015-12-24,2564216
2015-12-25,2652684
2015-12-26,2758370
2015-12-27,2817283
2015-12-28,2831581
2015-12-29,2822142
2015-12-30,2866171
2015-12-31,2941319
2016-01-01,2951622
2016-01-02,2945935
2016-01-03,2927699
2016-01-04,2908155
2016-01-05,2873335
2016-01-06,2851873
2016-01-07,2824568
2016-01-08,2801235
2016-01-09,2785498
2016-01-10,2742170
2016-01-11,2671959
2016-01-12,2647497
2016-01-13,2636474
2016-01-14,2602515
2016-01-15,2599801
2016-01-16,2616081
2016-01-17,2620175
2016-01-18,2620683
2016-01-19,2617309
2016-01-20,2611419
2016-01-21,2596593
2016-01-22,2593005
2016-01-23,2570187
2016-01-24,2550456
2016-01-25,2524010
2016-01-26,2511314
2016-01-27,2498585
2016-01-28,2485990
2016-01-29,2463055
2016-01-30,2457018
2016-01-31,2450159
2016-02-01,2442527
2016-02-02,2434816
2016-02-03,2423852
2016-02-04,2414570
2016-02-05,2415586
2016-02-06,2415381
2016-02-07,2406619
2016-02-08,2389643
2016-02-09,2375918
2016-02-10,2365406
2016-02-11,2373170
2016-02-12,2370990
2016-02-13,2374420
2016-02-14,2387185
2016-02-15,2391463
2016-02-16,2390379
2016-02-17,2388439
2016-02-18,2382366
2016-02-19,2411894
2016-02-20,2443514
2016-02-21,2480487
2016-02-22,2462399
2016-02-23,2445173
2016-02-24,2436715
2016-02-25,2431961
2016-02-26,2422323
2016-02-27,2414767
2016-02-28,2411115
2016-02-29,2398673
2016-03-01,2390040
2016-03-02,2385799
2016-03-03,2395769
2016-03-04,2455021
2016-03-05,2523571
2016-03-06,2522578
2016-03-07,2512447
2016-03-08,2506820
2016-03-09,2498978
2016-03-10,2487285
2016-03-11,2492463
2016-03-12,2497367
2016-03-13,2491578
2016-03-14,2488822
2016-03-15,2478234
2016-03-16,2462276
2016-03-17,2460410
2016-03-18,2453551
2016-03-19,2449588
2016-03-20,2440132
2016-03-21,2434523
2016-03-22,2426010
2016-03-23,2419308
2016-03-24,2417384
2016-03-25,2428143
2016-03-26,2421085
2016-03-27,2414963
2016-03-28,2407705
2016-03-29,2393245
2016-03-30,2398246
2016-03-31,2414071
2016-04-01,2418381
2016-04-02,2416546
2016-04-03,2411243
2016-04-04,2403340
2016-04-05,2463528
2016-04-06,2460260
2016-04-07,2457441
2016-04-08,2465203
2016-04-09,2475538
2016-04-10,2477291
2016-04-11,2486257
2016-04-12,2477702
2016-04-13,2467267
2016-04-14,2456460
2016-04-15,2438094
2016-04-16,2451493
2016-04-17,2445326
2016-04-18,2427236
2016-04-19,2418182
2016-04-20,2417914
2016-04-21,2406297
2016-04-22,2393956
2016-04-23,2376422
2016-04-24,2349712
2016-04-25,2325184
2016-04-26,2305474
2016-04-27,2284368
2016-04-28,2321423
2016-04-29,2379411
2016-04-30,2391665
2016-05-01,2416762
2016-05-02,2407337
2016-05-03,2379676
2016-05-04,2367953
2016-05-05,2316799
2016-05-06,2298595
2016-05-07,2260836
2016-05-08,2236111
2016-05-09,2217785
2016-05-10,2205619
2016-05-11,2191174
2016-05-12,2165836
2016-05-13,2149751
2016-05-14,2132150
2016-05-15,2113582
2016-05-16,2084728
2016-05-17,2065898
2016-05-18,2093653
2016-05-19,2097764
2016-05-22,2136501
2016-05-23,2161569
2016-05-24,2169256
2016-05-25,2259837
2016-05-26,2270615
2016-05-27,2318707
2016-05-28,2290539
2016-05-29,2236591
2016-05-30,2189148
2016-05-31,2155304
2016-06-01,2156403
2016-06-02,2178838
2016-06-03,2214771
2016-06-04,2191342
2016-06-05,2176441
2016-06-06,2164084
2016-06-07,2144852
2016-06-08,2157414
2016-06-09,2154387
2016-06-10,2146221
2016-06-11,2144251
2016-06-12,2129535
2016-06-13,2123645
2016-06-14,2117896
2016-06-15,2121276
2016-06-16,2132415
2016-06-17,2141873
2016-06-18,2119311
2016-06-19,2125692
2016-06-20,2149998
2016-06-21,2161952
2016-06-22,2146644
2016-06-23,2133404
2016-06-24,2137522
2016-06-25,2134850
2016-06-26,2119683
2016-06-27,2113808
2016-06-28,2112711
2016-06-29,2087450
2016-06-30,2097049
2016-07-01,2096688
2016-07-02,2100546
2016-07-03,2105417
2016-07-04,2141662
2016-07-05,2131084
2016-07-06,2094248
2016-07-07,2075981
2016-07-08,2039393
2016-07-09,2026451
2016-07-10,1999476
2016-07-11,1920184
2016-07-12,1895765
2016-07-13,1877062
2016-07-14,1855434
2016-07-15,1855017
2016-07-16,1849044
2016-07-17,1843278
2016-07-18,1837610
2016-07-23,1882832
2016-07-24,1882571
2016-07-25,1874019
2016-07-26,1921563
2016-07-27,1870283
2016-07-28,1892137
2016-07-29,1916666
2016-07-30,1926467
2016-07-31,1921152
2016-08-01,1940498
2016-08-02,1955095
2016-08-03,1995186
2016-08-04,1974463
2016-08-05,1977242
2016-08-06,1987919
2016-08-07,1975800
2016-08-08,1966160
2016-08-09,1945107
2016-08-10,1894631
2016-08-11,1830032
2016-08-12,1808898
2016-08-13,1755638
2016-08-14,1755946
2016-08-15,1808292
2016-08-16,1831052
2016-08-17,1825166
2016-08-18,1828877
2016-08-19,1828144
2016-08-20,1851198
2016-08-21,1841300
2016-08-22,1839677
2016-08-23,1806974
2016-08-24,1751431
2016-08-25,1720864
2016-08-26,1687698
2016-08-28,1661997
2016-08-31,1684068
2016-09-01,1691584
2016-09-02,1689621
2016-09-03,1705616
2016-09-04,1696288
2016-09-05,1752108
2016-09-06,1744621
2016-09-07,1742990
2016-09-08,1741779
2016-09-09,1721311
2016-09-10,1718607
2016-09-11,1714151
2016-09-12,1711173
2016-09-13,1727649
2016-09-14,1686304
2016-09-15,1689211
2016-09-16,1729959
2016-09-17,1774474
2016-09-18,1789188
2016-09-19,1792801
2016-09-20,1795035
2016-09-21,1792047
2016-09-22,1786681
2016-09-23,1817443
2016-09-24,1895186
2016-09-25,1902280
2016-09-26,1941318
2016-09-27,1973146
2016-09-28,1986541
2016-09-29,1935757
2016-09-30,1916349
2016-10-01,1927479
2016-10-02,1920992
2016-10-03,1937941
2016-10-04,1942516
2016-10-05,1956037
