date_obj,Ancient%20stole price
2015-03-26,23492
2015-03-27,23492
2015-03-28,22367
2015-03-29,21302
2015-03-30,20363
2015-03-31,19470
2015-04-01,19470
2015-04-02,18545
2015-04-03,17706
2015-04-04,16904
2015-04-05,16904
2015-04-06,16058
2015-04-07,15277
2015-04-08,15277
2015-04-09,14774
2015-04-10,14227
2015-04-11,14227
2015-04-12,13881
2015-04-13,13586
2015-04-14,13586
2015-04-15,13063
2015-04-16,13063
2015-04-17,12409
2015-04-18,11824
2015-04-19,11280
2015-04-20,11280
2015-04-21,10716
2015-04-22,10716
2015-04-23,10180
2015-04-24,10180
2015-04-25,9671
2015-04-26,9671
2015-04-27,9234
2015-04-28,9010
2015-04-29,9010
2015-04-30,8681
2015-05-01,8383
2015-05-02,8069
2015-05-03,8069
2015-05-04,7700
2015-05-05,7432
2015-05-06,7276
2015-05-07,7133
2015-05-08,7072
2015-05-09,7007
2015-05-10,6873
2015-05-11,6873
2015-05-12,6739
2015-05-13,6739
2015-05-14,6428
2015-05-15,6428
2015-05-16,6232
2015-05-17,6232
2015-05-18,6179
2015-05-19,6179
2015-05-20,6224
2015-05-21,6224
2015-05-22,5966
2015-05-23,5966
2015-05-24,5750
2015-05-25,5523
2015-05-26,5406
2015-05-27,5406
2015-05-28,5165
2015-05-29,5165
2015-05-30,4991
2015-05-31,4991
2015-06-01,4826
2015-06-02,4826
2015-06-03,4847
2015-06-04,4847
2015-06-05,4840
2015-06-06,4840
2015-06-07,4836
2015-06-08,4836
2015-06-09,4728
2015-06-10,4728
2015-06-11,4606
2015-06-12,4606
2015-06-13,4544
2015-06-14,4544
2015-06-15,4539
2015-06-16,4539
2015-06-17,4457
2015-06-18,4445
2015-06-19,4445
2015-06-20,4470
2015-06-21,4470
2015-06-22,4521
2015-06-23,4521
2015-06-24,4442
2015-06-25,4442
2015-06-26,4374
2015-06-27,4374
2015-06-28,4333
2015-06-29,4333
2015-06-30,4247
2015-07-01,4247
2015-07-02,4225
2015-07-03,4187
2015-07-04,4187
2015-07-05,4097
2015-07-06,4097
2015-07-07,4014
2015-07-08,4014
2015-07-09,4061
2015-07-10,4052
2015-07-11,4052
2015-07-12,4224
2015-07-13,4224
2015-07-14,4424
2015-07-15,4424
2015-07-16,4429
2015-07-17,4429
2015-07-18,4372
2015-07-19,4372
2015-07-20,4337
2015-07-21,4337
2015-07-22,4298
2015-07-23,4298
2015-07-24,4279
2015-07-25,4279
2015-07-26,4265
2015-07-27,4265
2015-07-28,4174
2015-07-29,4174
2015-07-30,4090
2015-07-31,4090
2015-08-01,4028
2015-08-02,3944
2015-08-03,3944
2015-08-04,3841
2015-08-05,3841
2015-08-06,3701
2015-08-07,3701
2015-08-08,3515
2015-08-09,3515
2015-08-10,3427
2015-08-11,3427
2015-08-12,3418
2015-08-13,3418
2015-08-14,3378
2015-08-15,3378
2015-08-16,3500
2015-08-17,3500
2015-08-18,3565
2015-08-19,3565
2015-08-20,3600
2015-08-21,3600
2015-08-22,3615
2015-08-23,3615
2015-08-24,3638
2015-08-25,3638
2015-08-26,3613
2015-08-27,3593
2015-08-28,3593
2015-08-29,3670
2015-08-30,3670
2015-08-31,3700
2015-09-01,3700
2015-09-02,3792
2015-09-03,3792
2015-09-04,3819
2015-09-05,3819
2015-09-06,3819
2015-09-07,3871
2015-09-08,3871
2015-09-09,3810
2015-09-10,3810
2015-09-11,3787
2015-09-12,3787
2015-09-13,3732
2015-09-14,3732
2015-09-15,3720
2015-09-16,3720
2015-09-17,3779
2015-09-18,3779
2015-09-19,3780
2015-09-20,3780
2015-09-21,3750
2015-09-22,3750
2015-09-23,3715
2015-09-24,3715
2015-09-25,3715
2015-09-27,3572
2015-09-28,3560
2015-09-29,3560
2015-09-30,3408
2015-10-05,3226
2015-10-06,3226
2015-10-07,3148
2015-10-08,3148
2015-10-09,3072
2015-10-10,3072
2015-10-11,2968
2015-10-12,2968
2015-10-13,2838
2015-10-14,2838
2015-10-15,2811
2015-10-16,2811
2015-10-17,2811
2015-10-18,2750
2015-10-19,2750
2015-10-20,2722
2015-10-22,2722
2015-10-23,2746
2015-10-24,2746
2015-10-25,2799
2015-10-26,2799
2015-10-27,2774
2015-10-28,2774
2015-10-29,2748
2015-10-30,2748
2015-10-31,2751
2015-11-01,2751
2015-11-02,2751
2015-11-03,2795
2015-11-04,2795
2015-11-05,2785
2015-11-06,2785
2015-11-07,2902
2015-11-08,2902
2015-11-09,2902
2015-11-10,2998
2015-11-11,2998
2015-11-12,2998
2015-11-13,3060
2015-11-14,3060
2015-11-15,2983
2015-11-16,2983
2015-11-17,2948
2015-11-18,2948
2015-11-19,2948
2015-11-20,2948
2015-11-21,2975
2015-11-22,2928
2015-11-23,2928
2015-11-24,2928
2015-11-25,2919
2015-11-26,2919
2015-11-27,2978
2015-11-28,2978
2015-11-29,3106
2015-11-30,3106
2015-12-01,3217
2015-12-02,3217
2015-12-03,3088
2015-12-04,3088
2015-12-05,2955
2015-12-06,2836
2015-12-07,2836
2015-12-08,2836
2015-12-09,2970
2015-12-10,2970
2015-12-11,3105
2015-12-12,3105
2015-12-13,3246
2015-12-14,3246
2015-12-15,3398
2015-12-16,3398
2015-12-17,3563
2015-12-18,3563
2015-12-19,3665
2015-12-20,3665
2015-12-21,3802
2015-12-22,3802
2015-12-23,3931
2015-12-24,3931
2015-12-25,4095
2015-12-26,4095
2015-12-27,4252
2015-12-28,4252
2015-12-29,4358
2015-12-30,4358
2015-12-31,4538
2016-01-01,4538
2016-01-02,4538
2016-01-03,4550
2016-01-04,4674
2016-01-05,4674
2016-01-06,4744
2016-01-07,4744
2016-01-08,4692
2016-01-09,4692
2016-01-10,4681
2016-01-11,4681
2016-01-12,4601
2016-01-13,4601
2016-01-14,4699
2016-01-15,4699
2016-01-16,4934
2016-01-17,4934
2016-01-18,5178
2016-01-19,5178
2016-01-20,5376
2016-01-21,5376
2016-01-22,5280
2016-01-23,5280
2016-01-24,5152
2016-01-25,5018
2016-01-26,5018
2016-01-27,4914
2016-01-28,4914
2016-01-29,4819
2016-01-30,4819
2016-01-31,4749
2016-02-01,4772
2016-02-02,4772
2016-02-03,4674
2016-02-04,4674
2016-02-05,4592
2016-02-06,4490
2016-02-07,4490
2016-02-08,4367
2016-02-09,4367
2016-02-10,4267
2016-02-11,4267
2016-02-12,4145
2016-02-13,4034
2016-02-14,4034
2016-02-15,3979
2016-02-16,3979
2016-02-17,3841
2016-02-18,3841
2016-02-19,3811
2016-02-20,3828
2016-02-21,3996
2016-02-22,3996
2016-02-23,4172
2016-02-24,4172
2016-02-25,4381
2016-02-26,4381
2016-02-27,4455
2016-02-28,4455
2016-02-29,4316
2016-03-01,4139
2016-03-02,4139
2016-03-03,4078
2016-03-04,4078
2016-03-05,4147
2016-03-06,4248
2016-03-07,4248
2016-03-08,4226
2016-03-09,4226
2016-03-10,4244
2016-03-11,4244
2016-03-12,4192
2016-03-13,4192
2016-03-14,4086
2016-03-15,4086
2016-03-16,4125
2016-03-17,4125
2016-03-18,4261
2016-03-19,4261
2016-03-20,4287
2016-03-21,4287
2016-03-22,4258
2016-03-23,4229
2016-03-24,4229
2016-03-25,4183
2016-03-26,4183
2016-03-27,4125
2016-03-28,4306
2016-03-29,4306
2016-03-30,4313
2016-03-31,4313
2016-04-01,4231
2016-04-02,4231
2016-04-03,4162
2016-04-04,4162
2016-04-05,4043
2016-04-06,4043
2016-04-07,3961
2016-04-08,3961
2016-04-09,3892
2016-04-10,3846
2016-04-11,3846
2016-04-12,3708
2016-04-13,3708
2016-04-14,3573
2016-04-15,3516
2016-04-16,3434
2016-04-17,3434
2016-04-18,3356
2016-04-19,3356
2016-04-20,3249
2016-04-21,3249
