date_obj,Babydragon%20bones price
2015-03-26,844
2015-03-27,844
2015-03-28,825
2015-03-29,825
2015-03-30,834
2015-03-31,834
2015-04-01,869
2015-04-02,869
2015-04-03,909
2015-04-04,909
2015-04-05,933
2015-04-06,933
2015-04-07,910
2015-04-08,910
2015-04-09,910
2015-04-10,918
2015-04-11,918
2015-04-12,942
2015-04-13,942
2015-04-14,977
2015-04-15,977
2015-04-16,978
2015-04-17,978
2015-04-18,978
2015-04-19,978
2015-04-20,978
2015-04-21,1004
2015-04-22,1004
2015-04-23,1026
2015-04-24,1026
2015-04-25,1041
2015-04-26,1041
2015-04-27,999
2015-04-28,999
2015-04-29,968
2015-04-30,968
2015-05-01,940
2015-05-02,940
2015-05-03,962
2015-05-04,962
2015-05-05,960
2015-05-06,960
2015-05-07,978
2015-05-08,978
2015-05-09,1004
2015-05-10,1004
2015-05-11,1004
2015-05-12,1000
2015-05-13,1000
2015-05-14,977
2015-05-15,977
2015-05-16,977
2015-05-17,991
2015-05-18,991
2015-05-19,977
2015-05-20,977
2015-05-21,977
2015-05-22,966
2015-05-23,966
2015-05-24,955
2015-05-25,955
2015-05-26,957
2015-05-27,957
2015-05-28,961
2015-05-29,961
2015-05-30,968
2015-05-31,968
2015-06-01,970
2015-06-02,970
2015-06-03,962
2015-06-04,962
2015-06-05,963
2015-06-06,994
2015-06-07,994
2015-06-08,1004
2015-06-09,1030
2015-06-10,1071
2015-06-11,1071
2015-06-12,1106
2015-06-13,1106
2015-06-14,1093
2015-06-15,1093
2015-06-16,1059
2015-06-17,1059
2015-06-18,1049
2015-06-19,1049
2015-06-20,1061
2015-06-21,1061
2015-06-22,1091
2015-06-23,1091
2015-06-24,1052
2015-06-25,1052
2015-06-26,1001
2015-06-27,1001
2015-06-28,957
2015-06-29,957
2015-06-30,957
2015-07-01,957
2015-07-02,993
2015-07-03,990
2015-07-04,990
2015-07-05,965
2015-07-06,965
2015-07-07,955
2015-07-08,955
2015-07-09,957
2015-07-10,957
2015-07-11,972
2015-07-12,972
2015-07-13,980
2015-07-14,980
2015-07-15,976
2015-07-16,976
2015-07-17,978
2015-07-18,978
2015-07-19,959
2015-07-20,959
2015-07-21,934
2015-07-22,940
2015-07-23,940
2015-07-24,941
2015-07-25,941
2015-07-26,940
2015-07-27,940
2015-07-28,944
2015-07-29,969
2015-07-30,969
2015-07-31,990
2015-08-01,990
2015-08-02,1037
2015-08-03,1037
2015-08-04,1078
2015-08-05,1105
2015-08-06,1105
2015-08-07,1116
2015-08-08,1116
2015-08-09,1131
2015-08-10,1131
2015-08-11,1142
2015-08-12,1142
2015-08-13,1159
2015-08-14,1136
2015-08-15,1136
2015-08-16,1142
2015-08-17,1142
2015-08-18,1146
2015-08-19,1146
2015-08-20,1120
2015-08-21,1112
2015-08-22,1112
2015-08-23,1105
2015-08-24,1105
2015-08-25,1092
2015-08-26,1092
2015-08-27,1079
2015-08-28,1079
2015-08-29,1107
2015-08-30,1107
2015-08-31,1103
2015-09-01,1103
2015-09-02,1093
2015-09-03,1093
2015-09-04,1115
2015-09-05,1115
2015-09-06,1156
2015-09-07,1156
2015-09-08,1169
2015-09-09,1169
2015-09-10,1160
2015-09-11,1160
2015-09-12,1193
2015-09-13,1230
2015-09-14,1230
2015-09-15,1252
2015-09-16,1252
2015-09-17,1236
2015-09-18,1236
2015-09-19,1243
2015-09-20,1243
2015-09-21,1216
2015-09-22,1216
2015-09-23,1187
2015-09-24,1187
2015-09-25,1189
2015-09-27,1168
2015-09-28,1168
2015-09-29,1148
