date_obj,Evil%20chicken%20feet price
2016-07-23,408992
2016-07-24,408992
2016-07-25,408992
2016-07-26,408992
2016-07-27,428067
2016-07-28,428067
2016-07-29,428067
2016-07-30,428067
2016-07-31,428067
2016-08-01,428067
2016-08-02,428067
2016-08-03,428067
2016-08-04,428067
2016-08-05,428067
2016-08-06,428067
2016-08-07,447086
2016-08-08,447086
2016-08-09,447086
2016-08-10,447086
2016-08-11,447086
2016-08-12,447086
2016-08-13,447086
2016-08-14,447086
2016-08-15,447086
2016-08-16,447086
2016-08-17,447086
2016-08-18,447086
2016-08-19,447086
2016-08-20,447086
2016-08-21,447086
2016-08-22,447086
2016-08-23,447086
2016-08-24,447086
2016-08-25,467030
2016-08-26,467030
2016-08-28,467030
2016-08-31,467030
2016-09-01,467030
2016-09-02,467030
2016-09-03,467030
2016-09-04,467030
2016-09-05,467030
2016-09-06,467030
2016-09-07,467030
2016-09-08,467030
2016-09-09,467030
2016-09-10,467030
2016-09-11,467030
2016-09-12,467030
2016-09-13,467030
2016-09-14,467030
2016-09-15,467030
2016-09-16,467030
2016-09-17,487084
2016-09-18,487084
2016-09-19,487084
2016-09-20,487084
2016-09-21,487084
2016-09-22,487084
2016-09-23,487084
2016-09-24,487084
2016-09-25,487084
2016-09-26,487084
2016-09-27,487084
2016-09-28,487084
2016-09-29,487084
2016-09-30,487084
2016-10-01,487084
2016-10-02,487084
2016-10-03,487084
2016-10-04,487084
2016-10-05,487084
2016-10-06,487084
2016-10-07,487084
2016-10-08,487084
2016-10-09,487084
2016-10-10,487084
2016-10-11,487084
2016-10-12,487084
2016-10-13,487084
2016-10-14,507905
2016-10-15,507905
2016-10-16,507905
2016-10-17,507905
2016-10-18,507905
2016-10-19,507905
2016-10-20,507905
2016-10-21,507905
2016-10-22,507905
2016-10-23,507905
2016-10-24,507905
2016-10-25,507905
2016-10-26,507905
2016-10-27,507905
2016-10-28,507905
2016-10-29,507905
2016-10-30,507905
2016-10-31,507905
2016-11-01,507905
2016-11-02,507905
2016-11-03,507905
2016-11-04,507905
2016-11-05,507905
2016-11-06,507905
2016-11-07,507905
2016-11-08,507905
2016-11-09,507905
2016-11-10,530179
2016-11-11,530179
2016-11-12,530179
2016-11-13,530179
2016-11-14,530179
2016-11-15,530179
2016-12-07,530179
2016-12-08,553049
2016-12-09,553049
2016-12-10,553049
2016-12-11,553049
2016-12-12,553049
2016-12-13,553049
2016-12-14,553049
2016-12-15,553049
2016-12-16,553049
2016-12-17,553049
2016-12-18,553049
2016-12-19,553049
2016-12-20,553049
2016-12-21,553049
2016-12-22,553049
2016-12-23,553049
2016-12-24,553049
2016-12-25,553049
2016-12-26,553049
2016-12-27,553049
2016-12-28,553049
2016-12-29,553049
2016-12-30,553049
2016-12-31,553049
2017-01-01,553049
2017-01-02,553049
2017-01-03,553049
2017-01-04,553049
2017-01-05,553049
2017-01-06,553049
2017-01-07,578320
2017-01-08,578320
2017-01-09,578320
2017-01-10,578320
2017-01-11,578320
2017-01-12,578320
2017-01-13,578320
2017-01-14,578320
2017-01-15,578320
2017-01-16,578320
2017-01-17,578320
2017-01-18,578320
2017-01-19,578320
2017-01-20,578320
2017-01-21,578320
2017-01-22,578320
2017-01-23,578320
2017-01-27,578320
2017-01-28,578320
2017-01-29,578320
2017-01-30,578320
2017-01-31,603567
2017-02-01,603567
2017-02-02,603567
2017-02-03,603567
2017-02-04,603567
2017-02-05,603567
2017-02-06,603567
2017-02-07,603567
2017-02-08,603567
2017-02-09,603567
2017-02-10,603567
2017-02-11,603567
2017-02-12,603567
2017-02-13,603567
2017-02-14,603567
2017-02-15,603567
2017-02-16,603567
2017-02-18,603567
2017-02-19,603567
2017-02-20,603567
2017-02-21,603567
2017-02-22,603567
2017-02-23,631285
2017-02-24,631285
2017-02-25,631285
2017-02-26,631285
2017-02-27,631285
2017-02-28,631285
2017-03-01,631285
2017-03-02,631285
2017-03-03,631285
2017-03-04,631285
2017-03-05,631285
2017-03-06,631285
2017-03-07,631285
2017-03-08,631285
2017-03-09,631285
2017-03-10,631285
2017-03-11,631285
2017-03-12,631285
2017-03-13,631285
2017-03-14,631285
2017-03-15,631285
2017-03-16,631285
2017-03-17,631285
2017-03-18,631285
2017-03-19,660359
2017-03-20,660359
2017-03-21,660359
2017-03-22,660359
2017-03-23,660359
2017-03-24,660359
2017-03-25,660359
2017-03-26,660359
2017-03-27,660359
2017-03-28,660359
2017-03-29,660359
2017-03-30,660359
2017-03-31,660359
2017-04-01,660359
2017-04-02,660359
2017-04-03,660359
2017-04-04,660359
2017-04-12,660359
2017-04-13,689763
2017-04-14,689763
2017-04-15,689763
2017-04-16,689763
2017-04-17,689763
2017-04-18,689763
2017-04-19,689763
2017-04-20,689763
2017-04-21,689763
2017-04-22,689763
2017-04-23,689763
2017-04-24,689763
2017-04-25,689763
2017-04-26,689763
2017-04-27,689763
2017-04-28,689763
2017-04-29,689763
2017-04-30,689763
2017-05-01,689763
2017-05-02,689763
2017-05-03,689763
2017-05-04,689763
2017-05-05,689763
2017-05-06,689763
2017-05-07,721182
2017-05-08,721182
2017-05-09,721182
2017-05-10,721182
2017-05-11,721182
2017-05-12,721182
2017-05-13,721182
2017-05-14,721182
2017-05-16,721182
2017-05-17,721182
2017-05-18,721182
2017-05-19,721182
2017-05-20,721182
2017-05-21,721182
2017-05-22,721182
2017-05-23,721182
2017-05-24,721182
2017-05-25,721182
2017-05-26,721182
2017-05-27,721182
2017-05-28,721182
2017-05-29,721182
2017-05-30,755341
2017-05-31,755341
2017-06-01,755341
2017-06-02,755341
2017-06-03,755341
2017-06-04,755341
2017-06-05,755341
2017-06-06,755341
2017-06-07,755341
2017-06-08,755341
2017-06-09,755341
2017-06-10,755341
2017-06-11,755341
2017-06-12,755341
2017-06-13,755341
2017-06-14,755341
2017-06-15,755341
2017-06-16,755341
2017-06-17,755341
2017-06-18,755341
2017-06-19,755341
2017-06-20,781496
2017-06-21,781496
2017-06-22,781496
2017-06-23,781496
2017-06-24,781496
2017-06-25,781496
2017-06-26,781496
2017-06-27,781496
2017-06-28,781496
2017-06-29,781496
2017-06-30,781496
2017-07-01,781496
2017-07-02,781496
2017-07-03,781496
2017-07-04,781496
2017-07-05,781496
2017-07-06,781496
2017-07-07,781496
2017-07-08,781496
2017-07-13,781496
2017-07-14,781496
2017-07-15,781496
