date_obj,Gold%20seal price
2015-03-26,766
2015-03-27,766
2015-03-28,754
2015-03-29,754
2015-03-30,754
2015-03-31,754
2015-04-01,754
2015-04-02,754
2015-04-03,754
2015-04-04,750
2015-04-05,750
2015-04-06,750
2015-04-07,750
2015-04-08,750
2015-04-09,750
2015-04-10,750
2015-04-11,755
2015-04-12,755
2015-04-13,755
2015-04-14,755
2015-04-15,755
2015-04-16,755
2015-04-17,755
2015-04-18,734
2015-04-19,734
2015-04-20,734
2015-04-21,734
2015-04-22,734
2015-04-23,734
2015-04-24,734
2015-04-25,734
2015-04-26,741
2015-04-27,741
2015-04-28,741
2015-04-29,741
2015-04-30,741
2015-05-01,741
2015-05-02,757
2015-05-03,757
2015-05-04,757
2015-05-05,757
2015-05-06,757
2015-05-07,757
2015-05-08,767
2015-05-09,767
2015-05-10,767
2015-05-11,767
2015-05-12,767
2015-05-13,767
2015-05-14,758
2015-05-15,758
2015-05-16,758
2015-05-17,758
2015-05-18,758
2015-05-19,758
2015-05-20,752
2015-05-21,752
2015-05-22,752
2015-05-23,752
2015-05-24,752
2015-05-25,752
2015-05-26,744
2015-05-27,744
2015-05-28,744
2015-05-29,744
2015-05-30,741
2015-05-31,741
2015-06-01,741
2015-06-02,741
2015-06-03,741
2015-06-04,719
2015-06-05,719
2015-06-06,719
2015-06-07,719
2015-06-08,716
2015-06-09,716
2015-06-10,716
2015-06-11,716
2015-06-12,716
2015-06-13,731
2015-06-14,731
2015-06-15,731
2015-06-16,731
2015-06-17,731
2015-06-18,746
2015-06-19,746
2015-06-20,746
2015-06-21,746
2015-06-22,746
2015-06-23,754
2015-06-24,754
2015-06-25,754
2015-06-26,754
2015-06-27,754
2015-06-28,751
2015-06-29,751
2015-06-30,751
2015-07-01,751
2015-07-02,751
2015-07-03,751
2015-07-04,742
2015-07-05,742
2015-07-06,742
2015-07-07,742
2015-07-08,742
2015-07-09,730
2015-07-10,730
2015-07-11,730
2015-07-12,730
2015-07-13,730
2015-07-14,738
2015-07-15,738
2015-07-16,738
2015-07-17,738
2015-07-18,738
2015-07-19,764
2015-07-20,764
2015-07-21,764
2015-07-22,764
2015-07-23,764
2015-07-24,769
2015-07-25,769
2015-07-26,769
2015-07-27,769
2015-07-28,769
2015-07-29,793
2015-07-30,793
2015-07-31,793
2015-08-01,793
2015-08-02,788
2015-08-03,788
2015-08-04,788
2015-08-05,788
2015-08-06,788
2015-08-07,785
2015-08-08,785
2015-08-09,785
2015-08-10,785
2015-08-11,785
2015-08-12,785
2015-08-13,785
2015-08-14,785
2015-08-15,785
2015-08-16,778
2015-08-17,778
2015-08-18,778
2015-08-19,778
2015-08-20,774
2015-08-21,774
2015-08-22,774
2015-08-23,774
2015-08-24,782
2015-08-25,782
2015-08-26,782
2015-08-27,782
2015-08-28,796
2015-08-29,796
2015-08-30,796
2015-08-31,796
2015-09-01,788
2015-09-02,788
2015-09-03,788
