date_obj,Stew price
2015-03-26,284
2015-03-27,284
2015-03-28,280
2015-03-29,277
2015-03-30,265
2015-03-31,251
2015-04-01,238
2015-04-02,226
2015-04-03,214
2015-04-04,203
2015-04-05,192
2015-04-06,182
2015-04-07,172
2015-04-08,163
2015-04-09,154
2015-04-10,146
2015-04-11,138
2015-04-12,131
2015-04-13,124
2015-04-14,117
2015-04-15,111
2015-04-16,106
2015-04-17,110
2015-04-18,114
2015-04-19,120
2015-04-20,120
2015-04-21,126
2015-04-22,133
2015-04-23,140
2015-04-24,147
2015-04-25,155
2015-04-26,161
2015-04-27,163
2015-04-28,164
2015-04-29,164
2015-04-30,156
2015-05-01,152
2015-05-02,151
2015-05-03,151
2015-05-04,156
2015-05-05,154
2015-05-06,149
2015-05-07,144
2015-05-08,138
2015-05-09,139
2015-05-10,138
2015-05-11,138
2015-05-12,141
2015-05-13,149
2015-05-14,157
2015-05-15,165
2015-05-16,174
2015-05-17,183
2015-05-18,193
2015-05-19,203
2015-05-20,203
2015-05-21,212
2015-05-22,214
2015-05-23,210
2015-05-24,212
2015-05-25,219
2015-05-26,230
2015-05-27,242
2015-05-28,253
2015-05-29,256
2015-05-30,269
2015-05-31,283
2015-06-01,297
2015-06-02,293
2015-06-03,295
2015-06-04,285
2015-06-05,270
2015-06-06,258
2015-06-07,254
2015-06-08,250
2015-06-09,252
2015-06-10,247
2015-06-11,234
2015-06-12,228
2015-06-13,232
2015-06-14,226
2015-06-15,217
2015-06-16,224
2015-06-17,212
2015-06-18,202
2015-06-19,191
2015-06-20,181
2015-06-21,171
2015-06-22,162
2015-06-23,159
2015-06-24,154
2015-06-25,158
2015-06-26,161
2015-06-27,161
2015-06-28,168
2015-06-29,171
2015-06-30,172
2015-07-01,176
2015-07-02,176
2015-07-03,183
2015-07-04,191
2015-07-05,197
2015-07-06,201
2015-07-07,205
2015-07-08,212
2015-07-09,217
2015-07-10,220
2015-07-11,226
2015-07-12,235
2015-07-13,243
2015-07-14,256
2015-07-15,268
2015-07-16,258
2015-07-17,267
2015-07-18,274
2015-07-19,274
2015-07-20,285
2015-07-21,297
2015-07-22,288
2015-07-23,288
2015-07-24,278
2015-07-25,264
2015-07-26,250
2015-07-27,237
2015-07-28,225
2015-07-29,213
2015-07-30,202
2015-07-31,191
2015-08-01,181
2015-08-02,171
2015-08-03,162
2015-08-04,153
