date_obj,Iron%20gold-trimmed%20set%20(lg) price
2015-03-26,1566306
2015-03-27,1566306
2015-03-28,1566306
2015-03-29,1566306
2015-03-30,1566306
2015-03-31,1566306
2015-04-01,1566306
2015-04-02,1501535
2015-04-03,1501535
2015-04-04,1501535
2015-04-05,1501535
2015-04-06,1501535
2015-04-07,1501535
2015-04-08,1501535
2015-04-09,1501535
2015-04-10,1429392
2015-04-11,1429392
2015-04-12,1429392
2015-04-13,1429392
2015-04-14,1429392
2015-04-15,1429392
2015-04-16,1429392
2015-04-17,1429392
2015-04-18,1359282
2015-04-19,1359282
2015-04-20,1359282
2015-04-21,1359282
2015-04-22,1359282
2015-04-23,1359282
2015-04-24,1359282
2015-04-25,1359282
2015-04-26,1292959
2015-04-27,1292959
2015-04-28,1292959
2015-04-29,1292959
2015-04-30,1292959
2015-05-01,1292959
2015-05-02,1292959
2015-05-03,1292959
2015-05-04,1230124
2015-05-05,1230124
2015-05-06,1230124
2015-05-07,1230124
2015-05-08,1230124
2015-05-09,1230124
2015-05-10,1230124
2015-05-11,1230124
2015-05-12,1169825
2015-05-13,1169825
2015-05-14,1169825
2015-05-15,1169825
2015-05-16,1169825
2015-05-17,1169825
2015-05-18,1169825
2015-05-19,1112558
2015-05-20,1112558
2015-05-21,1112558
2015-05-22,1112558
2015-05-23,1112558
2015-05-24,1112558
2015-05-25,1112558
2015-05-26,1112558
2015-05-27,1058283
2015-05-28,1058283
2015-05-29,1058283
2015-05-30,1058283
2015-05-31,1006486
2015-06-01,1006486
2015-06-02,1006486
2015-06-03,1006486
2015-06-04,959058
2015-06-05,959058
2015-06-06,959058
2015-06-07,959058
2015-06-08,959058
2015-06-09,911211
2015-06-10,911211
2015-06-11,911211
2015-06-12,911211
2015-06-13,911211
2015-06-14,876151
2015-06-15,876151
2015-06-16,876151
2015-06-17,876151
2015-06-18,892490
2015-06-19,892490
2015-06-20,892490
2015-06-21,892490
2015-06-22,892490
2015-06-23,931649
2015-06-24,931649
2015-06-25,931649
2015-06-26,931649
2015-06-27,931649
2015-06-28,963336
2015-06-29,963336
2015-06-30,963336
2015-07-01,963336
2015-07-02,963336
2015-07-03,1000944
2015-07-04,1000944
