date_obj,Xerician%20fabric price
2016-01-08,59
2016-01-09,62
2016-01-10,66
2016-01-11,70
2016-01-12,74
2016-01-13,74
2016-01-14,78
2016-01-15,78
2016-01-16,82
2016-01-17,82
2016-01-18,87
2016-01-19,87
2016-01-20,92
2016-01-21,97
2016-01-22,102
2016-01-23,107
2016-01-24,107
2016-01-25,113
2016-01-26,113
2016-01-27,119
2016-01-28,119
2016-01-29,125
2016-01-30,125
2016-01-31,132
2016-02-01,132
2016-02-02,139
2016-02-03,139
2016-02-04,143
2016-02-05,143
2016-02-06,151
2016-02-07,151
2016-02-08,151
2016-02-09,159
2016-02-10,159
2016-02-11,167
2016-02-12,167
2016-02-13,176
2016-02-14,176
2016-02-15,176
2016-02-16,185
2016-02-17,185
2016-02-18,185
2016-02-19,195
2016-02-20,195
2016-02-21,205
2016-02-22,205
2016-02-23,205
2016-02-24,214
2016-02-25,214
2016-02-26,224
2016-02-27,224
2016-02-28,234
2016-02-29,234
2016-03-01,246
2016-03-02,246
2016-03-03,259
2016-03-04,259
2016-03-05,271
2016-03-06,271
2016-03-07,285
2016-03-08,285
2016-03-09,300
2016-03-10,300
2016-03-11,314
2016-03-12,314
2016-03-13,329
2016-03-14,329
2016-03-15,345
2016-03-16,345
2016-03-17,358
2016-03-18,358
2016-03-19,376
2016-03-20,376
2016-03-21,376
2016-03-22,395
2016-03-23,395
2016-03-24,415
2016-03-25,415
2016-03-26,436
2016-03-27,436
2016-03-28,457
2016-03-29,457
2016-03-30,457
2016-03-31,480
2016-04-01,480
2016-04-02,504
2016-04-03,504
2016-04-04,530
2016-04-05,530
2016-04-06,556
2016-04-07,556
2016-04-08,583
2016-04-09,583
2016-04-10,613
2016-04-11,613
2016-04-12,642
2016-04-13,672
2016-04-14,704
2016-04-15,733
2016-04-16,766
2016-04-17,802
2016-04-18,842
2016-04-19,842
2016-04-20,885
2016-04-21,885
2016-04-22,919
2016-04-23,919
2016-04-24,965
2016-04-25,1014
2016-04-26,1014
2016-04-27,1065
2016-04-28,1065
2016-04-29,1119
2016-04-30,1175
2016-05-01,1175
2016-05-02,1234
2016-05-03,1296
2016-05-04,1296
2016-05-05,1361
2016-05-06,1361
2016-05-07,1430
2016-05-08,1430
2016-05-09,1502
2016-05-10,1561
2016-05-11,1561
2016-05-12,1626
2016-05-13,1707
2016-05-14,1707
2016-05-15,1793
2016-05-16,1793
2016-05-17,1883
2016-05-18,1883
2016-05-19,1978
2016-05-22,2169
2016-05-23,2266
2016-05-24,2266
2016-05-25,2380
2016-05-26,2380
2016-05-27,2499
2016-05-28,2499
2016-05-29,2624
2016-05-30,2624
2016-05-31,2756
2016-06-01,2756
2016-06-02,2746
2016-06-03,2746
2016-06-04,2719
2016-06-05,2719
2016-06-06,2827
2016-06-07,2827
2016-06-08,2727
2016-06-09,2598
2016-06-10,2571
2016-06-11,2571
2016-06-12,2563
2016-06-13,2563
2016-06-14,2447
2016-06-15,2447
2016-06-16,2359
2016-06-17,2272
2016-06-18,2272
2016-06-19,2202
2016-06-20,2202
2016-06-21,2153
2016-06-22,2218
2016-06-23,2218
2016-06-24,2271
2016-06-25,2271
2016-06-26,2239
2016-06-27,2239
2016-06-28,2319
2016-06-29,2319
2016-06-30,2420
2016-07-01,2539
2016-07-02,2539
2016-07-03,2666
2016-07-04,2800
2016-07-05,2800
2016-07-06,2940
2016-07-07,2940
2016-07-08,3087
2016-07-09,3242
2016-07-10,3323
2016-07-11,3482
2016-07-12,3482
2016-07-13,3596
2016-07-14,3596
2016-07-15,3495
2016-07-16,3495
2016-07-17,3325
2016-07-18,3158
2016-07-24,2775
2016-07-25,2775
2016-07-26,2671
2016-07-27,2671
2016-07-28,2566
2016-07-29,2483
2016-07-30,2483
2016-07-31,2433
2016-08-01,2433
2016-08-02,2455
2016-08-03,2455
2016-08-04,2511
2016-08-05,2511
2016-08-06,2492
2016-08-07,2492
2016-08-08,2429
2016-08-09,2429
2016-08-10,2379
2016-08-11,2379
2016-08-12,2379
2016-08-13,2312
2016-08-14,2312
2016-08-15,2216
2016-08-16,2216
2016-08-17,2125
2016-08-18,2125
2016-08-19,2044
2016-08-20,2044
2016-08-21,2039
2016-08-22,2039
2016-08-23,2052
2016-08-24,2052
2016-08-25,2104
2016-08-26,2104
2016-08-28,2197
2016-08-31,2300
2016-09-01,2300
2016-09-02,2412
2016-09-03,2412
2016-09-04,2533
2016-09-05,2533
2016-09-06,2473
2016-09-07,2473
2016-09-08,2473
2016-09-09,2409
2016-09-10,2409
2016-09-11,2302
2016-09-12,2302
2016-09-13,2201
2016-09-14,2201
2016-09-15,2201
2016-09-16,2108
2016-09-17,2108
2016-09-18,2131
2016-09-19,2131
2016-09-20,2131
2016-09-21,2237
2016-09-22,2237
2016-09-23,2349
2016-09-24,2349
2016-09-25,2349
2016-09-26,2423
2016-09-27,2423
2016-09-28,2466
2016-09-29,2466
2016-09-30,2498
2016-10-01,2498
2016-10-02,2403
2016-10-03,2403
2016-10-04,2403
2016-10-05,2323
2016-10-06,2323
2016-10-07,2323
2016-10-08,2314
