date_obj,Toktz-xil-ak price
2015-03-26,148212
2015-03-27,148212
2015-03-28,148212
2015-03-29,148212
2015-03-30,148212
2015-03-31,148212
2015-04-01,148212
2015-04-02,148212
2015-04-03,153052
2015-04-04,153052
2015-04-05,153052
2015-04-06,153052
2015-04-07,153052
2015-04-08,153052
2015-04-09,153052
2015-04-10,153052
2015-04-11,156334
2015-04-12,156334
2015-04-13,156334
2015-04-14,156334
2015-04-15,156334
2015-04-16,156334
2015-04-17,156334
2015-04-18,156334
2015-04-19,155411
2015-04-20,155411
2015-04-21,155411
2015-04-22,155411
2015-04-23,155411
2015-04-24,155411
2015-04-25,155411
2015-04-26,155411
2015-04-27,155690
2015-04-28,155690
2015-04-29,155690
2015-04-30,155690
2015-05-01,155690
2015-05-02,155690
2015-05-03,155690
2015-05-04,155690
2015-05-05,155690
2015-05-06,157693
2015-05-07,157693
2015-05-08,157693
2015-05-09,157693
2015-05-10,157693
2015-05-11,157693
2015-05-12,157693
2015-05-13,157693
2015-05-14,157693
2015-05-15,157693
2015-05-16,158714
2015-05-17,158714
2015-05-18,158714
2015-05-19,158714
2015-05-20,158714
2015-05-21,158714
2015-05-22,158714
2015-05-23,158714
2015-05-24,158714
2015-05-25,158714
2015-05-26,161247
2015-05-27,161247
2015-05-28,161247
2015-05-29,161247
2015-05-30,161247
2015-05-31,161247
2015-06-01,160447
2015-06-02,160447
2015-06-03,160447
2015-06-04,160447
2015-06-05,160447
2015-06-06,160447
2015-06-07,160447
2015-06-08,160447
2015-06-09,162938
2015-06-10,162938
2015-06-11,162938
2015-06-12,162938
2015-06-13,162938
2015-06-14,162938
2015-06-15,162938
2015-06-16,164396
2015-06-17,164396
2015-06-18,164396
2015-06-19,164396
2015-06-20,164396
2015-06-21,164396
2015-06-22,162371
2015-06-23,162371
2015-06-24,162371
2015-06-25,162371
2015-06-26,162371
2015-06-27,162371
2015-06-28,162371
2015-06-29,158012
2015-06-30,158012
2015-07-01,158012
2015-07-02,158012
2015-07-03,158012
2015-07-04,158012
2015-07-05,158012
2015-07-06,158012
2015-07-07,158045
2015-07-08,158045
2015-07-09,158045
2015-07-10,158045
2015-07-11,158045
2015-07-12,158045
2015-07-13,158045
2015-07-14,159593
2015-07-15,159593
2015-07-16,159593
2015-07-17,159593
2015-07-18,159593
2015-07-19,159593
2015-07-20,159593
2015-07-21,162054
2015-07-22,162054
2015-07-23,162054
2015-07-24,162054
2015-07-25,162054
2015-07-26,162054
2015-07-27,157082
2015-07-28,157082
2015-07-29,157082
2015-07-30,157082
2015-07-31,157082
2015-08-01,157082
2015-08-02,157082
2015-08-03,161265
2015-08-04,161265
2015-08-05,161265
2015-08-06,161265
2015-08-07,161265
2015-08-08,161265
2015-08-09,163027
2015-08-10,163027
2015-08-11,163027
2015-08-12,163027
2015-08-13,163027
2015-08-14,160192
2015-08-15,160192
2015-08-16,160192
2015-08-17,160192
2015-08-18,160192
2015-08-19,160192
2015-08-20,162910
2015-08-21,162910
2015-08-22,162910
2015-08-23,162910
2015-08-24,162910
2015-08-25,162910
2015-08-26,161736
2015-08-27,161736
2015-08-28,161736
2015-08-29,161736
2015-08-30,161736
2015-08-31,161984
2015-09-01,161984
2015-09-02,161984
2015-09-03,161984
2015-09-04,161984
2015-09-05,161984
2015-09-06,163036
2015-09-07,163036
2015-09-08,163036
2015-09-09,163036
2015-09-10,163036
2015-09-11,156427
2015-09-12,156427
2015-09-13,156427
2015-09-14,156427
2015-09-15,156427
2015-09-16,156427
2015-09-17,150711
2015-09-18,150711
2015-09-19,150711
2015-09-20,150711
2015-09-21,150711
2015-09-22,150711
2015-09-23,147037
2015-09-24,147037
2015-09-25,147037
2015-09-27,147037
2015-09-28,147037
2015-09-29,143560
2015-09-30,143560
2015-10-05,146741
2015-10-06,146741
2015-10-07,146741
2015-10-08,146741
2015-10-09,146741
2015-10-10,145642
2015-10-11,145642
2015-10-12,145642
2015-10-13,145642
2015-10-14,145642
2015-10-15,145642
2015-10-16,143862
2015-10-17,143862
2015-10-18,143862
2015-10-19,143862
2015-10-20,143862
2015-10-22,143862
2015-10-23,142377
2015-10-24,142377
2015-10-25,142377
2015-10-26,142377
2015-10-27,142377
2015-10-29,146871
2015-10-30,146871
2015-10-31,146871
2015-11-01,146871
2015-11-02,146871
2015-11-03,146871
2015-11-04,146871
2015-11-05,148900
2015-11-06,148900
2015-11-07,148900
2015-11-08,148900
2015-11-09,148900
2015-11-10,148900
2015-11-11,148900
2015-11-12,150702
2015-11-13,150702
2015-11-14,150702
2015-11-15,150702
2015-11-16,150702
2015-11-17,150702
2015-11-18,150702
2015-11-19,152171
2015-11-20,152171
2015-11-21,152171
2015-11-22,152171
2015-11-23,152171
2015-11-24,152171
2015-11-25,152171
2015-11-26,153591
2015-11-27,153591
2015-11-28,153591
2015-11-29,153591
2015-11-30,153591
2015-12-01,153591
2015-12-02,156437
2015-12-03,156437
2015-12-04,156437
2015-12-05,156437
2015-12-06,156437
2015-12-07,156437
2015-12-08,156437
2015-12-09,160019
2015-12-10,160019
2015-12-11,160019
2015-12-13,160019
2015-12-14,160019
2015-12-15,156472
2015-12-16,156472
2015-12-17,156472
2015-12-18,156472
2015-12-19,156472
2015-12-20,156472
2015-12-21,159873
2015-12-22,159873
2015-12-23,159873
2015-12-24,159873
2015-12-25,159873
2015-12-26,159873
2015-12-27,164765
2015-12-28,164765
2015-12-29,164765
2015-12-30,164765
2015-12-31,164765
2016-01-01,164765
2016-01-02,159279
2016-01-03,159279
