date_obj,Book%20of%20law%20page%20set price
2016-01-23,1214329
2016-01-24,1162008
2016-01-25,1162008
2016-01-26,1162008
2016-01-27,1104968
2016-01-28,1104968
2016-01-29,1104968
2016-01-30,1104968
2016-01-31,1067527
2016-02-01,1067527
2016-02-02,1067527
2016-02-03,1042395
2016-02-04,1042395
2016-02-05,1042395
2016-02-06,1029806
2016-02-07,1029806
2016-02-08,1029806
2016-02-09,1029806
2016-02-10,1040010
2016-02-11,1040010
2016-02-12,1040010
2016-02-13,1065187
2016-02-14,1065187
2016-02-15,1065187
2016-02-16,1105225
2016-02-17,1105225
2016-02-18,1105225
2016-02-19,1105225
2016-02-20,1145514
2016-02-21,1145514
2016-02-22,1145514
2016-02-23,1194828
2016-02-24,1194828
2016-02-25,1194828
2016-02-26,1194828
2016-02-27,1181710
2016-02-28,1181710
2016-02-29,1181710
2016-03-01,1136719
2016-03-02,1136719
2016-03-03,1107440
2016-03-04,1107440
2016-03-05,1158352
2016-03-06,1158352
2016-03-07,1209318
2016-03-08,1209318
2016-03-09,1209318
2016-03-10,1265612
2016-03-11,1265612
2016-03-12,1265612
2016-03-13,1321087
2016-03-14,1321087
2016-03-15,1321087
2016-03-16,1382623
2016-03-17,1382623
2016-03-18,1382623
2016-03-19,1442776
2016-03-20,1442776
2016-03-21,1442776
2016-03-22,1470215
2016-03-23,1470215
2016-03-24,1470215
2016-03-25,1475744
2016-03-26,1475744
2016-03-27,1475744
2016-03-28,1531553
2016-03-29,1531553
2016-03-30,1531553
2016-03-31,1531553
2016-04-01,1493837
2016-04-02,1493837
2016-04-03,1493837
2016-04-04,1428520
2016-04-05,1428520
2016-04-06,1428520
2016-04-07,1428520
2016-04-08,1363847
2016-04-09,1363847
2016-04-10,1363847
2016-04-11,1363847
2016-04-12,1310610
2016-04-13,1310610
2016-04-14,1310610
2016-04-15,1266363
2016-04-16,1266363
2016-04-17,1266363
2016-04-18,1318587
2016-04-19,1318587
2016-04-20,1318587
