date_obj,Inquisitor's%20armour%20set price
2020-02-05,45000000
2020-02-06,46318288
2020-02-07,48252107
2020-02-08,50277245
2020-02-09,52193839
2020-02-10,54242949
2020-02-11,56429139
2020-02-12,58667688
2020-02-13,58667688
2020-02-14,61018938
2020-02-15,61018938
2020-02-16,63371675
2020-02-17,66126143
2020-02-18,68839038
2020-02-19,68839038
2020-02-20,71546893
2020-02-21,71546893
2020-02-22,74378859
2020-02-23,74378859
2020-02-24,74378859
2020-02-25,77282431
2020-02-26,77282431
2020-02-27,77282431
2020-02-28,80349332
2020-02-29,80349332
2020-03-01,80349332
2020-03-02,83455544
2020-03-03,83455544
2020-03-04,83455544
2020-03-05,86716311
2020-03-06,86716311
2020-03-07,86716311
2020-03-08,90422568
2020-03-09,90422568
2020-03-10,90422568
2020-03-11,94220175
2020-03-12,94220175
2020-03-13,98129164
2020-03-14,98129164
2020-03-15,102263153
2020-03-16,102263153
2020-03-17,102263153
2020-03-18,106363675
2020-03-19,106363675
2020-03-20,110901920
2020-03-21,110901920
2020-03-22,115461453
2020-03-23,115461453
2020-03-24,120450374
2020-03-25,120450374
2020-03-26,125580778
2020-03-27,125580778
2020-03-28,125580778
2020-03-29,131020678
2020-03-30,131020678
2020-03-31,131020678
2020-04-01,136401380
2020-04-02,136401380
2020-04-03,136401380
2020-04-04,142208603
2020-04-05,142208603
2020-04-06,148119195
2020-04-07,148119195
2020-04-08,154572837
2020-04-09,154572837
2020-04-10,154572837
2020-04-11,161397008
2020-04-12,161397008
2020-04-13,161397008
2020-04-14,168517465
2020-04-15,175671537
2020-04-16,175671537
2020-04-17,182792491
2020-04-18,190993003
2020-04-19,199673047
2020-04-20,199673047
2020-04-21,208185609
2020-04-22,208185609
2020-04-23,217078113
2020-04-24,217078113
2020-04-25,217078113
2020-04-26,226196571
2020-04-27,226196571
2020-04-28,235824785
2020-04-29,235824785
2020-04-30,245791534
2020-05-01,245791534
2020-05-02,245791534
2020-05-03,256067326
2020-05-04,256067326
2020-05-05,256067326
2020-05-06,266718811
2020-05-07,266718811
2020-05-08,266718811
2020-05-09,276953094
2020-05-10,276953094
2020-05-11,276953094
2020-05-12,287876978
2020-05-13,287876978
