date_obj,Bow%20string price
2015-03-26,119
2015-03-27,121
2015-03-28,116
2015-03-29,110
2015-03-30,104
2015-03-31,101
2015-04-01,101
2015-04-02,103
2015-04-03,104
2015-04-04,100
2015-04-05,99
2015-04-06,97
2015-04-07,95
2015-04-08,94
2015-04-09,93
2015-04-10,91
2015-04-11,88
2015-04-12,86
2015-04-13,85
2015-04-14,85
2015-04-15,85
2015-04-16,86
2015-04-17,89
2015-04-18,90
2015-04-19,90
2015-04-20,89
2015-04-21,88
2015-04-22,88
2015-04-23,86
2015-04-24,86
2015-04-25,86
2015-04-26,86
2015-04-27,87
2015-04-28,88
2015-04-29,89
2015-04-30,90
2015-05-01,90
2015-05-02,88
2015-05-03,86
2015-05-04,84
2015-05-05,82
2015-05-06,79
2015-05-07,78
2015-05-08,76
2015-05-09,72
2015-05-10,72
2015-05-11,75
2015-05-12,79
2015-05-13,83
2015-05-14,88
2015-05-15,89
2015-05-16,88
2015-05-17,85
2015-05-18,84
2015-05-19,87
2015-05-20,88
2015-05-21,92
2015-05-22,95
2015-05-23,94
2015-05-24,90
2015-05-25,86
2015-05-26,84
2015-05-27,83
2015-05-28,83
2015-05-29,86
2015-05-30,86
2015-05-31,85
2015-06-01,85
2015-06-02,87
2015-06-03,91
2015-06-04,96
2015-06-05,101
2015-06-06,107
2015-06-07,113
2015-06-08,119
2015-06-09,125
2015-06-10,132
2015-06-11,139
2015-06-12,141
2015-06-13,134
2015-06-14,127
2015-06-15,120
2015-06-16,114
2015-06-17,109
2015-06-18,110
2015-06-19,112
2015-06-20,107
2015-06-21,106
2015-06-22,106
2015-06-23,109
2015-06-24,111
2015-06-25,116
2015-06-26,116
2015-06-27,110
2015-06-28,104
2015-06-29,99
2015-06-30,99
2015-07-01,99
2015-07-02,100
2015-07-03,99
2015-07-04,98
2015-07-05,96
2015-07-06,95
2015-07-07,97
2015-07-08,101
2015-07-09,107
2015-07-10,110
2015-07-11,106
2015-07-12,101
2015-07-13,96
2015-07-14,93
2015-07-15,94
2015-07-16,95
2015-07-17,93
2015-07-18,90
2015-07-19,86
2015-07-20,84
2015-07-21,88
2015-07-22,93
2015-07-23,98
2015-07-24,102
2015-07-25,105
2015-07-26,111
2015-07-27,116
2015-07-28,122
2015-07-29,129
2015-07-30,136
2015-07-31,142
2015-08-01,138
2015-08-02,131
2015-08-03,124
2015-08-04,126
2015-08-05,129
2015-08-06,136
2015-08-07,140
2015-08-08,138
2015-08-09,131
2015-08-10,124
2015-08-11,117
2015-08-12,111
2015-08-13,107
2015-08-14,106
2015-08-15,102
2015-08-16,97
2015-08-17,92
2015-08-18,93
2015-08-19,97
2015-08-20,102
2015-08-21,106
2015-08-22,103
2015-08-23,99
2015-08-24,99
2015-08-25,103
2015-08-26,107
2015-08-27,111
2015-08-28,112
2015-08-29,108
2015-08-30,102
2015-08-31,96
