date_obj,Zulrah's%20scales price
2015-03-26,67
2015-03-27,68
2015-03-28,70
2015-03-29,71
2015-03-30,71
2015-03-31,71
2015-04-01,72
2015-04-02,73
2015-04-03,74
2015-04-04,74
2015-04-05,75
2015-04-06,75
2015-04-07,75
2015-04-08,75
2015-04-09,75
2015-04-10,76
2015-04-11,78
2015-04-12,80
2015-04-13,83
2015-04-14,87
2015-04-15,91
2015-04-16,93
2015-04-17,94
2015-04-18,94
2015-04-19,94
2015-04-20,93
2015-04-21,92
2015-04-22,91
2015-04-23,90
2015-04-24,91
2015-04-25,94
2015-04-26,99
2015-04-27,104
2015-04-28,110
2015-04-29,115
2015-04-30,120
2015-05-01,126
2015-05-02,125
2015-05-03,120
2015-05-04,114
2015-05-05,108
2015-05-06,102
2015-05-07,103
2015-05-08,107
2015-05-09,112
2015-05-10,118
2015-05-11,123
2015-05-12,126
2015-05-13,129
2015-05-14,133
2015-05-15,134
2015-05-16,136
2015-05-17,139
2015-05-18,143
2015-05-19,141
2015-05-20,140
2015-05-21,138
2015-05-22,134
2015-05-23,130
2015-05-24,128
2015-05-25,131
2015-05-26,135
2015-05-27,141
2015-05-28,143
2015-05-29,147
2015-05-30,154
2015-05-31,160
2015-06-01,168
2015-06-02,172
2015-06-03,174
2015-06-04,175
2015-06-05,171
2015-06-06,162
2015-06-07,154
2015-06-08,157
2015-06-09,159
2015-06-10,160
2015-06-11,160
2015-06-12,162
2015-06-13,161
2015-06-14,159
2015-06-15,157
2015-06-16,154
2015-06-17,153
2015-06-18,150
2015-06-19,147
2015-06-20,145
2015-06-21,141
2015-06-22,138
2015-06-23,138
2015-06-24,144
2015-06-25,147
2015-06-26,151
2015-06-27,153
2015-06-28,156
2015-06-29,158
2015-06-30,159
2015-07-01,162
2015-07-02,165
2015-07-03,168
2015-07-04,166
2015-07-05,164
2015-07-06,160
2015-07-07,157
2015-07-08,155
2015-07-09,156
2015-07-10,162
2015-07-11,166
2015-07-12,161
2015-07-13,159
2015-07-14,159
2015-07-15,160
