date_obj,Saradomin%20armour%20set%20(lg) price
2015-03-26,712401
2015-03-27,712401
2015-03-28,676780
2015-03-29,676780
2015-03-30,646295
2015-03-31,646295
2015-04-01,646295
2015-04-02,613980
2015-04-03,613980
2015-04-04,613980
2015-04-05,584383
2015-04-06,584383
2015-04-07,556859
2015-04-08,556859
2015-04-09,556859
2015-04-10,530128
2015-04-11,530128
2015-04-12,530128
2015-04-13,514000
2015-04-14,514000
2015-04-15,514000
2015-04-16,493911
2015-04-17,493911
2015-04-18,493911
2015-04-19,482848
2015-04-20,482848
2015-04-21,482848
2015-04-22,482848
2015-04-23,469755
2015-04-24,469755
2015-04-25,469755
2015-04-26,465312
2015-04-27,465312
2015-04-28,462075
2015-04-29,462075
2015-04-30,462075
2015-05-01,454982
2015-05-02,454982
2015-05-03,454982
2015-05-04,438901
2015-05-05,438901
2015-05-06,438901
2015-05-07,426834
2015-05-08,426834
2015-05-09,426834
2015-05-10,415892
2015-05-11,415892
2015-05-12,415892
2015-05-13,415892
2015-05-14,410046
2015-05-15,410046
2015-05-16,410046
2015-05-17,402092
2015-05-18,402092
2015-05-19,402092
2015-05-20,402092
2015-05-21,389599
2015-05-22,389599
2015-05-23,389599
2015-05-24,392158
2015-05-25,392158
2015-05-26,392158
2015-05-27,392956
2015-05-28,392956
2015-05-29,388183
2015-05-30,385718
2015-05-31,385718
2015-06-01,384296
2015-06-02,384296
2015-06-03,383990
2015-06-04,383990
2015-06-05,387240
2015-06-06,387240
2015-06-07,392132
2015-06-08,392132
2015-06-09,399711
2015-06-10,399711
2015-06-11,410854
2015-06-12,410854
2015-06-13,419118
2015-06-14,419118
2015-06-15,423557
2015-06-16,423557
2015-06-17,419313
2015-06-18,419313
2015-06-19,413062
2015-06-20,413062
2015-06-21,402743
2015-06-22,402743
2015-06-23,394039
2015-06-24,391038
2015-06-25,391038
2015-06-26,393155
2015-06-27,393155
2015-06-28,396959
2015-06-29,396959
2015-06-30,400360
2015-07-01,400360
2015-07-02,404876
2015-07-03,403106
2015-07-04,403106
2015-07-05,405698
2015-07-06,405698
2015-07-07,402240
2015-07-08,402240
2015-07-09,401277
2015-07-10,401277
2015-07-11,411857
2015-07-12,411857
2015-07-13,418216
2015-07-14,418216
2015-07-15,422556
2015-07-16,422556
2015-07-17,424621
2015-07-18,424621
2015-07-19,434619
2015-07-20,434619
2015-07-21,439796
2015-07-22,438642
2015-07-23,438642
2015-07-24,441991
2015-07-25,441991
2015-07-26,441991
2015-07-27,441755
2015-07-28,441755
2015-07-29,434862
2015-07-30,434862
2015-07-31,434862
2015-08-01,438669
2015-08-02,440905
2015-08-03,440905
2015-08-04,442286
2015-08-05,442286
2015-08-06,439505
2015-08-07,439505
2015-08-08,444452
2015-08-09,444452
2015-08-10,455227
2015-08-11,455227
2015-08-12,459907
2015-08-13,459907
2015-08-14,453411
2015-08-15,453411
2015-08-16,444766
2015-08-17,444766
2015-08-18,442294
2015-08-19,442294
2015-08-20,440817
2015-08-21,440817
2015-08-22,434862
2015-08-23,434862
2015-08-24,436355
2015-08-25,436355
2015-08-26,436355
2015-08-27,440833
2015-08-28,440833
2015-08-29,432781
2015-08-30,432781
2015-08-31,428089
2015-09-01,428089
2015-09-02,421706
2015-09-03,421706
2015-09-04,419598
2015-09-05,419598
2015-09-06,419598
2015-09-07,411679
2015-09-08,411679
2015-09-09,414696
2015-09-10,414696
2015-09-11,431617
2015-09-12,431617
2015-09-13,443647
2015-09-14,443647
2015-09-15,446865
2015-09-16,446865
2015-09-17,439539
2015-09-18,439539
2015-09-19,429537
2015-09-20,429537
2015-09-21,426743
2015-09-22,426743
2015-09-23,420711
2015-09-24,420711
2015-09-25,420711
2015-09-27,428511
2015-09-28,430883
2015-09-29,430883
2015-09-30,433595
2015-10-05,440858
2015-10-06,442720
2015-10-07,442720
2015-10-08,455471
2015-10-09,455471
2015-10-10,466237
2015-10-11,466237
2015-10-12,464785
2015-10-13,464785
2015-10-14,464785
2015-10-15,456242
2015-10-16,456242
2015-10-17,456242
2015-10-18,448740
2015-10-19,448740
2015-10-20,443488
2015-10-22,431731
2015-10-23,431731
2015-10-24,418328
2015-10-25,422699
2015-10-26,422699
2015-10-27,426893
2015-10-29,430111
2015-10-30,430111
2015-10-31,431290
2015-11-01,431290
2015-11-02,427832
2015-11-03,427832
2015-11-04,433003
2015-11-05,433003
2015-11-06,439652
2015-11-07,435355
2015-11-08,435355
2015-11-09,433309
2015-11-10,433309
2015-11-11,432828
2015-11-12,432828
2015-11-13,434098
2015-11-14,434098
2015-11-15,441891
2015-11-16,441891
2015-11-17,442619
2015-11-18,442619
2015-11-19,440594
2015-11-20,440594
2015-11-21,445312
2015-11-22,448712
2015-11-23,448712
2015-11-24,460587
2015-11-25,459560
2015-11-26,459560
2015-11-27,467401
2015-11-28,467401
2015-11-29,463384
2015-11-30,463384
2015-12-01,466364
2015-12-02,466364
2015-12-03,473682
2015-12-04,473682
2015-12-05,485612
2015-12-06,485612
2015-12-07,488947
2015-12-08,488947
2015-12-09,489434
2015-12-10,489434
2015-12-11,491771
2015-12-12,491771
2015-12-13,487662
2015-12-14,487662
2015-12-15,483560
2015-12-16,483560
2015-12-17,484670
2015-12-18,484670
2015-12-19,486196
2015-12-20,486196
2015-12-21,486416
2015-12-22,486416
2015-12-23,486282
2015-12-24,486282
2015-12-25,485030
2015-12-26,485030
2015-12-27,484967
2015-12-28,484967
2015-12-29,482107
2015-12-30,482107
2015-12-31,482384
2016-01-01,482384
2016-01-02,475477
2016-01-03,471166
2016-01-04,471166
2016-01-05,466479
2016-01-06,466479
2016-01-07,458725
2016-01-08,458725
2016-01-09,451110
2016-01-10,451110
2016-01-11,445270
2016-01-12,451989
2016-01-13,451989
2016-01-14,448626
2016-01-15,448626
2016-01-16,442649
2016-01-17,442649
2016-01-18,438590
2016-01-19,438590
2016-01-20,434559
2016-01-21,434559
2016-01-22,427690
2016-01-23,427690
2016-01-24,421780
2016-01-25,416686
2016-01-26,416686
2016-01-27,412696
2016-01-28,412696
2016-01-29,410942
2016-01-30,410942
2016-01-31,408433
2016-02-01,408433
2016-02-02,407798
2016-02-03,407798
2016-02-04,412443
2016-02-05,412443
2016-02-06,410840
2016-02-07,410840
2016-02-08,405382
2016-02-09,405382
2016-02-10,399994
2016-02-11,399994
2016-02-12,393750
2016-02-13,388971
2016-02-14,388971
2016-02-15,387291
2016-02-16,387291
2016-02-17,396894
2016-02-18,396894
2016-02-19,408217
2016-02-20,408217
2016-02-21,414833
2016-02-22,414833
2016-02-23,421553
2016-02-24,421553
2016-02-25,427063
2016-02-26,427063
2016-02-27,428801
2016-02-28,428801
2016-02-29,428216
2016-03-01,428216
2016-03-02,437047
2016-03-03,437047
2016-03-04,446894
