date_obj,Teal%20robe%20top price
2015-03-04,5000
2015-03-05,5000
2015-03-06,5000
2015-03-07,5000
2015-03-08,5000
2015-03-09,5000
2015-03-10,5000
2015-03-11,5000
2015-03-12,5000
2015-03-13,5000
2015-03-14,5000
2015-03-15,5000
2015-03-16,5000
2015-03-17,5000
2015-03-18,5000
2015-03-19,5000
2015-03-20,5000
2015-03-21,5000
2015-03-22,5000
2015-03-23,5000
2015-03-24,5000
2015-03-25,5000
2015-03-26,4794
2015-03-27,4794
2015-03-28,4794
2015-03-29,4794
2015-03-30,4794
2015-03-31,4794
2015-04-01,4794
2015-04-02,4794
2015-04-03,4794
2015-04-04,4794
2015-04-05,4794
2015-04-06,4794
2015-04-07,4794
2015-04-08,4794
2015-04-09,4794
2015-04-10,4794
2015-04-11,4794
2015-04-12,4794
2015-04-13,4794
2015-04-14,4794
2015-04-15,4794
2015-04-16,4794
2015-04-17,4794
2015-04-18,4794
2015-04-19,4794
2015-04-20,4794
2015-04-21,4794
2015-04-22,4794
2015-04-23,4794
2015-04-24,4794
2015-04-25,4573
2015-04-26,4573
2015-04-27,4573
2015-04-28,4573
2015-04-29,4573
2015-04-30,4573
2015-05-01,4573
2015-05-02,4573
2015-05-03,4573
2015-05-04,4573
2015-05-05,4573
2015-05-06,4573
2015-05-07,4573
2015-05-08,4573
2015-05-09,4573
2015-05-10,4573
2015-05-11,4573
2015-05-12,4573
2015-05-13,4573
2015-05-14,4573
2015-05-15,4573
2015-05-16,4573
2015-05-17,4573
2015-05-18,4573
2015-05-19,4573
2015-05-20,4573
2015-05-21,4573
2015-05-22,4573
2015-05-23,4573
2015-05-24,4573
2015-05-25,4573
2015-05-26,4573
2015-05-27,4573
2015-05-28,4360
2015-05-29,4360
2015-05-30,4360
2015-05-31,4360
2015-06-01,4360
2015-06-02,4360
2015-06-03,4360
2015-06-04,4360
2015-06-05,4360
2015-06-06,4360
2015-06-07,4360
2015-06-08,4360
2015-06-09,4360
2015-06-10,4360
2015-06-11,4360
2015-06-12,4360
2015-06-13,4360
2015-06-14,4360
2015-06-15,4360
2015-06-16,4360
2015-06-17,4360
2015-06-18,4360
2015-06-19,4360
2015-06-20,4360
2015-06-21,4360
2015-06-22,4360
2015-06-23,4360
2015-06-24,4187
2015-06-25,4187
2015-06-26,4187
2015-06-27,4187
2015-06-28,4187
2015-06-29,4187
2015-06-30,4187
2015-07-01,4187
2015-07-02,4187
2015-07-03,4187
2015-07-04,4187
2015-07-05,4187
2015-07-06,4187
2015-07-07,4187
2015-07-08,4187
2015-07-09,4187
2015-07-10,4187
2015-07-11,4187
2015-07-12,4187
2015-07-13,4187
2015-07-14,4187
2015-07-15,4187
2015-07-16,4187
2015-07-17,4187
2015-07-18,3981
2015-07-19,3981
2015-07-20,3981
2015-07-21,3981
2015-07-22,3981
2015-07-23,3981
2015-07-24,3981
2015-07-25,3981
2015-07-26,3981
2015-07-27,3981
2015-07-28,3981
2015-07-29,3981
2015-07-30,3981
2015-07-31,3981
2015-08-01,3981
2015-08-02,3981
2015-08-03,3981
2015-08-04,3981
2015-08-05,3981
2015-08-06,3981
2015-08-07,3981
2015-08-08,3792
