date_obj,Bronze%20trimmed%20set%20(lg) price
2015-03-26,123604
2015-03-27,123604
2015-03-28,123604
2015-03-29,123604
2015-03-30,123604
2015-03-31,123604
2015-04-01,123604
2015-04-02,121153
2015-04-03,121153
2015-04-04,121153
2015-04-05,121153
2015-04-06,121153
2015-04-07,121153
2015-04-08,121153
2015-04-09,121153
2015-04-10,121153
2015-04-11,121153
2015-04-12,121153
2015-04-13,121153
2015-04-14,121153
2015-04-15,121153
2015-04-16,121153
2015-04-17,121153
2015-04-18,117080
2015-04-19,117080
2015-04-20,117080
2015-04-21,117080
2015-04-22,117080
2015-04-23,117080
2015-04-24,117080
2015-04-25,117080
2015-04-26,117080
2015-04-27,117080
2015-04-28,117080
2015-04-29,117080
2015-04-30,117080
2015-05-01,117080
2015-05-02,111936
2015-05-03,111936
2015-05-04,111936
2015-05-05,111936
2015-05-06,111936
2015-05-07,111936
2015-05-08,111936
2015-05-09,111936
2015-05-10,111936
2015-05-11,111936
2015-05-12,111936
2015-05-13,111936
2015-05-14,111936
2015-05-15,111936
2015-05-16,111936
2015-05-17,111936
2015-05-18,106635
2015-05-19,106635
2015-05-20,106635
2015-05-21,106635
2015-05-22,106635
2015-05-23,106635
2015-05-24,106635
2015-05-25,106635
2015-05-26,106635
2015-05-27,106635
2015-05-28,101463
2015-05-29,101463
2015-05-30,101463
2015-05-31,101463
2015-06-01,101463
2015-06-02,101463
2015-06-03,101463
2015-06-04,101463
2015-06-05,101463
2015-06-06,96885
2015-06-07,96885
2015-06-08,96885
2015-06-09,96885
2015-06-10,96885
2015-06-11,96885
2015-06-12,96885
2015-06-13,96885
2015-06-14,96885
2015-06-15,93097
2015-06-16,93097
2015-06-17,93097
2015-06-18,93097
2015-06-19,93097
2015-06-20,93097
2015-06-21,93097
2015-06-22,93097
2015-06-23,88804
2015-06-24,88804
2015-06-25,88804
2015-06-26,88804
2015-06-27,88804
2015-06-28,88804
2015-06-29,88804
2015-06-30,88804
2015-07-01,88804
2015-07-02,88804
2015-07-03,84801
2015-07-04,84801
2015-07-05,84801
2015-07-06,84801
2015-07-07,84801
2015-07-08,84801
2015-07-09,84801
2015-07-10,84801
2015-07-11,80736
2015-07-12,80736
2015-07-13,80736
2015-07-14,80736
2015-07-15,80736
2015-07-16,80736
2015-07-17,80736
2015-07-18,80736
2015-07-19,77867
2015-07-20,77867
2015-07-21,77867
2015-07-22,77867
2015-07-23,77867
2015-07-24,77867
2015-07-25,77867
2015-07-26,74456
2015-07-27,74456
2015-07-28,74456
2015-07-29,74456
2015-07-30,74456
2015-07-31,74456
2015-08-01,74456
2015-08-02,73032
2015-08-03,73032
2015-08-04,73032
2015-08-05,73032
2015-08-06,73032
2015-08-07,73032
2015-08-08,73032
2015-08-09,73032
2015-08-10,71498
2015-08-11,71498
2015-08-12,71498
2015-08-13,71498
2015-08-14,71498
2015-08-15,71498
2015-08-16,71498
2015-08-17,71172
2015-08-18,71172
2015-08-19,71172
2015-08-20,71172
2015-08-21,71172
2015-08-22,71172
2015-08-23,71172
2015-08-24,70782
2015-08-25,70782
2015-08-26,70782
2015-08-27,70782
2015-08-28,70782
2015-08-29,70782
2015-08-30,70782
2015-08-31,70782
2015-09-01,70887
2015-09-02,70887
2015-09-03,70887
2015-09-04,70887
2015-09-05,70887
2015-09-06,70887
2015-09-07,70887
2015-09-08,70887
2015-09-09,72779
2015-09-10,72779
2015-09-11,72779
2015-09-12,72779
2015-09-13,72779
2015-09-14,72779
2015-09-15,72779
2015-09-16,72779
2015-09-17,72779
2015-09-18,72775
2015-09-19,72775
2015-09-20,72775
2015-09-21,72775
2015-09-22,72775
2015-09-23,72775
2015-09-24,72775
2015-09-25,72775
2015-09-27,72826
2015-09-28,72826
2015-09-29,72826
2015-09-30,72826
2015-10-05,72826
2015-10-06,72826
2015-10-07,75465
2015-10-08,75465
2015-10-09,75465
2015-10-10,75465
2015-10-11,75465
2015-10-12,75465
2015-10-13,75465
2015-10-14,75465
2015-10-15,75465
2015-10-16,75465
2015-10-17,75465
2015-10-18,75465
2015-10-19,78066
2015-10-20,78066
2015-10-22,78066
2015-10-23,78066
2015-10-24,78066
2015-10-25,78066
2015-10-26,78066
2015-10-27,78066
2015-10-29,78066
2015-10-30,78066
2015-10-31,79353
2015-11-01,79353
2015-11-02,79353
2015-11-03,79353
2015-11-04,79353
2015-11-05,79353
2015-11-06,79353
2015-11-07,79353
2015-11-08,79353
2015-11-09,79353
2015-11-10,79353
2015-11-11,78653
2015-11-12,78653
2015-11-13,78653
2015-11-14,78653
2015-11-15,78653
2015-11-16,78653
2015-11-17,78653
2015-11-18,78653
2015-11-19,78653
2015-11-20,78653
2015-11-21,78653
2015-11-22,78705
2015-11-23,78705
2015-11-24,78705
2015-11-25,78705
2015-11-26,78705
2015-11-27,78705
2015-11-28,78705
2015-11-29,78705
2015-11-30,78705
2015-12-01,78931
2015-12-02,78931
2015-12-03,78931
2015-12-04,78931
2015-12-05,78931
2015-12-06,78931
2015-12-07,78931
2015-12-08,78931
2015-12-09,78931
2015-12-10,78931
2015-12-11,78671
2015-12-12,78671
2015-12-13,78671
2015-12-14,78671
2015-12-15,78671
2015-12-16,78671
2015-12-17,78671
2015-12-18,78671
2015-12-19,78671
2015-12-20,79392
2015-12-21,79392
2015-12-22,79392
2015-12-23,79392
2015-12-24,79392
2015-12-25,79392
2015-12-26,79392
2015-12-27,79392
2015-12-28,79699
2015-12-29,79699
2015-12-30,79699
2015-12-31,79699
2016-01-01,79699
2016-01-02,79699
2016-01-03,79699
2016-01-04,81875
2016-01-05,81875
2016-01-06,81875
2016-01-07,81875
2016-01-08,81875
2016-01-09,81875
2016-01-10,81875
2016-01-11,81875
2016-01-12,81875
2016-01-13,81965
2016-01-14,81965
2016-01-15,81965
2016-01-16,81965
2016-01-17,81965
2016-01-18,81965
2016-01-19,81965
2016-01-20,81965
2016-01-21,81965
2016-01-22,81520
2016-01-23,81520
2016-01-24,81520
2016-01-25,81520
2016-01-26,81520
2016-01-27,81520
2016-01-28,81520
2016-01-29,81520
2016-01-30,81520
2016-01-31,81520
2016-02-01,81389
2016-02-02,81389
2016-02-03,81389
2016-02-04,81389
2016-02-05,81389
2016-02-06,81389
2016-02-07,81389
2016-02-08,81389
2016-02-09,81389
2016-02-10,81793
2016-02-11,81793
2016-02-12,81793
2016-02-13,81793
2016-02-14,81793
2016-02-15,81793
2016-02-16,81793
2016-02-17,81793
2016-02-18,81793
2016-02-19,81793
2016-02-20,82825
2016-02-21,82825
2016-02-22,82825
2016-02-23,82825
2016-02-24,82825
2016-02-25,82825
2016-02-26,82825
2016-02-27,82825
2016-02-28,82835
2016-02-29,82835
2016-03-01,82835
2016-03-02,82835
2016-03-03,82835
2016-03-04,82835
2016-03-05,82835
2016-03-06,82835
2016-03-07,83837
2016-03-08,83837
2016-03-09,83837
2016-03-10,83837
2016-03-11,83837
2016-03-12,83837
2016-03-13,83837
2016-03-14,83837
2016-03-15,83782
2016-03-16,83782
2016-03-17,83782
2016-03-18,83782
2016-03-19,83782
2016-03-20,83782
2016-03-21,83782
2016-03-22,83782
2016-03-23,83782
2016-03-24,84106
2016-03-25,84106
2016-03-26,84106
2016-03-27,84106
