date_obj,Demon%20feet price
2019-04-11,30000
2019-04-11,31500
2019-04-12,33075
2019-04-13,34729
2019-04-14,36466
2019-04-15,175000
2019-04-16,175000
2019-04-17,177467
2019-04-18,183517
2019-04-19,188040
2019-04-20,185508
2019-04-21,183135
2019-04-22,176578
2019-04-23,167948
2019-04-24,159550
2019-04-25,151572
2019-04-26,143993
2019-04-27,136793
2019-04-28,130321
2019-04-29,124800
2019-04-30,118565
2019-05-01,112636
2019-05-02,107024
2019-05-03,102220
2019-05-04,98785
2019-05-05,97657
2019-05-06,97554
2019-05-07,96610
2019-05-08,97258
2019-05-09,99627
2019-05-10,101184
2019-05-11,106021
2019-05-12,108657
2019-05-13,111896
2019-05-14,113646
2019-05-15,114932
2019-05-16,115433
2019-05-17,116133
2019-05-18,118254
2019-05-19,120571
2019-05-20,124269
2019-05-21,127421
2019-05-22,128455
2019-05-23,131923
2019-05-24,133840
2019-05-25,138021
2019-05-26,141886
2019-05-27,146650
2019-05-28,148909
2019-05-29,148423
2019-05-30,145850
2019-05-31,145850
2019-06-01,142967
2019-06-02,140680
2019-06-03,137667
2019-06-04,137633
2019-06-05,135431
2019-06-06,135073
2019-06-07,135904
2019-06-08,134510
2019-06-09,134219
2019-06-10,134219
2019-06-11,137858
2019-06-12,142292
2019-06-13,144119
2019-06-14,146597
2019-06-15,146597
2019-06-16,149799
2019-06-17,152803
2019-06-18,152803
2019-06-19,156904
2019-06-20,159687
2019-06-21,160611
2019-06-22,161840
2019-06-23,161249
2019-06-24,159826
2019-06-25,155667
2019-06-26,151469
2019-06-27,149141
2019-06-28,149141
2019-06-29,148965
2019-06-30,150009
2019-07-01,150009
2019-07-02,149993
2019-07-03,149706
2019-07-04,149706
2019-07-05,149236
2019-07-06,149360
2019-07-07,149004
2019-07-08,148671
2019-07-09,148708
2019-07-10,147768
2019-07-11,147768
2019-07-12,148480
2019-07-13,148480
2019-07-14,150463
2019-07-15,150463
2019-07-16,152959
2019-07-17,151669
2019-07-18,151143
2019-07-19,153179
2019-07-20,153179
2019-07-21,152285
2019-07-22,152571
2019-07-23,153537
2019-07-24,153537
2019-07-25,157481
2019-07-26,162238
2019-07-27,161041
2019-07-28,163674
2019-07-29,163974
2019-07-30,161391
2019-07-31,161048
2019-08-01,161048
2019-08-02,157600
2019-08-03,156150
2019-08-04,156573
2019-08-05,154848
2019-08-06,154191
2019-08-07,153948
2019-08-08,153948
2019-08-09,152627
2019-08-10,153203
2019-08-11,153203
2019-08-12,154805
2019-08-13,154805
2019-08-14,158143
2019-08-15,159808
2019-08-16,159628
2019-08-17,159628
