date_obj,White%20dark%20bow%20paint price
2015-03-26,205767
2015-03-27,205767
2015-03-28,205767
2015-03-29,196976
2015-03-30,196976
2015-03-31,196976
2015-04-01,196976
2015-04-02,196976
2015-04-03,196976
2015-04-04,196976
2015-04-05,196976
2015-04-06,196976
2015-04-07,196976
2015-04-08,196976
2015-04-09,196976
2015-04-10,196976
2015-04-11,196976
2015-04-12,196976
2015-04-13,190397
2015-04-14,190397
2015-04-15,190397
2015-04-16,190397
2015-04-17,190397
2015-04-18,190397
2015-04-19,190397
2015-04-20,190397
2015-04-21,190397
2015-04-22,190397
2015-04-23,190397
2015-04-24,190397
2015-04-25,190397
2015-04-26,190397
2015-04-27,190397
2015-04-28,181456
2015-04-29,181456
2015-04-30,181456
2015-05-01,181456
2015-05-02,181456
2015-05-03,181456
2015-05-04,181456
2015-05-05,181456
2015-05-06,181456
2015-05-07,181456
2015-05-08,181456
2015-05-09,181456
2015-05-10,181456
2015-05-11,181456
2015-05-12,181456
2015-05-13,181456
2015-05-14,179326
2015-05-15,179326
2015-05-16,179326
2015-05-17,179326
2015-05-18,179326
2015-05-19,179326
2015-05-20,179326
2015-05-21,179326
2015-05-22,179326
2015-05-23,179326
2015-05-24,179326
2015-05-25,179326
2015-05-26,179326
2015-05-27,179326
2015-05-28,171763
2015-05-29,171763
2015-05-30,171763
2015-05-31,171763
2015-06-01,171763
2015-06-02,171763
2015-06-03,171763
2015-06-04,171763
2015-06-05,171763
2015-06-06,167311
2015-06-07,167311
2015-06-08,167311
2015-06-09,167311
2015-06-10,167311
2015-06-11,167311
2015-06-12,167311
2015-06-13,167311
2015-06-14,167311
2015-06-15,167000
2015-06-16,167000
2015-06-17,167000
2015-06-18,167000
2015-06-19,167000
2015-06-20,167000
2015-06-21,167000
2015-06-22,167000
2015-06-23,165554
2015-06-24,165554
2015-06-25,165554
2015-06-26,165554
2015-06-27,165554
2015-06-28,165554
2015-06-29,165554
2015-06-30,165554
2015-07-01,158703
2015-07-02,158703
2015-07-03,158703
2015-07-04,158703
2015-07-05,158703
2015-07-06,158703
2015-07-07,158703
2015-07-08,158703
2015-07-09,158703
2015-07-10,160328
2015-07-11,160328
2015-07-12,160328
2015-07-13,160328
2015-07-14,160328
2015-07-15,160328
2015-07-16,160328
2015-07-17,160328
2015-07-18,160328
2015-07-19,155614
2015-07-20,155614
2015-07-21,155614
2015-07-22,155614
2015-07-23,155614
2015-07-24,155614
2015-07-25,155614
2015-07-26,155198
2015-07-27,155198
2015-07-28,155198
2015-07-29,155198
2015-07-30,155198
2015-07-31,155198
2015-08-01,155198
2015-08-02,155198
2015-08-03,148675
2015-08-04,148675
2015-08-05,148675
2015-08-06,148675
2015-08-07,148675
2015-08-08,148675
2015-08-09,148675
2015-08-10,151852
2015-08-11,151852
2015-08-12,151852
2015-08-13,151852
2015-08-14,151852
2015-08-15,151852
2015-08-16,151852
2015-08-17,151852
2015-08-18,152848
2015-08-19,152848
2015-08-20,152848
2015-08-21,152848
2015-08-22,152848
2015-08-23,152848
2015-08-24,152848
2015-08-25,152848
2015-08-26,151265
2015-08-27,151265
2015-08-28,151265
2015-08-29,151265
2015-08-30,151265
2015-08-31,151265
2015-09-01,151265
2015-09-02,151265
2015-09-03,151265
2015-09-04,146413
2015-09-05,146413
2015-09-06,146413
2015-09-07,146413
2015-09-08,146413
2015-09-09,146413
2015-09-10,146413
2015-09-11,150970
2015-09-12,150970
2015-09-13,150970
2015-09-14,150970
2015-09-15,150970
2015-09-16,150970
2015-09-17,150970
2015-09-18,155831
2015-09-19,155831
2015-09-20,155831
2015-09-21,155831
2015-09-22,155831
2015-09-23,155831
2015-09-24,155831
2015-09-25,155831
2015-09-27,158956
2015-09-28,158956
2015-09-29,158956
2015-09-30,158956
2015-10-05,160650
2015-10-06,160650
2015-10-07,160650
2015-10-08,160650
2015-10-09,160650
2015-10-10,160650
2015-10-11,160650
2015-10-12,160331
2015-10-13,160331
2015-10-14,160331
2015-10-15,160331
2015-10-16,160331
2015-10-17,160331
2015-10-18,160331
2015-10-19,160331
2015-10-20,155384
2015-10-22,155384
2015-10-23,155384
2015-10-24,155384
2015-10-25,155384
2015-10-26,155384
2015-10-27,155384
2015-10-29,153462
2015-10-30,153462
2015-10-31,153462
2015-11-01,153462
2015-11-02,153462
2015-11-03,153462
2015-11-04,153462
2015-11-05,150133
2015-11-06,150133
2015-11-07,150133
2015-11-08,150133
2015-11-09,150133
2015-11-10,150133
2015-11-11,150133
2015-11-12,150133
2015-11-13,150133
2015-11-14,150133
2015-11-15,144503
2015-11-16,144503
2015-11-17,144503
2015-11-18,144503
2015-11-19,144503
2015-11-20,144503
2015-11-21,144503
2015-11-22,148212
2015-11-23,148212
2015-11-24,148212
2015-11-25,148212
2015-11-26,148212
2015-11-27,148212
2015-11-28,148212
2015-11-29,148212
2015-11-30,151461
2015-12-01,151461
2015-12-02,151461
2015-12-03,151461
2015-12-04,151461
2015-12-05,151461
2015-12-06,151461
2015-12-07,151461
2015-12-08,156395
2015-12-09,156395
2015-12-10,156395
2015-12-11,156395
2015-12-13,156395
2015-12-14,156395
2015-12-15,156395
2015-12-16,157482
2015-12-17,157482
2015-12-18,157482
2015-12-19,157482
2015-12-20,157482
2015-12-21,157482
2015-12-22,157482
2015-12-23,157482
2015-12-24,159683
2015-12-25,159683
2015-12-26,159683
2015-12-27,159683
2015-12-28,159683
2015-12-29,159683
2015-12-30,152893
2015-12-31,152893
2016-01-01,152893
2016-01-02,152893
2016-01-03,152893
2016-01-04,152893
2016-01-05,152893
2016-01-06,145511
2016-01-07,145511
2016-01-08,145511
2016-01-09,145511
2016-01-10,145511
2016-01-11,145511
2016-01-12,145511
2016-01-13,146950
2016-01-14,146950
2016-01-15,146950
2016-01-16,146950
2016-01-17,146950
2016-01-18,146950
2016-01-19,146950
2016-01-20,148474
2016-01-21,148474
2016-01-22,148474
2016-01-23,148474
2016-01-24,148474
2016-01-25,148474
2016-01-26,150710
2016-01-27,150710
2016-01-28,150710
2016-01-29,150710
2016-01-30,150710
2016-01-31,150710
2016-02-01,150376
2016-02-02,150376
2016-02-03,150376
2016-02-04,150376
2016-02-05,150376
2016-02-06,150376
2016-02-07,150376
2016-02-08,146391
2016-02-09,146391
2016-02-10,146391
2016-02-11,146391
2016-02-12,146391
2016-02-13,146391
2016-02-14,146391
2016-02-15,146391
2016-02-16,146240
2016-02-17,146240
2016-02-18,146240
2016-02-19,146240
2016-02-20,146240
2016-02-21,146240
2016-02-22,146240
2016-02-23,146240
2016-02-24,146807
2016-02-25,146807
2016-02-26,146807
2016-02-27,146807
2016-02-28,146807
2016-02-29,146807
2016-03-01,146807
2016-03-02,149617
2016-03-03,149617
2016-03-04,149617
2016-03-05,149617
2016-03-06,149617
2016-03-07,149617
2016-03-08,149617
2016-03-09,148483
2016-03-10,148483
2016-03-11,148483
2016-03-12,148483
2016-03-13,148483
2016-03-14,148483
2016-03-15,148483
2016-03-16,146354
2016-03-17,146354
2016-03-18,146354
2016-03-19,146354
2016-03-20,146354
2016-03-21,146354
2016-03-22,146354
2016-03-23,146354
2016-03-24,144212
2016-03-25,144212
2016-03-26,144212
2016-03-27,144212
2016-03-28,144212
2016-03-29,144212
2016-03-30,144212
2016-03-31,144212
2016-04-01,144212
2016-04-02,145716
2016-04-03,145716
2016-04-04,145716
2016-04-05,145716
2016-04-06,145716
2016-04-07,145716
2016-04-08,145716
2016-04-09,147755
2016-04-10,147755
2016-04-11,147755
2016-04-12,147755
2016-04-13,147755
2016-04-14,147755
2016-04-15,147755
2016-04-16,147755
2016-04-17,151609
2016-04-18,151609
2016-04-19,151609
2016-04-20,151609
2016-04-21,151609
2016-04-22,151609
2016-04-23,151609
2016-04-24,152162
2016-04-25,152162
2016-04-26,152162
2016-04-27,152162
2016-04-28,152162
2016-04-29,152162
2016-04-30,152162
2016-05-01,152162
2016-05-02,154760
2016-05-03,154760
2016-05-04,154760
2016-05-05,154760
2016-05-06,154760
2016-05-07,154760
2016-05-08,154760
2016-05-09,154760
2016-05-10,153878
2016-05-11,153878
2016-05-12,153878
2016-05-13,153878
2016-05-14,153878
2016-05-15,153878
2016-05-16,153878
2016-05-17,153878
2016-05-18,150911
2016-05-19,150911
2016-05-22,150911
2016-05-23,150911
2016-05-24,150911
2016-05-25,150911
