date_obj,Lava%20dragon%20mask price
2015-03-26,5729553
2015-03-27,5729553
2015-03-28,5729553
2015-03-29,5729553
2015-03-30,5673208
2015-03-31,5673208
2015-04-01,5673208
2015-04-02,5673208
2015-04-03,5673208
2015-04-04,5673208
2015-04-05,5673208
2015-04-06,5673208
2015-04-07,5673208
2015-04-08,5673208
2015-04-09,5673208
2015-04-10,5391531
2015-04-11,5391531
2015-04-12,5391531
2015-04-13,5391531
2015-04-14,5391531
2015-04-15,5391531
2015-04-16,5391531
2015-04-17,5391531
2015-04-18,5391531
2015-04-19,5391531
2015-04-20,5391531
2015-04-21,5121954
2015-04-22,5121954
2015-04-23,5121954
2015-04-24,5121954
2015-04-25,5121954
2015-04-26,5121954
2015-04-27,5121954
2015-04-28,5121954
2015-04-29,5121954
2015-04-30,5121954
2015-05-01,4881031
2015-05-02,4881031
2015-05-03,4881031
2015-05-04,4881031
2015-05-05,4881031
2015-05-06,4881031
2015-05-07,4881031
2015-05-08,4881031
2015-05-09,4881031
2015-05-10,4643620
2015-05-11,4643620
2015-05-12,4643620
2015-05-13,4643620
2015-05-14,4643620
2015-05-15,4643620
2015-05-16,4643620
2015-05-17,4411439
2015-05-18,4411439
2015-05-19,4411439
2015-05-20,4411439
2015-05-21,4411439
2015-05-22,4411439
2015-05-23,4411439
2015-05-24,4192254
2015-05-25,4192254
2015-05-26,4192254
2015-05-27,4192254
2015-05-28,4192254
2015-05-29,4192254
2015-05-30,3982641
2015-05-31,3982641
2015-06-01,3982641
2015-06-02,3982641
2015-06-03,3982641
2015-06-04,3982641
2015-06-05,3789408
2015-06-06,3789408
2015-06-07,3789408
2015-06-08,3789408
2015-06-09,3789408
2015-06-10,3789408
2015-06-11,3789408
2015-06-12,3789408
2015-06-13,3789408
2015-06-14,3789408
2015-06-15,3789408
2015-06-16,3606494
2015-06-17,3606494
2015-06-18,3606494
2015-06-19,3606494
2015-06-20,3606494
2015-06-21,3606494
2015-06-22,3429041
2015-06-23,3429041
2015-06-24,3429041
2015-06-25,3429041
2015-06-26,3429041
2015-06-27,3429041
2015-06-28,3429041
2015-06-29,3277920
2015-06-30,3277920
2015-07-01,3277920
2015-07-02,3277920
2015-07-03,3277920
