date_obj,Cooked%20sweetcorn price
2015-03-26,331
2015-03-27,331
2015-03-28,331
2015-03-29,316
2015-03-30,316
2015-03-31,316
2015-04-01,316
2015-04-02,316
2015-04-03,316
2015-04-04,301
2015-04-05,301
2015-04-06,301
2015-04-07,301
2015-04-08,301
2015-04-09,301
2015-04-10,293
2015-04-11,293
2015-04-12,293
2015-04-13,293
2015-04-14,293
2015-04-15,293
2015-04-16,286
2015-04-17,286
2015-04-18,286
2015-04-19,286
2015-04-20,286
2015-04-21,286
2015-04-22,286
2015-04-23,288
2015-04-24,288
2015-04-25,288
2015-04-26,288
2015-04-27,288
2015-04-28,288
2015-04-29,288
2015-04-30,287
2015-05-01,287
2015-05-02,287
2015-05-03,287
2015-05-04,287
2015-05-05,287
2015-05-06,287
2015-05-07,274
2015-05-08,274
2015-05-09,274
2015-05-10,274
2015-05-11,274
2015-05-12,274
2015-05-13,274
2015-05-14,274
2015-05-15,278
2015-05-16,278
2015-05-17,278
2015-05-18,278
2015-05-19,278
2015-05-20,278
2015-05-21,278
2015-05-22,278
2015-05-23,278
2015-05-24,278
2015-05-25,278
2015-05-26,278
2015-05-27,278
2015-05-28,278
2015-05-29,278
2015-05-30,291
2015-05-31,291
2015-06-01,291
2015-06-02,291
2015-06-03,291
2015-06-04,291
2015-06-05,306
2015-06-06,306
2015-06-07,306
2015-06-08,306
2015-06-09,306
2015-06-10,306
2015-06-11,310
2015-06-12,310
2015-06-13,310
2015-06-14,310
2015-06-15,310
2015-06-16,310
2015-06-17,301
2015-06-18,301
2015-06-19,301
2015-06-20,301
2015-06-21,301
2015-06-22,301
2015-06-23,302
2015-06-24,302
2015-06-25,302
2015-06-26,302
2015-06-27,302
2015-06-28,311
2015-06-29,311
2015-06-30,311
2015-07-01,311
2015-07-02,311
2015-07-03,311
2015-07-04,311
2015-07-05,326
2015-07-06,326
2015-07-07,326
2015-07-08,326
2015-07-09,326
2015-07-10,326
2015-07-11,343
2015-07-12,343
2015-07-13,343
2015-07-14,343
2015-07-15,343
2015-07-16,343
2015-07-17,343
2015-07-18,360
2015-07-19,360
2015-07-20,360
2015-07-21,360
2015-07-22,360
2015-07-23,360
2015-07-24,360
2015-07-25,376
2015-07-26,376
2015-07-27,376
2015-07-28,376
